Locus ID,QTL,Expression cluster
LOC_Os12g41380,qCDP17,6
LOC_Os02g14980,qCDP2,6
LOC_Os02g14900,qCDP2,17
LOC_Os02g14874,qCDP2,2
LOC_Os03g29340,qCDP4,2
LOC_Os05g08920,qCDP5,9
LOC_Os03g03700,qCDP3,33
LOC_Os05g30420,qCDP6,34
LOC_Os06g35670,qCDP7,20
LOC_Os06g35470,qCDP7,12
LOC_Os07g37640,qCDP8,17
LOC_Os08g43180,qCDP9,1
LOC_Os08g43310,qCDP9,23
LOC_Os08g43380,qCDP9,17
LOC_Os09g15340,qCDP10,17
LOC_Os09g15580,qCDP10,2
LOC_Os09g15389,qCDP10,8
LOC_Os09g34180,qCDP12,21
LOC_Os10g34750,qCDP13,1
LOC_Os10g35090,qCDP13,18
LOC_Os10g34740,qCDP13,16
LOC_Os10g34810,qCDP13,6
LOC_Os12g28100,qCDP16,11
LOC_Os01g66280,qCDP1,10
LOC_Os01g66150,qCDP1,10
LOC_Os12g06100,qCDP15,20
LOC_Os12g41700,qCDP17,13
LOC_Os03g29470,qCDP4,35
LOC_Os05g08810,qCDP5,36
LOC_Os05g08730,qCDP5,17
LOC_Os05g08750,qCDP5,1
LOC_Os05g08820,qCDP5,10
LOC_Os03g03530,qCDP3,10
LOC_Os03g03400,qCDP3,17
LOC_Os03g03430,qCDP3,1
LOC_Os03g03420,qCDP3,29
LOC_Os05g30410,qCDP6,9
LOC_Os07g36490,qCDP8,1
LOC_Os08g43090,qCDP9,17
LOC_Os09g34900,qCDP12,1
LOC_Os09g34860,qCDP12,2
LOC_Os09g34310,qCDP12,1
LOC_Os09g34300,qCDP12,30
LOC_Os09g34190,qCDP12,12
LOC_Os09g34847,qCDP12,37
LOC_Os12g27994,qCDP16,28
LOC_Os01g66160,qCDP1,10
LOC_Os12g06130,qCDP15,11
LOC_Os05g08910,qCDP5,12
LOC_Os03g03520,qCDP3,1
LOC_Os05g30340,qCDP6,12
LOC_Os07g36610,qCDP8,6
LOC_Os08g43334,qCDP9,16
LOC_Os01g66020,qCDP1,2
LOC_Os12g06090,qCDP15,1
LOC_Os12g41710,qCDP17,38
LOC_Os12g41600,qCDP17,1
LOC_Os02g15110,qCDP2,39
LOC_Os02g14990,qCDP2,9
LOC_Os03g29410,qCDP4,1
LOC_Os05g08900,qCDP5,2
LOC_Os05g08860,qCDP5,1
LOC_Os03g04070,qCDP3,1
LOC_Os05g30500,qCDP6,12
LOC_Os05g30390,qCDP6,1
LOC_Os05g30454,qCDP6,12
LOC_Os06g35630,qCDP7,15
LOC_Os06g35560,qCDP7,29
LOC_Os07g37210,qCDP8,9
LOC_Os07g36570,qCDP8,1
LOC_Os07g36630,qCDP8,2
LOC_Os07g36544,qCDP8,1
LOC_Os09g15400,qCDP10,40
LOC_Os09g18560,qCDP11,40
LOC_Os09g19160,qCDP11,33
LOC_Os09g19229,qCDP11,8
LOC_Os09g18450,qCDP11,2
LOC_Os09g34330,qCDP12,1
LOC_Os09g34214,qCDP12,12
LOC_Os10g34840,qCDP13,41
LOC_Os10g34940,qCDP13,2
LOC_Os10g34730,qCDP13,10
LOC_Os10g34910,qCDP13,12
LOC_Os12g28137,qCDP16,17
LOC_Os12g28177,qCDP16,4
LOC_Os01g66030,qCDP1,9
LOC_Os03g03350,qCDP3,12
LOC_Os01g66180,qCDP1,11
LOC_Os02g14929,qCDP2,5
LOC_Os05g08770,qCDP5,1
LOC_Os08g43300,qCDP9,12
LOC_Os08g43370,qCDP9,2
LOC_Os09g34960,qCDP12,1
LOC_Os10g35020,qCDP13,22
LOC_Os01g66240,qCDP1,42
LOC_Os05g08950,qCDP5,1
LOC_Os06g35540,qCDP7,1
LOC_Os09g15420,qCDP10,10
LOC_Os09g34230,qCDP12,17
LOC_Os12g06060,qCDP15,1
LOC_Os12g41720,qCDP17,7
LOC_Os02g15120,qCDP2,5
LOC_Os02g14890,qCDP2,2
LOC_Os05g08854,qCDP5,23
LOC_Os03g03500,qCDP3,3
LOC_Os06g35410,qCDP7,22
LOC_Os09g19274,qCDP11,17
LOC_Os09g34890,qCDP12,2
LOC_Os10g35040,qCDP13,9
LOC_Os12g28250,qCDP16,9
LOC_Os12g06150,qCDP15,14
LOC_Os02g15160,qCDP2,17
LOC_Os02g14910,qCDP2,35
LOC_Os05g08800,qCDP5,43
LOC_Os05g08790,qCDP5,11
LOC_Os03g03650,qCDP3,14
LOC_Os03g03550,qCDP3,9
LOC_Os03g03560,qCDP3,2
LOC_Os03g03630,qCDP3,17
LOC_Os03g03570,qCDP3,30
LOC_Os05g30430,qCDP6,15
LOC_Os05g30570,qCDP6,1
LOC_Os07g36460,qCDP8,1
LOC_Os08g43140,qCDP9,17
LOC_Os08g43250,qCDP9,9
LOC_Os08g43350,qCDP9,2
LOC_Os08g43410,qCDP9,44
LOC_Os09g15350,qCDP10,17
LOC_Os09g15590,qCDP10,9
LOC_Os10g34820,qCDP13,1
LOC_Os12g06190,qCDP15,1
LOC_Os12g41650,qCDP17,45
LOC_Os12g41560,qCDP17,45
LOC_Os03g29360,qCDP4,9
LOC_Os03g03490,qCDP3,12
LOC_Os09g34150,qCDP12,1
LOC_Os12g06160,qCDP15,12
LOC_Os12g06080,qCDP15,1
LOC_Os09g34930,qCDP12,12
LOC_Os10g35180,qCDP13,12
LOC_Os12g06220,qCDP15,16
LOC_Os12g41590,qCDP17,20
LOC_Os03g04060,qCDP3,1
LOC_Os03g03440,qCDP3,12
LOC_Os09g18594,qCDP11,10
LOC_Os10g35070,qCDP13,18
LOC_Os10g34795,qCDP13,46
LOC_Os12g41680,qCDP17,1
LOC_Os03g03370,qCDP3,1
LOC_Os09g34250,qCDP12,1
LOC_Os12g41640,qCDP17,47
LOC_Os08g43290,qCDP9,16
LOC_Os08g43240,qCDP9,12
LOC_Os12g41690,qCDP17,10
LOC_Os03g03654,qCDP3,10
LOC_Os08g43210,qCDP9,36
LOC_Os12g28090,qCDP16,10
LOC_Os02g15150,qCDP2,1
LOC_Os02g15178,qCDP2,21
LOC_Os02g15090,qCDP2,15
LOC_Os10g35050,qCDP13,2
LOC_Os02g15070,qCDP2,10
LOC_Os03g29460,qCDP4,9
LOC_Os11g26860,qCDP14,1
LOC_Os03g29250,qCDP4,12
LOC_Os09g34950,qCDP12,48
LOC_Os10g34790,qCDP13,10
LOC_Os11g26600,qCDP14,19
LOC_Os11g26725,qCDP14,8
LOC_Os05g30470,qCDP6,27
LOC_Os11g26620,qCDP14,14
LOC_Os05g30320,qCDP6,6
LOC_Os06g35524,qCDP7,9
LOC_Os10g34680,qCDP13,20
LOC_Os12g28260,qCDP16,24
LOC_Os11g26760,qCDP14,29
LOC_Os11g26780,qCDP14,19
LOC_Os11g26750,qCDP14,43
LOC_Os05g30490,qCDP6,2
LOC_Os09g15520,qCDP10,16
LOC_Os11g26790,qCDP14,14
LOC_Os11g26850,qCDP14,49
LOC_Os03g03720,qCDP3,9
LOC_Os07g37030,qCDP8,46
LOC_Os03g03810,qCDP3,43
LOC_Os03g03360,qCDP3,50
LOC_Os08g43320,qCDP9,2
LOC_Os03g03600,qCDP3,17
LOC_Os09g34320,qCDP12,27
LOC_Os05g30400,qCDP6,20
LOC_Os06g35520,qCDP7,1
LOC_Os06g35590,qCDP7,9
LOC_Os07g36700,qCDP8,12
LOC_Os07g36690,qCDP8,9
LOC_Os07g37240,qCDP8,12
LOC_Os08g43270,qCDP9,1
LOC_Os08g43190,qCDP9,12
LOC_Os10g35110,qCDP13,1
LOC_Os10g35010,qCDP13,1
LOC_Os09g15480,qCDP10,12
LOC_Os09g15320,qCDP10,1
LOC_Os09g15330,qCDP10,23
LOC_Os09g35010,qCDP12,12
LOC_Os10g34930,qCDP13,9
LOC_Os09g34340,qCDP12,12
LOC_Os12g28015,qCDP16,16
LOC_Os09g34920,qCDP12,29
LOC_Os10g35030,qCDP13,47
LOC_Os10g35100,qCDP13,10
