Locus ID,QTL,Expression cluster
LOC_Os01g66040,qCDP1,1
LOC_Os01g66310,qCDP1,2
LOC_Os01g66250,qCDP1,3
LOC_Os01g66060,qCDP1,4
LOC_Os01g66260,qCDP1,2
LOC_Os01g66270,qCDP1,5
LOC_Os12g05990,qCDP15,6
LOC_Os12g06030,qCDP15,2
LOC_Os12g06070,qCDP15,7
LOC_Os12g06210,qCDP15,6
LOC_Os12g41630,qCDP17,8
LOC_Os12g41460,qCDP17,1
LOC_Os12g41450,qCDP17,9
LOC_Os12g41550,qCDP17,10
LOC_Os12g41510,qCDP17,6
LOC_Os12g41490,qCDP17,1
LOC_Os02g15130,qCDP2,11
LOC_Os02g15020,qCDP2,12
LOC_Os02g15050,qCDP2,9
LOC_Os02g15100,qCDP2,13
LOC_Os03g29270,qCDP4,10
LOC_Os03g29244,qCDP4,1
LOC_Os05g08850,qCDP5,9
LOC_Os05g08740,qCDP5,14
LOC_Os05g08830,qCDP5,15
LOC_Os05g08890,qCDP5,5
LOC_Os11g26710,qCDP14,1
LOC_Os11g26830,qCDP14,1
LOC_Os11g26720,qCDP14,9
LOC_Os03g03540,qCDP3,12
LOC_Os03g03480,qCDP3,1
LOC_Os03g03334,qCDP3,1
LOC_Os05g30480,qCDP6,16
LOC_Os05g30580,qCDP6,1
LOC_Os05g30280,qCDP6,11
LOC_Os05g30510,qCDP6,10
LOC_Os05g30300,qCDP6,17
LOC_Os06g35574,qCDP7,18
LOC_Os06g35490,qCDP7,7
LOC_Os06g35700,qCDP7,19
LOC_Os06g35740,qCDP7,1
LOC_Os06g35650,qCDP7,20
LOC_Os06g35660,qCDP7,2
LOC_Os06g35480,qCDP7,19
LOC_Os07g36740,qCDP8,9
LOC_Os07g36560,qCDP8,21
LOC_Os07g36680,qCDP8,18
LOC_Os08g43200,qCDP9,1
LOC_Os08g43070,qCDP9,12
LOC_Os08g43080,qCDP9,1
LOC_Os08g43150,qCDP9,1
LOC_Os09g15500,qCDP10,1
LOC_Os09g15370,qCDP10,1
LOC_Os09g15570,qCDP10,18
LOC_Os09g15540,qCDP10,20
LOC_Os09g15530,qCDP10,22
LOC_Os09g19170,qCDP11,12
LOC_Os09g18470,qCDP11,9
LOC_Os09g34200,qCDP12,9
LOC_Os09g34160,qCDP12,23
LOC_Os09g34880,qCDP12,10
LOC_Os09g34270,qCDP12,9
LOC_Os09g34870,qCDP12,1
LOC_Os10g34720,qCDP13,2
LOC_Os10g34920,qCDP13,16
LOC_Os10g34884,qCDP13,2
LOC_Os10g34960,qCDP13,9
LOC_Os12g28065,qCDP16,1
LOC_Os01g66050,qCDP1,24
LOC_Os01g66350,qCDP1,24
LOC_Os01g66190,qCDP1,17
LOC_Os12g06020,qCDP15,16
LOC_Os12g41500,qCDP17,9
LOC_Os12g41715,qCDP17,9
LOC_Os02g14860,qCDP2,12
LOC_Os03g29240,qCDP4,17
LOC_Os03g29260,qCDP4,24
LOC_Os05g08840,qCDP5,16
LOC_Os03g03460,qCDP3,2
LOC_Os03g03450,qCDP3,9
LOC_Os03g03410,qCDP3,14
LOC_Os05g30530,qCDP6,1
LOC_Os06g35530,qCDP7,1
LOC_Os06g35730,qCDP7,25
LOC_Os07g36500,qCDP8,1
LOC_Os07g36600,qCDP8,12
LOC_Os07g37580,qCDP8,8
LOC_Os07g36465,qCDP8,9
LOC_Os08g43130,qCDP9,10
LOC_Os08g43170,qCDP9,26
LOC_Os08g43360,qCDP9,12
LOC_Os09g15430,qCDP10,18
LOC_Os09g34850,qCDP12,2
LOC_Os10g35060,qCDP13,2
LOC_Os10g35000,qCDP13,1
LOC_Os01g66000,qCDP1,27
LOC_Os08g43230,qCDP9,1
LOC_Os01g65920,qCDP1,4
LOC_Os05g08960,qCDP5,10
LOC_Os07g36470,qCDP8,11
LOC_Os01g66110,qCDP1,1
LOC_Os01g66200,qCDP1,1
LOC_Os07g36590,qCDP8,10
LOC_Os08g43160,qCDP9,10
LOC_Os01g66300,qCDP1,17
LOC_Os01g66320,qCDP1,17
LOC_Os01g66170,qCDP1,1
LOC_Os05g08930,qCDP5,16
LOC_Os03g03470,qCDP3,10
LOC_Os03g03610,qCDP3,14
LOC_Os03g03640,qCDP3,2
LOC_Os05g30350,qCDP6,12
LOC_Os09g34280,qCDP12,9
LOC_Os01g66290,qCDP1,1
LOC_Os12g06180,qCDP15,15
LOC_Os08g43120,qCDP9,6
LOC_Os01g66120,qCDP1,12
LOC_Os03g29350,qCDP4,28
LOC_Os03g03510,qCDP3,29
LOC_Os03g03590,qCDP3,1
LOC_Os03g03390,qCDP3,28
LOC_Os07g37610,qCDP8,1
LOC_Os09g34910,qCDP12,30
LOC_Os01g66230,qCDP1,30
LOC_Os01g66100,qCDP1,31
LOC_Os01g66140,qCDP1,26
LOC_Os01g66130,qCDP1,32
LOC_Os12g06200,qCDP15,1
LOC_Os12g41660,qCDP17,30
LOC_Os12g41620,qCDP17,8
LOC_Os12g41670,qCDP17,8
