Locus ID,QTL,Expression cluster
LOC_Os10g35090,qCDP13,1
LOC_Os10g34820,qCDP13,1
LOC_Os10g34790,qCDP13,1
LOC_Os10g34720,qCDP13,1
LOC_Os10g34740,qCDP13,2
LOC_Os10g34840,qCDP13,1
LOC_Os10g34810,qCDP13,5
LOC_Os10g34940,qCDP13,1
LOC_Os10g34920,qCDP13,6
LOC_Os10g34730,qCDP13,5
LOC_Os10g34884,qCDP13,2
LOC_Os10g34960,qCDP13,5
LOC_Os10g34910,qCDP13,1
LOC_Os12g28065,qCDP16,1
LOC_Os12g28137,qCDP16,1
LOC_Os12g28100,qCDP16,3
LOC_Os12g28177,qCDP16,1
LOC_Os12g28250,qCDP16,2
LOC_Os12g28260,qCDP16,1
LOC_Os01g66050,qCDP1,2
LOC_Os01g66350,qCDP1,1
LOC_Os01g66110,qCDP1,1
LOC_Os01g66190,qCDP1,1
LOC_Os01g66280,qCDP1,1
LOC_Os01g66150,qCDP1,2
LOC_Os01g66180,qCDP1,1
LOC_Os01g66240,qCDP1,1
LOC_Os01g66200,qCDP1,1
LOC_Os12g06100,qCDP15,1
LOC_Os12g06220,qCDP15,1
LOC_Os12g06020,qCDP15,2
LOC_Os12g41680,qCDP17,1
LOC_Os12g41590,qCDP17,1
LOC_Os12g41700,qCDP17,1
LOC_Os12g41500,qCDP17,2
LOC_Os12g41715,qCDP17,1
LOC_Os02g14860,qCDP2,1
LOC_Os02g14929,qCDP2,1
LOC_Os03g29470,qCDP4,10
LOC_Os03g29240,qCDP4,4
LOC_Os03g29260,qCDP4,2
LOC_Os05g08810,qCDP5,1
LOC_Os05g08730,qCDP5,1
LOC_Os05g08750,qCDP5,10
LOC_Os05g08820,qCDP5,2
LOC_Os05g08770,qCDP5,2
LOC_Os05g08840,qCDP5,1
LOC_Os05g08950,qCDP5,1
LOC_Os03g03460,qCDP3,4
LOC_Os03g03450,qCDP3,1
LOC_Os03g04060,qCDP3,1
LOC_Os03g03410,qCDP3,5
LOC_Os03g03370,qCDP3,2
LOC_Os03g03530,qCDP3,1
LOC_Os03g03400,qCDP3,1
LOC_Os03g03440,qCDP3,2
LOC_Os03g03600,qCDP3,1
LOC_Os03g03430,qCDP3,1
LOC_Os03g03420,qCDP3,2
LOC_Os05g30530,qCDP6,1
LOC_Os05g30410,qCDP6,1
LOC_Os06g35530,qCDP7,2
LOC_Os06g35520,qCDP7,1
LOC_Os06g35730,qCDP7,1
LOC_Os06g35540,qCDP7,5
LOC_Os07g36500,qCDP8,2
LOC_Os07g36600,qCDP8,2
LOC_Os07g37580,qCDP8,5
LOC_Os07g36490,qCDP8,3
LOC_Os07g36590,qCDP8,1
LOC_Os07g36465,qCDP8,1
LOC_Os08g43270,qCDP9,2
LOC_Os08g43090,qCDP9,1
LOC_Os08g43160,qCDP9,1
LOC_Os08g43130,qCDP9,2
LOC_Os08g43170,qCDP9,1
LOC_Os08g43300,qCDP9,3
LOC_Os08g43370,qCDP9,9
LOC_Os08g43360,qCDP9,5
LOC_Os09g15420,qCDP10,2
LOC_Os09g15430,qCDP10,1
LOC_Os09g15480,qCDP10,2
LOC_Os09g18594,qCDP11,1
LOC_Os09g34900,qCDP12,5
LOC_Os09g35010,qCDP12,2
LOC_Os09g34860,qCDP12,1
LOC_Os09g34310,qCDP12,1
LOC_Os09g34320,qCDP12,1
LOC_Os09g34300,qCDP12,1
LOC_Os09g34250,qCDP12,2
LOC_Os09g34230,qCDP12,2
LOC_Os09g34850,qCDP12,1
LOC_Os09g34190,qCDP12,1
LOC_Os09g34847,qCDP12,1
LOC_Os09g34960,qCDP12,1
LOC_Os10g35070,qCDP13,9
LOC_Os10g35060,qCDP13,9
LOC_Os10g35020,qCDP13,1
LOC_Os10g34930,qCDP13,1
LOC_Os10g35000,qCDP13,1
LOC_Os10g34795,qCDP13,1
LOC_Os12g27994,qCDP16,1
LOC_Os01g66000,qCDP1,1
LOC_Os01g66300,qCDP1,1
LOC_Os01g66320,qCDP1,1
LOC_Os01g66170,qCDP1,2
LOC_Os05g08930,qCDP5,1
LOC_Os03g03470,qCDP3,1
LOC_Os03g03610,qCDP3,2
LOC_Os03g03640,qCDP3,1
LOC_Os03g03360,qCDP3,2
LOC_Os05g30350,qCDP6,1
LOC_Os08g43230,qCDP9,1
LOC_Os08g43320,qCDP9,1
LOC_Os09g34280,qCDP12,4
LOC_Os10g35030,qCDP13,1
LOC_Os01g65920,qCDP1,1
LOC_Os01g66120,qCDP1,2
LOC_Os03g29350,qCDP4,2
LOC_Os05g08960,qCDP5,2
LOC_Os03g03510,qCDP3,2
LOC_Os03g03590,qCDP3,1
LOC_Os03g03390,qCDP3,2
LOC_Os07g37610,qCDP8,2
LOC_Os07g36470,qCDP8,2
LOC_Os09g34340,qCDP12,2
LOC_Os09g34910,qCDP12,1
LOC_Os10g35100,qCDP13,1
LOC_Os12g28015,qCDP16,1
LOC_Os01g66290,qCDP1,6
LOC_Os01g66160,qCDP1,2
LOC_Os12g06130,qCDP15,1
LOC_Os12g06180,qCDP15,4
LOC_Os12g41690,qCDP17,1
LOC_Os05g08910,qCDP5,2
LOC_Os11g26600,qCDP14,3
LOC_Os11g26725,qCDP14,1
LOC_Os11g26760,qCDP14,2
LOC_Os11g26780,qCDP14,7
LOC_Os11g26750,qCDP14,1
LOC_Os03g03654,qCDP3,1
LOC_Os03g03520,qCDP3,9
LOC_Os05g30490,qCDP6,2
LOC_Os05g30470,qCDP6,1
LOC_Os05g30340,qCDP6,2
LOC_Os07g36610,qCDP8,3
