t1,t2
"Root_weight, Root_K+, Stress_Root_length",47.5
"Root_weight, Root_K+, Stress_Shoot_length",49.3
"Root_weight, Root_K+, Stress_Root_Na+",36.4
"Root_weight, Root_K+, Stress_Root_K+",36.4
"Root_weight, Root_K+, Stress_Shoot_Na+",37.9
"Root_weight, Root_K+, Stress_Shoot_K+",36.3
"Root_weight, Root_K+, SES",46.9
"Root_weight, Root_K+, Stress_Chlorophyll_A",48.4
"Root_weight, Root_K+, Stress_Chlorophyll_B",47
"Root_weight, Root_K+, Width_WO_husk",37.2
"Root_weight, Root_K+, Length_WO_husk",44.6
"Root_weight, Root_K+, Height_WO_husk",40.8
"Root_weight, Root_K+, Seed_Weight",44.4
"Root_weight, Root_K+, Root_thickness",59.9
"Root_weight, Root_K+, Shoot_thickness",56.5
"Root_weight, Root_K+, Stress_Root_thickness",46.2
"Root_weight, Root_K+, Stress_Shoot_thickness",50.7
"Root_weight, Root_K+, Lost_Root_weight",55.3
"Root_weight, Root_K+, Lost_Shoot_weight",53.5
"Root_weight, Root_K+, Lost_Root_length",37.4
"Root_weight, Root_K+, Lost_Shoot_length",46
"Root_weight, Root_K+, Lost_Root_thickness",52.9
"Root_weight, Root_K+, Lost_Shoot_thickness",44.8
"Root_weight, Root_K+, Lost_Chlorophyll_A",41.3
"Root_weight, Root_K+, Lost_Chlorophyll_B",39.2
"Root_weight, Root_K+, Seed_volume",43.2
"Root_weight, Root_K+, Seed_density",36.3
"Root_weight, Shoot_Na+, Shoot_K+",38.3
"Root_weight, Shoot_Na+, Chlorophyll_A",46.4
"Root_weight, Shoot_Na+, Chlorophyll_B",45.1
"Root_weight, Shoot_Na+, Stress_Root_weight",51.5
"Root_weight, Shoot_Na+, Stress_Shoot_weight",50.9
"Root_weight, Shoot_Na+, Stress_Root_length",46.2
"Root_weight, Shoot_Na+, Stress_Shoot_length",48.4
"Root_weight, Shoot_Na+, Stress_Root_Na+",35.4
"Root_weight, Shoot_Na+, Stress_Root_K+",34.3
"Root_weight, Shoot_Na+, Stress_Shoot_Na+",36.5
"Root_weight, Shoot_Na+, Stress_Shoot_K+",37.3
"Root_weight, Shoot_Na+, SES",45.2
"Root_weight, Shoot_Na+, Stress_Chlorophyll_A",47.2
"Root_weight, Shoot_Na+, Stress_Chlorophyll_B",46.3
"Root_weight, Shoot_Na+, Width_WO_husk",37.6
"Root_weight, Shoot_Na+, Length_WO_husk",43.9
"Root_weight, Shoot_Na+, Height_WO_husk",42.6
"Root_weight, Shoot_Na+, Seed_Weight",44.3
"Root_weight, Shoot_Na+, Root_thickness",59.2
"Root_weight, Shoot_Na+, Shoot_thickness",56
"Root_weight, Shoot_Na+, Stress_Root_thickness",45.9
"Root_weight, Shoot_Na+, Stress_Shoot_thickness",49.2
"Root_weight, Shoot_Na+, Lost_Root_weight",54.9
"Root_weight, Shoot_Na+, Lost_Shoot_weight",53
"Root_weight, Shoot_Na+, Lost_Root_length",38.1
"Root_weight, Shoot_Na+, Lost_Shoot_length",44.5
"Root_weight, Shoot_Na+, Lost_Root_thickness",51.9
"Root_weight, Shoot_Na+, Lost_Shoot_thickness",44.7
"Root_weight, Shoot_Na+, Lost_Chlorophyll_A",40.1
"Root_weight, Shoot_Na+, Lost_Chlorophyll_B",38.6
"Root_weight, Shoot_Na+, Seed_volume",43.1
"Root_weight, Shoot_Na+, Seed_density",35.8
"Root_weight, Shoot_K+, Chlorophyll_A",46.7
"Root_weight, Shoot_K+, Chlorophyll_B",45.1
"Root_weight, Shoot_K+, Stress_Root_weight",52.7
"Root_weight, Shoot_K+, Stress_Shoot_weight",51.7
"Root_weight, Shoot_K+, Stress_Root_length",47.4
"Root_weight, Shoot_K+, Stress_Shoot_length",50.5
"Root_weight, Shoot_K+, Stress_Root_Na+",38.2
"Root_weight, Shoot_K+, Stress_Root_K+",37.8
"Root_weight, Shoot_K+, Stress_Shoot_Na+",38.7
"Root_weight, Shoot_K+, Stress_Shoot_K+",38
"Root_weight, Shoot_K+, SES",45.5
"Root_weight, Shoot_K+, Stress_Chlorophyll_A",47.8
"Root_weight, Shoot_K+, Stress_Chlorophyll_B",47.4
"Root_weight, Shoot_K+, Width_WO_husk",39.9
"Root_weight, Shoot_K+, Length_WO_husk",45.7
"Root_weight, Shoot_K+, Height_WO_husk",44.4
"Root_weight, Shoot_K+, Seed_Weight",48.5
"Root_weight, Shoot_K+, Root_thickness",60.7
"Root_weight, Shoot_K+, Shoot_thickness",56.7
"Root_weight, Shoot_K+, Stress_Root_thickness",47
"Root_weight, Shoot_K+, Stress_Shoot_thickness",49.5
"Root_weight, Shoot_K+, Lost_Root_weight",55.9
"Root_weight, Shoot_K+, Lost_Shoot_weight",54.3
"Root_weight, Shoot_K+, Lost_Root_length",38.9
"Root_weight, Shoot_K+, Lost_Shoot_length",46.1
"Root_weight, Shoot_K+, Lost_Root_thickness",53.5
"Root_weight, Shoot_K+, Lost_Shoot_thickness",46.2
"Root_weight, Shoot_K+, Lost_Chlorophyll_A",41.5
"Root_weight, Shoot_K+, Lost_Chlorophyll_B",40.5
"Root_weight, Shoot_K+, Seed_volume",47
"Root_weight, Shoot_K+, Seed_density",38.1
"Root_weight, Chlorophyll_A, Chlorophyll_B",69.9
"Root_weight, Chlorophyll_A, Stress_Root_weight",58.8
"Root_weight, Chlorophyll_A, Stress_Shoot_weight",58.5
"Root_weight, Chlorophyll_A, Stress_Root_length",52.2
"Root_weight, Chlorophyll_A, Stress_Shoot_length",56.5
"Root_weight, Chlorophyll_A, Stress_Root_Na+",46.8
"Root_weight, Chlorophyll_A, Stress_Root_K+",46.4
"Root_weight, Chlorophyll_A, Stress_Shoot_Na+",46.9
"Root_weight, Chlorophyll_A, Stress_Shoot_K+",46.9
"Root_weight, Chlorophyll_A, SES",51.7
"Root_weight, Chlorophyll_A, Stress_Chlorophyll_A",55.3
"Root_weight, Chlorophyll_A, Stress_Chlorophyll_B",55.3
"Root_weight, Chlorophyll_A, Width_WO_husk",45.6
"Root_weight, Chlorophyll_A, Length_WO_husk",49.7
"Root_weight, Chlorophyll_A, Height_WO_husk",49.2
"Root_weight, Chlorophyll_A, Seed_Weight",51.6
"Root_weight, Chlorophyll_A, Root_thickness",66.6
"Root_weight, Chlorophyll_A, Shoot_thickness",65.3
"Root_weight, Chlorophyll_A, Stress_Root_thickness",54.3
"Root_weight, Chlorophyll_A, Stress_Shoot_thickness",56.2
"Root_weight, Chlorophyll_A, Lost_Root_weight",61.6
"Root_weight, Chlorophyll_A, Lost_Shoot_weight",63
"Root_weight, Chlorophyll_A, Lost_Root_length",47.3
"Root_weight, Chlorophyll_A, Lost_Shoot_length",55.6
"Root_weight, Chlorophyll_A, Lost_Root_thickness",58.6
"Root_weight, Chlorophyll_A, Lost_Shoot_thickness",54.7
"Root_weight, Chlorophyll_A, Lost_Chlorophyll_A",46.4
"Root_weight, Chlorophyll_A, Lost_Chlorophyll_B",48.3
"Root_weight, Chlorophyll_A, Seed_volume",50.6
"Root_weight, Chlorophyll_A, Seed_density",45.1
"Root_weight, Chlorophyll_B, Stress_Root_weight",57
"Root_weight, Chlorophyll_B, Stress_Shoot_weight",56.7
"Root_weight, Chlorophyll_B, Stress_Root_length",51.3
"Root_weight, Chlorophyll_B, Stress_Shoot_length",54.5
"Root_weight, Chlorophyll_B, Stress_Root_Na+",45.3
"Root_weight, Chlorophyll_B, Stress_Root_K+",44.8
"Root_weight, Chlorophyll_B, Stress_Shoot_Na+",45.2
"Root_weight, Chlorophyll_B, Stress_Shoot_K+",45.2
"Root_weight, Chlorophyll_B, SES",50
"Root_weight, Chlorophyll_B, Stress_Chlorophyll_A",53.4
"Root_weight, Chlorophyll_B, Stress_Chlorophyll_B",53.1
"Root_weight, Chlorophyll_B, Width_WO_husk",44.5
"Root_weight, Chlorophyll_B, Length_WO_husk",47.3
"Root_weight, Chlorophyll_B, Height_WO_husk",49.5
"Root_weight, Chlorophyll_B, Seed_Weight",50.5
"Root_weight, Chlorophyll_B, Root_thickness",65.3
"Root_weight, Chlorophyll_B, Shoot_thickness",64
"Root_weight, Chlorophyll_B, Stress_Root_thickness",51.9
"Root_weight, Chlorophyll_B, Stress_Shoot_thickness",54.7
"Root_weight, Chlorophyll_B, Lost_Root_weight",60.1
"Root_weight, Chlorophyll_B, Lost_Shoot_weight",61.2
"Root_weight, Chlorophyll_B, Lost_Root_length",44.5
"Root_weight, Chlorophyll_B, Lost_Shoot_length",52.7
"Root_weight, Chlorophyll_B, Lost_Root_thickness",58
"Root_weight, Chlorophyll_B, Lost_Shoot_thickness",53.6
"Root_weight, Chlorophyll_B, Lost_Chlorophyll_A",45
"Root_weight, Chlorophyll_B, Lost_Chlorophyll_B",50.5
"Root_weight, Chlorophyll_B, Seed_volume",49.7
"Root_weight, Chlorophyll_B, Seed_density",43.4
"Root_weight, Stress_Root_weight, Stress_Shoot_weight",77.4
"Root_weight, Stress_Root_weight, Stress_Root_length",67.1
"Root_weight, Stress_Root_weight, Stress_Shoot_length",71.2
"Root_weight, Stress_Root_weight, Stress_Root_Na+",52.6
"Root_weight, Stress_Root_weight, Stress_Root_K+",52
"Root_weight, Stress_Root_weight, Stress_Shoot_Na+",53.1
"Root_weight, Stress_Root_weight, Stress_Shoot_K+",51.6
"Root_weight, Stress_Root_weight, SES",70
"Root_weight, Stress_Root_weight, Stress_Chlorophyll_A",70.4
"Root_weight, Stress_Root_weight, Stress_Chlorophyll_B",69.1
"Root_weight, Stress_Root_weight, Width_WO_husk",53.2
"Root_weight, Stress_Root_weight, Length_WO_husk",57.8
"Root_weight, Stress_Root_weight, Height_WO_husk",58.1
"Root_weight, Stress_Root_weight, Seed_Weight",61.5
"Root_weight, Stress_Root_weight, Root_thickness",73.5
"Root_weight, Stress_Root_weight, Shoot_thickness",70.8
"Root_weight, Stress_Root_weight, Stress_Root_thickness",74
"Root_weight, Stress_Root_weight, Stress_Shoot_thickness",75.5
"Root_weight, Stress_Root_weight, Lost_Root_weight",57.8
"Root_weight, Stress_Root_weight, Lost_Shoot_weight",60.7
"Root_weight, Stress_Root_weight, Lost_Root_length",53
"Root_weight, Stress_Root_weight, Lost_Shoot_length",53.9
"Root_weight, Stress_Root_weight, Lost_Root_thickness",57.8
"Root_weight, Stress_Root_weight, Lost_Shoot_thickness",53
"Root_weight, Stress_Root_weight, Lost_Chlorophyll_A",63.6
"Root_weight, Stress_Root_weight, Lost_Chlorophyll_B",60.9
"Root_weight, Stress_Root_weight, Seed_volume",59.8
"Root_weight, Stress_Root_weight, Seed_density",52.7
"Root_weight, Stress_Shoot_weight, Stress_Root_length",64.8
"Root_weight, Stress_Shoot_weight, Stress_Shoot_length",73.6
"Root_weight, Stress_Shoot_weight, Stress_Root_Na+",52
"Root_weight, Stress_Shoot_weight, Stress_Root_K+",51.3
"Root_weight, Stress_Shoot_weight, Stress_Shoot_Na+",53.6
"Root_weight, Stress_Shoot_weight, Stress_Shoot_K+",50.9
"Root_weight, Stress_Shoot_weight, SES",72.2
"Root_weight, Stress_Shoot_weight, Stress_Chlorophyll_A",72.8
"Root_weight, Stress_Shoot_weight, Stress_Chlorophyll_B",70.8
"Root_weight, Stress_Shoot_weight, Width_WO_husk",52.6
"Root_weight, Stress_Shoot_weight, Length_WO_husk",58
"Root_weight, Stress_Shoot_weight, Height_WO_husk",57.8
"Root_weight, Stress_Shoot_weight, Seed_Weight",61.7
"Root_weight, Stress_Shoot_weight, Root_thickness",74.2
"Root_weight, Stress_Shoot_weight, Shoot_thickness",71.8
"Root_weight, Stress_Shoot_weight, Stress_Root_thickness",70.4
"Root_weight, Stress_Shoot_weight, Stress_Shoot_thickness",78.2
"Root_weight, Stress_Shoot_weight, Lost_Root_weight",59
"Root_weight, Stress_Shoot_weight, Lost_Shoot_weight",60.2
"Root_weight, Stress_Shoot_weight, Lost_Root_length",52.7
"Root_weight, Stress_Shoot_weight, Lost_Shoot_length",52.7
"Root_weight, Stress_Shoot_weight, Lost_Root_thickness",59.8
"Root_weight, Stress_Shoot_weight, Lost_Shoot_thickness",52
"Root_weight, Stress_Shoot_weight, Lost_Chlorophyll_A",65.5
"Root_weight, Stress_Shoot_weight, Lost_Chlorophyll_B",61.8
"Root_weight, Stress_Shoot_weight, Seed_volume",60.1
"Root_weight, Stress_Shoot_weight, Seed_density",51.7
"Root_weight, Stress_Root_length, Stress_Shoot_length",64.4
"Root_weight, Stress_Root_length, Stress_Root_Na+",46.9
"Root_weight, Stress_Root_length, Stress_Root_K+",46.4
"Root_weight, Stress_Root_length, Stress_Shoot_Na+",46.3
"Root_weight, Stress_Root_length, Stress_Shoot_K+",46.1
"Root_weight, Stress_Root_length, SES",57.2
"Root_weight, Stress_Root_length, Stress_Chlorophyll_A",59.2
"Root_weight, Stress_Root_length, Stress_Chlorophyll_B",58
"Root_weight, Stress_Root_length, Width_WO_husk",47.3
"Root_weight, Stress_Root_length, Length_WO_husk",50.8
"Root_weight, Stress_Root_length, Height_WO_husk",52.3
"Root_weight, Stress_Root_length, Seed_Weight",53.6
"Root_weight, Stress_Root_length, Root_thickness",63.7
"Root_weight, Stress_Root_length, Shoot_thickness",63.6
"Root_weight, Stress_Root_length, Stress_Root_thickness",51.9
"Root_weight, Stress_Root_length, Stress_Shoot_thickness",61.5
"Root_weight, Stress_Root_length, Lost_Root_weight",57.1
"Root_weight, Stress_Root_length, Lost_Shoot_weight",57.2
"Root_weight, Stress_Root_length, Lost_Root_length",54.5
"Root_weight, Stress_Root_length, Lost_Shoot_length",46.9
"Root_weight, Stress_Root_length, Lost_Root_thickness",57.6
"Root_weight, Stress_Root_length, Lost_Shoot_thickness",49.6
"Root_weight, Stress_Root_length, Lost_Chlorophyll_A",53.6
"Root_weight, Stress_Root_length, Lost_Chlorophyll_B",50.9
"Root_weight, Stress_Root_length, Seed_volume",52.9
"Root_weight, Stress_Root_length, Seed_density",46.5
"Root_weight, Stress_Shoot_length, Stress_Root_Na+",49.2
"Root_weight, Stress_Shoot_length, Stress_Root_K+",48.5
"Root_weight, Stress_Shoot_length, Stress_Shoot_Na+",51.3
"Root_weight, Stress_Shoot_length, Stress_Shoot_K+",48.5
"Root_weight, Stress_Shoot_length, SES",64.7
"Root_weight, Stress_Shoot_length, Stress_Chlorophyll_A",66.3
"Root_weight, Stress_Shoot_length, Stress_Chlorophyll_B",65.1
"Root_weight, Stress_Shoot_length, Width_WO_husk",49.4
"Root_weight, Stress_Shoot_length, Length_WO_husk",55
"Root_weight, Stress_Shoot_length, Height_WO_husk",55.1
"Root_weight, Stress_Shoot_length, Seed_Weight",57.7
"Root_weight, Stress_Shoot_length, Root_thickness",70.9
"Root_weight, Stress_Shoot_length, Shoot_thickness",66.5
"Root_weight, Stress_Shoot_length, Stress_Root_thickness",62.6
"Root_weight, Stress_Shoot_length, Stress_Shoot_thickness",66.6
"Root_weight, Stress_Shoot_length, Lost_Root_weight",58.6
"Root_weight, Stress_Shoot_length, Lost_Shoot_weight",59.5
"Root_weight, Stress_Shoot_length, Lost_Root_length",51.6
"Root_weight, Stress_Shoot_length, Lost_Shoot_length",49.4
"Root_weight, Stress_Shoot_length, Lost_Root_thickness",59.7
"Root_weight, Stress_Shoot_length, Lost_Shoot_thickness",51
"Root_weight, Stress_Shoot_length, Lost_Chlorophyll_A",59.1
"Root_weight, Stress_Shoot_length, Lost_Chlorophyll_B",56.5
"Root_weight, Stress_Shoot_length, Seed_volume",56.6
"Root_weight, Stress_Shoot_length, Seed_density",48.8
"Root_weight, Stress_Root_Na+, Stress_Root_K+",64.5
"Root_weight, Stress_Root_Na+, Stress_Shoot_Na+",36.8
"Root_weight, Stress_Root_Na+, Stress_Shoot_K+",39.8
"Root_weight, Stress_Root_Na+, SES",46
"Root_weight, Stress_Root_Na+, Stress_Chlorophyll_A",47.1
"Root_weight, Stress_Root_Na+, Stress_Chlorophyll_B",46.2
"Root_weight, Stress_Root_Na+, Width_WO_husk",38.1
"Root_weight, Stress_Root_Na+, Length_WO_husk",42.8
"Root_weight, Stress_Root_Na+, Height_WO_husk",43.2
"Root_weight, Stress_Root_Na+, Seed_Weight",45.4
"Root_weight, Stress_Root_Na+, Root_thickness",59.2
"Root_weight, Stress_Root_Na+, Shoot_thickness",56.1
"Root_weight, Stress_Root_Na+, Stress_Root_thickness",47
"Root_weight, Stress_Root_Na+, Stress_Shoot_thickness",50.2
"Root_weight, Stress_Root_Na+, Lost_Root_weight",54.9
"Root_weight, Stress_Root_Na+, Lost_Shoot_weight",53.1
"Root_weight, Stress_Root_Na+, Lost_Root_length",38.1
"Root_weight, Stress_Root_Na+, Lost_Shoot_length",45.6
"Root_weight, Stress_Root_Na+, Lost_Root_thickness",51.9
"Root_weight, Stress_Root_Na+, Lost_Shoot_thickness",44.7
"Root_weight, Stress_Root_Na+, Lost_Chlorophyll_A",39.5
"Root_weight, Stress_Root_Na+, Lost_Chlorophyll_B",37.3
"Root_weight, Stress_Root_Na+, Seed_volume",44
"Root_weight, Stress_Root_Na+, Seed_density",36.3
"Root_weight, Stress_Root_K+, Stress_Shoot_Na+",39.8
"Root_weight, Stress_Root_K+, Stress_Shoot_K+",39.3
"Root_weight, Stress_Root_K+, SES",45.3
"Root_weight, Stress_Root_K+, Stress_Chlorophyll_A",47.3
"Root_weight, Stress_Root_K+, Stress_Chlorophyll_B",46.4
"Root_weight, Stress_Root_K+, Width_WO_husk",38
"Root_weight, Stress_Root_K+, Length_WO_husk",43.1
"Root_weight, Stress_Root_K+, Height_WO_husk",42.5
"Root_weight, Stress_Root_K+, Seed_Weight",44.8
"Root_weight, Stress_Root_K+, Root_thickness",59.3
"Root_weight, Stress_Root_K+, Shoot_thickness",55.9
"Root_weight, Stress_Root_K+, Stress_Root_thickness",46.3
"Root_weight, Stress_Root_K+, Stress_Shoot_thickness",49.7
"Root_weight, Stress_Root_K+, Lost_Root_weight",55.1
"Root_weight, Stress_Root_K+, Lost_Shoot_weight",53
"Root_weight, Stress_Root_K+, Lost_Root_length",37.5
"Root_weight, Stress_Root_K+, Lost_Shoot_length",44.8
"Root_weight, Stress_Root_K+, Lost_Root_thickness",52.6
"Root_weight, Stress_Root_K+, Lost_Shoot_thickness",45.3
"Root_weight, Stress_Root_K+, Lost_Chlorophyll_A",39.9
"Root_weight, Stress_Root_K+, Lost_Chlorophyll_B",38.1
"Root_weight, Stress_Root_K+, Seed_volume",43.5
"Root_weight, Stress_Root_K+, Seed_density",35
"Root_weight, Stress_Shoot_Na+, Stress_Shoot_K+",37.6
"Root_weight, Stress_Shoot_Na+, SES",48.4
"Root_weight, Stress_Shoot_Na+, Stress_Chlorophyll_A",51.5
"Root_weight, Stress_Shoot_Na+, Stress_Chlorophyll_B",50.1
"Root_weight, Stress_Shoot_Na+, Width_WO_husk",38.7
"Root_weight, Stress_Shoot_Na+, Length_WO_husk",44.2
"Root_weight, Stress_Shoot_Na+, Height_WO_husk",43.1
"Root_weight, Stress_Shoot_Na+, Seed_Weight",47.3
"Root_weight, Stress_Shoot_Na+, Root_thickness",60.2
"Root_weight, Stress_Shoot_Na+, Shoot_thickness",56.1
"Root_weight, Stress_Shoot_Na+, Stress_Root_thickness",48.4
"Root_weight, Stress_Shoot_Na+, Stress_Shoot_thickness",51.3
"Root_weight, Stress_Shoot_Na+, Lost_Root_weight",54.9
"Root_weight, Stress_Shoot_Na+, Lost_Shoot_weight",53
"Root_weight, Stress_Shoot_Na+, Lost_Root_length",37.6
"Root_weight, Stress_Shoot_Na+, Lost_Shoot_length",44.7
"Root_weight, Stress_Shoot_Na+, Lost_Root_thickness",52.2
"Root_weight, Stress_Shoot_Na+, Lost_Shoot_thickness",44.8
