t1,t2
"Root_weight, Shoot_weight, Root_length",72
"Root_weight, Shoot_weight, Shoot_length",81.4
"Root_weight, Shoot_weight, Root_Na+",61.8
"Root_weight, Shoot_weight, Root_K+",60.4
"Root_weight, Shoot_weight, Shoot_Na+",59.6
"Root_weight, Shoot_weight, Shoot_K+",60.7
"Root_weight, Shoot_weight, Chlorophyll_A",69.2
"Root_weight, Shoot_weight, Chlorophyll_B",67.3
"Root_weight, Shoot_weight, Stress_Root_weight",75.5
"Root_weight, Shoot_weight, Stress_Shoot_weight",77.1
"Root_weight, Shoot_weight, Stress_Root_length",67.7
"Root_weight, Shoot_weight, Stress_Shoot_length",73.6
"Root_weight, Shoot_weight, Stress_Root_Na+",60
"Root_weight, Shoot_weight, Stress_Root_K+",59.6
"Root_weight, Shoot_weight, Stress_Shoot_Na+",60.2
"Root_weight, Shoot_weight, Stress_Shoot_K+",59.6
"Root_weight, Shoot_weight, SES",68.9
"Root_weight, Shoot_weight, Stress_Chlorophyll_A",71.1
"Root_weight, Shoot_weight, Stress_Chlorophyll_B",70.3
"Root_weight, Shoot_weight, Width_WO_husk",60.2
"Root_weight, Shoot_weight, Length_WO_husk",65.7
"Root_weight, Shoot_weight, Height_WO_husk",64
"Root_weight, Shoot_weight, Seed_Weight",68.1
"Root_weight, Shoot_weight, Root_thickness",83.1
"Root_weight, Shoot_weight, Shoot_thickness",86.2
"Root_weight, Shoot_weight, Stress_Root_thickness",69.7
"Root_weight, Shoot_weight, Stress_Shoot_thickness",74.3
"Root_weight, Shoot_weight, Lost_Root_weight",75.1
"Root_weight, Shoot_weight, Lost_Shoot_weight",81.5
"Root_weight, Shoot_weight, Lost_Root_length",60.1
"Root_weight, Shoot_weight, Lost_Shoot_length",67.7
"Root_weight, Shoot_weight, Lost_Root_thickness",73.1
"Root_weight, Shoot_weight, Lost_Shoot_thickness",70.7
"Root_weight, Shoot_weight, Lost_Chlorophyll_A",63.2
"Root_weight, Shoot_weight, Lost_Chlorophyll_B",61.5
"Root_weight, Shoot_weight, Seed_volume",66.8
"Root_weight, Shoot_weight, Seed_density",59.6
"Root_weight, Root_length, Shoot_length",67.2
"Root_weight, Root_length, Root_Na+",53.5
"Root_weight, Root_length, Root_K+",51.5
"Root_weight, Root_length, Shoot_Na+",51.3
"Root_weight, Root_length, Shoot_K+",52.3
"Root_weight, Root_length, Chlorophyll_A",58.6
"Root_weight, Root_length, Chlorophyll_B",56.4
"Root_weight, Root_length, Stress_Root_weight",66.2
"Root_weight, Root_length, Stress_Shoot_weight",62.8
"Root_weight, Root_length, Stress_Root_length",65
"Root_weight, Root_length, Stress_Shoot_length",60.6
"Root_weight, Root_length, Stress_Root_Na+",52.2
"Root_weight, Root_length, Stress_Root_K+",51.9
"Root_weight, Root_length, Stress_Shoot_Na+",51.3
"Root_weight, Root_length, Stress_Shoot_K+",51.3
"Root_weight, Root_length, SES",57.6
"Root_weight, Root_length, Stress_Chlorophyll_A",58
"Root_weight, Root_length, Stress_Chlorophyll_B",57.6
"Root_weight, Root_length, Width_WO_husk",54.8
"Root_weight, Root_length, Length_WO_husk",52.8
"Root_weight, Root_length, Height_WO_husk",58.1
"Root_weight, Root_length, Seed_Weight",59
"Root_weight, Root_length, Root_thickness",63.8
"Root_weight, Root_length, Shoot_thickness",68.2
"Root_weight, Root_length, Stress_Root_thickness",57
"Root_weight, Root_length, Stress_Shoot_thickness",61.1
"Root_weight, Root_length, Lost_Root_weight",66.1
"Root_weight, Root_length, Lost_Shoot_weight",65.4
"Root_weight, Root_length, Lost_Root_length",58.1
"Root_weight, Root_length, Lost_Shoot_length",57.9
"Root_weight, Root_length, Lost_Root_thickness",56.6
"Root_weight, Root_length, Lost_Shoot_thickness",57.5
"Root_weight, Root_length, Lost_Chlorophyll_A",52.5
"Root_weight, Root_length, Lost_Chlorophyll_B",51.9
"Root_weight, Root_length, Seed_volume",58.2
"Root_weight, Root_length, Seed_density",51.5
"Root_weight, Shoot_length, Root_Na+",55.4
"Root_weight, Shoot_length, Root_K+",55.4
"Root_weight, Shoot_length, Shoot_Na+",54.2
"Root_weight, Shoot_length, Shoot_K+",56.3
"Root_weight, Shoot_length, Chlorophyll_A",65
"Root_weight, Shoot_length, Chlorophyll_B",62
"Root_weight, Shoot_length, Stress_Root_weight",70.3
"Root_weight, Shoot_length, Stress_Shoot_weight",71.3
"Root_weight, Shoot_length, Stress_Root_length",62.6
"Root_weight, Shoot_length, Stress_Shoot_length",72.3
"Root_weight, Shoot_length, Stress_Root_Na+",55.3
"Root_weight, Shoot_length, Stress_Root_K+",54.4
"Root_weight, Shoot_length, Stress_Shoot_Na+",55.8
"Root_weight, Shoot_length, Stress_Shoot_K+",54.2
"Root_weight, Shoot_length, SES",64
"Root_weight, Shoot_length, Stress_Chlorophyll_A",66.1
"Root_weight, Shoot_length, Stress_Chlorophyll_B",65.3
"Root_weight, Shoot_length, Width_WO_husk",54.6
"Root_weight, Shoot_length, Length_WO_husk",59.5
"Root_weight, Shoot_length, Height_WO_husk",58.9
"Root_weight, Shoot_length, Seed_Weight",61.8
"Root_weight, Shoot_length, Root_thickness",76.2
"Root_weight, Shoot_length, Shoot_thickness",71.6
"Root_weight, Shoot_length, Stress_Root_thickness",64.8
"Root_weight, Shoot_length, Stress_Shoot_thickness",66.5
"Root_weight, Shoot_length, Lost_Root_weight",68.9
"Root_weight, Shoot_length, Lost_Shoot_weight",72.2
"Root_weight, Shoot_length, Lost_Root_length",55
"Root_weight, Shoot_length, Lost_Shoot_length",68.1
"Root_weight, Shoot_length, Lost_Root_thickness",66.5
"Root_weight, Shoot_length, Lost_Shoot_thickness",59.2
"Root_weight, Shoot_length, Lost_Chlorophyll_A",57.7
"Root_weight, Shoot_length, Lost_Chlorophyll_B",56.4
"Root_weight, Shoot_length, Seed_volume",60.5
"Root_weight, Shoot_length, Seed_density",54.3
"Root_weight, Root_Na+, Root_K+",41.1
"Root_weight, Root_Na+, Shoot_Na+",39.7
"Root_weight, Root_Na+, Shoot_K+",42.9
"Root_weight, Root_Na+, Chlorophyll_A",48.2
"Root_weight, Root_Na+, Chlorophyll_B",46.9
"Root_weight, Root_Na+, Stress_Root_weight",54.1
"Root_weight, Root_Na+, Stress_Shoot_weight",52.6
"Root_weight, Root_Na+, Stress_Root_length",46.8
"Root_weight, Root_Na+, Stress_Shoot_length",49.3
"Root_weight, Root_Na+, Stress_Root_Na+",40.3
"Root_weight, Root_Na+, Stress_Root_K+",39.6
"Root_weight, Root_Na+, Stress_Shoot_Na+",40.1
"Root_weight, Root_Na+, Stress_Shoot_K+",39.6
"Root_weight, Root_Na+, SES",46.5
"Root_weight, Root_Na+, Stress_Chlorophyll_A",49.2
"Root_weight, Root_Na+, Stress_Chlorophyll_B",49.3
"Root_weight, Root_Na+, Width_WO_husk",42.9
"Root_weight, Root_Na+, Length_WO_husk",46
"Root_weight, Root_Na+, Height_WO_husk",46
"Root_weight, Root_Na+, Seed_Weight",48.9
"Root_weight, Root_Na+, Root_thickness",61.4
"Root_weight, Root_Na+, Shoot_thickness",58.6
"Root_weight, Root_Na+, Stress_Root_thickness",49.9
"Root_weight, Root_Na+, Stress_Shoot_thickness",51.5
"Root_weight, Root_Na+, Lost_Root_weight",56.4
"Root_weight, Root_Na+, Lost_Shoot_weight",55.2
"Root_weight, Root_Na+, Lost_Root_length",42.5
"Root_weight, Root_Na+, Lost_Shoot_length",46.9
"Root_weight, Root_Na+, Lost_Root_thickness",52.8
"Root_weight, Root_Na+, Lost_Shoot_thickness",47
"Root_weight, Root_Na+, Lost_Chlorophyll_A",42.8
"Root_weight, Root_Na+, Lost_Chlorophyll_B",42
"Root_weight, Root_Na+, Seed_volume",48.7
"Root_weight, Root_Na+, Seed_density",40.3
"Root_weight, Root_K+, Shoot_Na+",37.9
"Root_weight, Root_K+, Shoot_K+",38.8
"Root_weight, Root_K+, Chlorophyll_A",47
"Root_weight, Root_K+, Chlorophyll_B",45.1
"Root_weight, Root_K+, Stress_Root_weight",52.2
"Root_weight, Root_K+, Stress_Shoot_weight",52.2
