t1,t2
"Stress_Chlorophyll_B, Lost_Shoot_weight",50.1
"Stress_Chlorophyll_B, Lost_Root_length",61.3
"Stress_Chlorophyll_B, Lost_Shoot_length",54
"Stress_Chlorophyll_B, Lost_Root_thickness",51.7
"Stress_Chlorophyll_B, Lost_Shoot_thickness",60.8
"Stress_Chlorophyll_B, Lost_Chlorophyll_A",90.1
"Stress_Chlorophyll_B, Lost_Chlorophyll_B",88.5
"Stress_Chlorophyll_B, Seed_volume",58.3
"Stress_Chlorophyll_B, Seed_density",54.7
"Width_WO_husk, Length_WO_husk",60
"Width_WO_husk, Height_WO_husk",87.2
"Width_WO_husk, Seed_Weight",82.9
"Width_WO_husk, Root_thickness",57.2
"Width_WO_husk, Shoot_thickness",55
"Width_WO_husk, Stress_Root_thickness",53.8
"Width_WO_husk, Stress_Shoot_thickness",57.6
"Width_WO_husk, Lost_Root_weight",53.3
"Width_WO_husk, Lost_Shoot_weight",51.3
"Width_WO_husk, Lost_Root_length",58.9
"Width_WO_husk, Lost_Shoot_length",50
"Width_WO_husk, Lost_Root_thickness",60.9
"Width_WO_husk, Lost_Shoot_thickness",51.3
"Width_WO_husk, Lost_Chlorophyll_A",50.5
"Width_WO_husk, Lost_Chlorophyll_B",52.3
"Width_WO_husk, Seed_volume",87.5
"Width_WO_husk, Seed_density",68.3
"Length_WO_husk, Height_WO_husk",51.6
"Length_WO_husk, Seed_Weight",74.9
"Length_WO_husk, Root_thickness",70.6
"Length_WO_husk, Shoot_thickness",64.3
"Length_WO_husk, Stress_Root_thickness",58.9
"Length_WO_husk, Stress_Shoot_thickness",61.6
"Length_WO_husk, Lost_Root_weight",58.1
"Length_WO_husk, Lost_Shoot_weight",60.4
"Length_WO_husk, Lost_Root_length",57.5
"Length_WO_husk, Lost_Shoot_length",53
"Length_WO_husk, Lost_Root_thickness",66
"Length_WO_husk, Lost_Shoot_thickness",56.2
"Length_WO_husk, Lost_Chlorophyll_A",59.4
"Length_WO_husk, Lost_Chlorophyll_B",60.2
"Length_WO_husk, Seed_volume",72
"Length_WO_husk, Seed_density",53.8
"Height_WO_husk, Seed_Weight",84.8
"Height_WO_husk, Root_thickness",51.9
"Height_WO_husk, Shoot_thickness",61.1
"Height_WO_husk, Stress_Root_thickness",59.4
"Height_WO_husk, Stress_Shoot_thickness",64.1
"Height_WO_husk, Lost_Root_weight",51.8
"Height_WO_husk, Lost_Shoot_weight",54.9
"Height_WO_husk, Lost_Root_length",53
"Height_WO_husk, Lost_Shoot_length",50.8
"Height_WO_husk, Lost_Root_thickness",55.2
"Height_WO_husk, Lost_Shoot_thickness",50.1
"Height_WO_husk, Lost_Chlorophyll_A",52.8
"Height_WO_husk, Lost_Chlorophyll_B",52.2
"Height_WO_husk, Seed_volume",89.9
"Height_WO_husk, Seed_density",70.5
"Seed_Weight, Root_thickness",60.7
"Seed_Weight, Shoot_thickness",67.9
"Seed_Weight, Stress_Root_thickness",64.1
"Seed_Weight, Stress_Shoot_thickness",68.9
"Seed_Weight, Lost_Root_weight",52.8
"Seed_Weight, Lost_Shoot_weight",60.3
"Seed_Weight, Lost_Root_length",53.3
"Seed_Weight, Lost_Shoot_length",53
"Seed_Weight, Lost_Root_thickness",51.5
"Seed_Weight, Lost_Shoot_thickness",53.8
"Seed_Weight, Lost_Chlorophyll_A",58.4
"Seed_Weight, Lost_Chlorophyll_B",55.9
"Seed_Weight, Seed_volume",96.8
"Seed_Weight, Seed_density",50.7
"Root_thickness, Shoot_thickness",79.4
"Root_thickness, Stress_Root_thickness",72.8
"Root_thickness, Stress_Shoot_thickness",72.4
"Root_thickness, Lost_Root_weight",75.9
"Root_thickness, Lost_Shoot_weight",73
"Root_thickness, Lost_Root_length",58.8
"Root_thickness, Lost_Shoot_length",60.7
"Root_thickness, Lost_Root_thickness",87.9
"Root_thickness, Lost_Shoot_thickness",63.2
"Root_thickness, Lost_Chlorophyll_A",62.3
"Root_thickness, Lost_Chlorophyll_B",58.1
"Root_thickness, Seed_volume",58.5
"Root_thickness, Seed_density",53.7
"Shoot_thickness, Stress_Root_thickness",65.7
"Shoot_thickness, Stress_Shoot_thickness",74.7
"Shoot_thickness, Lost_Root_weight",70.6
"Shoot_thickness, Lost_Shoot_weight",88.1
"Shoot_thickness, Lost_Root_length",52.5
"Shoot_thickness, Lost_Shoot_length",58.8
"Shoot_thickness, Lost_Root_thickness",70.4
"Shoot_thickness, Lost_Shoot_thickness",84.1
"Shoot_thickness, Lost_Chlorophyll_A",57.1
"Shoot_thickness, Lost_Chlorophyll_B",53.3
"Shoot_thickness, Seed_volume",66.3
"Shoot_thickness, Seed_density",51.4
"Stress_Root_thickness, Stress_Shoot_thickness",85.3
"Stress_Root_thickness, Lost_Root_weight",64.1
"Stress_Root_thickness, Lost_Shoot_weight",51.6
"Stress_Root_thickness, Lost_Root_length",54.4
"Stress_Root_thickness, Lost_Shoot_length",50
"Stress_Root_thickness, Lost_Root_thickness",61.7
"Stress_Root_thickness, Lost_Shoot_thickness",62.5
"Stress_Root_thickness, Lost_Chlorophyll_A",71.7
"Stress_Root_thickness, Lost_Chlorophyll_B",70.2
"Stress_Root_thickness, Seed_volume",61.4
"Stress_Root_thickness, Seed_density",55.2
"Stress_Shoot_thickness, Lost_Root_weight",58.8
"Stress_Shoot_thickness, Lost_Shoot_weight",51.8
"Stress_Shoot_thickness, Lost_Root_length",60.5
"Stress_Shoot_thickness, Lost_Shoot_length",55.4
"Stress_Shoot_thickness, Lost_Root_thickness",51.5
"Stress_Shoot_thickness, Lost_Shoot_thickness",65
"Stress_Shoot_thickness, Lost_Chlorophyll_A",82.3
"Stress_Shoot_thickness, Lost_Chlorophyll_B",76.6
"Stress_Shoot_thickness, Seed_volume",67
"Stress_Shoot_thickness, Seed_density",52.2
"Lost_Root_weight, Lost_Shoot_weight",83.7
"Lost_Root_weight, Lost_Root_length",67.2
"Lost_Root_weight, Lost_Shoot_length",73.7
"Lost_Root_weight, Lost_Root_thickness",88.6
"Lost_Root_weight, Lost_Shoot_thickness",80
"Lost_Root_weight, Lost_Chlorophyll_A",62.1
"Lost_Root_weight, Lost_Chlorophyll_B",63
"Lost_Root_weight, Seed_volume",52.2
"Lost_Root_weight, Seed_density",51.5
"Lost_Shoot_weight, Lost_Root_length",63
"Lost_Shoot_weight, Lost_Shoot_length",80.4
"Lost_Shoot_weight, Lost_Root_thickness",76.3
"Lost_Shoot_weight, Lost_Shoot_thickness",93.3
"Lost_Shoot_weight, Lost_Chlorophyll_A",61.1
"Lost_Shoot_weight, Lost_Chlorophyll_B",61.6
"Lost_Shoot_weight, Seed_volume",59.1
"Lost_Shoot_weight, Seed_density",51.3
"Lost_Root_length, Lost_Shoot_length",72.6
"Lost_Root_length, Lost_Root_thickness",62.8
"Lost_Root_length, Lost_Shoot_thickness",61.6
"Lost_Root_length, Lost_Chlorophyll_A",65.6
"Lost_Root_length, Lost_Chlorophyll_B",61.7
"Lost_Root_length, Seed_volume",52.5
"Lost_Root_length, Seed_density",52.5
"Lost_Shoot_length, Lost_Root_thickness",61.8
"Lost_Shoot_length, Lost_Shoot_thickness",64.1
"Lost_Shoot_length, Lost_Chlorophyll_A",63.2
"Lost_Shoot_length, Lost_Chlorophyll_B",61.8
"Lost_Shoot_length, Seed_volume",52
"Lost_Shoot_length, Seed_density",52
"Lost_Root_thickness, Lost_Shoot_thickness",73.6
"Lost_Root_thickness, Lost_Chlorophyll_A",52.4
"Lost_Root_thickness, Lost_Chlorophyll_B",55.9
"Lost_Root_thickness, Seed_volume",50.7
"Lost_Root_thickness, Seed_density",51.3
"Lost_Shoot_thickness, Lost_Chlorophyll_A",69.3
"Lost_Shoot_thickness, Lost_Chlorophyll_B",68.7
"Lost_Shoot_thickness, Seed_volume",53.4
"Lost_Shoot_thickness, Seed_density",50.8
"Lost_Chlorophyll_A, Lost_Chlorophyll_B",96.2
"Lost_Chlorophyll_A, Seed_volume",56.2
"Lost_Chlorophyll_A, Seed_density",54.7
"Lost_Chlorophyll_B, Seed_volume",53.5
"Lost_Chlorophyll_B, Seed_density",55.2
"Seed_volume, Seed_density",66.6
