"accession_name"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"C30"	"C31"	"C32"	"C33"	"C34"	"C35"	"C36"	"C37"	"C38"	"C39"	"C40"	"C41"	"C42"	"C43"	"C44"	"C45"	"C46"	"C47"	"C48"	"C49"	"C50"	"C51"	"C52"	"C53"	"C54"	"C55"	"C56"	"C57"	"C58"	"C59"	"C60"	"C61"	"C62"	"C63"	"C64"	"C65"	"C66"	"C67"	"C68"
"IRIS_313-8703"	2.42208008943699	2.44573503644332	1.07155801344015	1.82860315325291	0.537548205871459	1.34601757167857	-0.547669876796064	1.54980657421555	2.30200649570269	2.74064880406769	0.237445245284505	-0.686709810717339	-0.312472156101108	-0.259349282170853	-0.593937712061907	0.157352890381696	-0.533407174780547	-0.16290220373078	-0.312898435099866	1.22594474582596	-2.09735459570069	-0.586426048092725	-0.482403215665669	2.37720413110274	1.84276565067252	-0.469956121448886	1.34401530330503	0.598642468219124	0.877428903813033	-0.416980050158427	2.55695319716249	2.15072108386822	1.31391469959475	0.801264185048349	0.0390940315128358	0.334677785556349	2.0858501643845	1.03501507386354	-0.641197517563967	1.21506421228754	1.09371258221685	1.31077266223898	0.99099978004601	1.37462014598816	0.987459560217991	0.40464393485216	-0.68412466182163	0.789334330350955	0.964465239182606	0.559078271741178	1.14885648702815	1.20800230293524	1.06403219534231	1.30433180028186	-0.802878222476776	0.878922534068802	1.16724969048895	0.595029283885536	1.03662930477164	1.17374675537352	1.21221666601838	0.971258320028967	1.34582675424287	0.719645961158415	1.17964937658927	1.26074594717969	1.27475098063217	1.04460951170906
"IRIS_313-8717"	1.12869198816084	0.987528342618013	-0.596149923326505	-0.206740261265149	-0.710424973025652	-0.700616095583982	0.716091761015106	0.992428760930983	0.1268622299841	0.780874476647601	0.185393657910525	-0.55321921041602	-0.259899509187493	1.05832263929483	0.936835610868402	0.806114216214317	0.868969683009851	0.404476100796003	0.129966530808079	-0.368390870082248	-0.30028868796886	0.11003039119204	-0.00342149975676303	0.144814777528847	0.503566512210675	0.359742168556345	-0.251156425810912	-0.272199634685116	-0.538841494067871	0.142035569734741	0.400846106603921	0.654712354918957	0.248328501028672	-0.475672444446873	-0.259960981869466	-0.763357512703833	0.625046820993793	-0.206745962331351	0.167922455558434	-0.705465564300885	-0.345943326388359	-0.457750033973385	-0.681092057035831	-0.525409807372415	-0.244453466262927	-0.511228617362653	0.430503590413403	-0.414056089335729	-0.580100800202704	-0.405005565311598	-0.42063480515107	-0.740335519222085	-0.171859336299563	-0.443446237507336	0.331349679580711	-0.484364714604218	-0.675889482183567	-0.658438715280316	-0.632097150053607	-0.651984001354994	-0.340068284606882	-0.39663719000302	-0.504655371342454	-0.550292091507797	-0.718504030548591	-0.784405322999285	-0.448874680046037	-0.492869469559
"IRIS_313-8721"	-0.583832187185184	-0.578887534991961	-1.9142960124154	-3.30431824730826	-1.54013828738209	-2.74589537063897	1.56097712791715	-1.46984794307023	-4.01571761308328	-3.9049671931624	0.0286935088198915	-0.910911319165967	-0.148549474199387	2.16364810228695	2.26154281288701	0.864770609086718	1.33020364195924	0.948496082389755	0.39449370797018	-1.7813582231217	0.470935913479487	0.798569116793738	0.805177141674795	-1.05146360104919	0.16860194261617	0.259348739042277	-2.25727482373238	-1.32879028565061	-1.889150806695	0.659670335956884	-0.506148491238438	-0.360543797339753	-1.15570981662875	-1.51006066361377	-0.884291091160015	-1.14193664657639	-2.72374810243551	-1.06533445754995	0.83026177093367	-2.41484946656562	-1.52316304968972	-2.2345318651865	-1.59134855362599	-2.12466778868926	-1.15754882372158	-0.752101814344116	0.915466990457543	-1.31403844811113	-1.64671086590321	-1.00414194343519	-1.51097847194785	-2.17123275105034	-1.34660691081518	-2.11329970585132	1.13864232564641	-1.3258549766375	-2.29072318578829	-1.09974195496659	-1.64109802316044	-2.18406210634666	-1.65523296155144	-1.49371889211522	-2.06022871407138	-1.29349099200317	-2.10955627364622	-2.12108589668971	-2.0673308293087	-1.78565557739511
"IRIS_313-8733"	0.573141918371192	0.478043153162344	-1.51246187964336	-1.99612466044876	-0.893850447667999	-1.4096101040638	0.906219243193759	-0.807707267093989	-0.95157144007766	-1.27587470462629	0.294566854311912	-0.192199025323883	-0.247204066049319	-0.162878941334825	0.527166975957958	0.204379047720565	0.803329678480713	0.625372728941715	2.04025679182166	-0.820807971927731	-0.100406043053208	1.13467427586056	-1.22969842079956	-0.633503796563358	-0.108033975327809	1.31602945240453	-1.07252355398981	-1.42021422950782	-1.01003318458023	1.65889899708246	-0.0415448988512399	-0.468163737997038	-1.12153900453112	-0.681809636241085	-1.84418844152865	-0.619319266831506	-0.76208070156801	-1.28012983162473	2.23919069068362	-1.19778593407176	-2.01034827781762	-1.57047258738935	-1.33471889397794	-1.59469851905622	-2.10505152693965	-1.98341129990006	2.06421173381038	-1.93603971205865	-1.95135553151101	-2.19330569180132	-2.1146262206297	-1.58577800666651	-2.29670502921146	-2.17965821510029	2.26140169020398	-2.03920592308633	-1.56036842801961	-2.00112198774332	-2.06800819468718	-2.13206973229419	-2.31750712866829	-2.24624667368738	-2.28188285220789	-2.21259908360427	-1.88819156813948	-1.72371814716462	-2.42482916699112	-2.17526010990162
"IRIS_313-8737"	-1.00631723934537	-0.89027734037311	1.69721062093993	2.49343495496834	1.95896022036838	1.98510849677891	-1.98733883009203	-0.780847961389619	1.52009639168798	0.557666924301635	0.391848527595997	0.920898699472248	-0.276969443381123	-2.31297452222842	-2.4964232933921	-2.10922285401252	-1.7491216600788	-1.88046221667152	-1.80507345835964	0.986571568810393	0.400317591913844	-1.00062019029724	1.15365728359168	-0.55413481247839	-1.4502617393191	-1.36800974835355	0.783887909013459	-0.0405732764949093	0.631340516410651	-1.41551938352759	-0.537164069213287	-0.960542140810711	-0.920720460277903	1.30519440611412	-1.34295562042718	1.15264701351131	1.18195752235466	1.45115730084106	-1.99389328239756	1.36515364782794	1.97785377183329	0.697212752720349	1.8270962517758	1.45896220676091	2.04913700811789	2.15430547613982	-1.95017120057074	2.20813169852987	2.22807611584843	2.24684902669921	2.09588696424526	1.77184118557503	2.15843984753192	1.90513187845869	-2.07275472087847	2.29357478730784	1.08181589891702	2.20162924768498	2.33161850392964	2.16065714097175	2.21995715142693	2.39329411728891	2.04457748179435	2.31128709157875	1.49548748517941	1.91826117387256	1.61819238232116	2.35432301226795
"IRIS_313-8789"	0.00643580857189334	-0.0256930947717681	-0.0151106432671135	-0.452030709287393	-0.0253191091113137	-0.268215757828651	0.0295388962196291	-2.89602853427514	-1.02880676968031	-2.72565130878405	0.764761231986604	1.96964097252554	-0.205747219287995	-2.3755366107999	-1.96221737687102	-1.0309610358902	-0.620919360130338	-0.83459359430921	-0.321337115356451	0.270576789229115	0.024769799946282	0.00499133368230431	0.544327320851072	-0.226124652937581	-0.58833000822651	-0.121489155642493	-0.329349724028932	-0.148215673691158	0.137830706418293	-0.130406590873152	-0.537819585528681	-1.1703662757786	-1.34602975829438	0.0518558703275903	-0.49329889626002	0.519036300774815	-0.766777718185068	0.0638547379326669	-0.230668765739296	0.138123363998295	0.421815515648121	0.0828414624509127	0.409579581525529	0.145031328918347	0.157965662708014	0.311660189935362	-0.45869977378903	0.273382396980898	0.47171937205444	0.295969063559669	0.362665455687664	0.2262066298985	0.166062129615274	0.240240771104581	-0.424760147615067	0.22942942642846	0.167773035209248	0.51058192575299	0.417141259667032	0.30573673329294	0.350382951732559	0.231823173865881	0.211831628419688	0.480988100247726	0.246610878641965	0.198996811647393	0.25794688787556	0.460413556041947
"IRIS_313-8822"	-0.113390847603324	0.145425429231315	1.76529910241756	1.81015980486702	1.26996187233587	2.07602688389998	-1.28962922746475	1.19378762462942	1.84444406718016	2.1692774858771	0.218851675473522	-0.0534994731624141	-0.279790701666729	-0.1253575839593	0.232960866858277	-0.0907849875602457	-1.03889782258767	0.694333757101229	-0.296888755699202	1.84769207473764	-1.07541725989674	0.712553490637647	1.72071330047988	1.38667627609797	0.148783682326347	-0.141913665289753	1.62739886342213	1.1025211024981	1.82312403615122	0.18344822540782	0.0235521075066243	1.09931740366985	1.3319320605661	1.36645929786452	1.66956779098462	1.56218447059361	1.01436805058533	1.14228329539958	0.276602358869826	2.26915630745207	1.52006496030464	2.10955497877121	1.93243190936592	2.12319685844219	0.650308608751491	0.457802747319345	-0.770610376971091	1.16511388996279	1.71130970498591	0.0596895771741401	1.24908920206805	2.24047587595558	0.228924736144102	1.88198040232912	-0.330664250814604	0.93093109433424	2.24169848678951	1.04371298954963	1.46327841474645	2.03398183606421	0.817603126100067	0.531002071968782	1.62063870617904	0.629231732198325	2.24433927959085	1.97317809624149	1.92650661370967	1.30149514786802
"IRIS_313-8850"	-0.880007533851269	-0.943476822641132	-2.35903951115367	-3.22790137678898	-1.9881652406449	-2.37746780180049	2.0121357150406	-0.279903439378447	-1.92467456735753	-1.59556220410856	0.133842109321219	0.822632198463519	-0.34401512622559	1.56638004000556	2.34962033410872	1.91564360533714	1.77814681917586	2.00539407113776	2.43589353727845	-1.14491470305271	0.936337743136942	1.90820573846758	-0.534155447891451	0.801275753824863	1.83926130996316	2.28146135263754	-1.30661498321405	-1.08429079055544	-0.968460024572174	2.26930527790678	-1.11394766764722	1.30754278389835	-0.239412352036167	-1.5671725308906	-1.12224052819388	-1.22901757224872	-1.85169139759645	-1.95360985969159	3.07133498728063	-1.78377240141072	-2.52409212164396	-1.57817662512434	-2.23028981697085	-2.03687697608522	-3.00306607325932	-3.07478311105979	2.78698753215602	-2.83273121258401	-2.77314117780536	-3.28960325727039	-2.93735010945921	-2.34754305034164	-3.22585473122981	-2.60396709339681	3.03912205531837	-3.2072928673115	-1.92403399766529	-3.00561043477798	-3.15072890259865	-2.85122105449648	-3.18871957094612	-3.42425426102062	-2.99928974853062	-3.24490397309854	-2.44110219640183	-2.75344652284023	-2.67107135324031	-3.0333257858554
"IRIS_313-8854"	1.97924299763875	2.00587146662407	1.63256648070379	2.29989098462663	1.74584001136634	2.01176747186247	-1.76947306041143	1.02144149739028	1.60274251324361	1.82736667161954	0.21867026662204	-1.26104496733	-0.294245362802297	-0.431824289443995	-1.31184087466755	-1.3725478240165	-1.25531736662059	-1.67883827803777	-1.567954587495	0.34855806093108	-1.68372699223558	-1.66258583596465	-0.363991748240683	0.146450624569778	-0.108039012694186	-1.52754205561505	1.05940508861239	1.10873994402505	0.99320568672579	-1.62592467946057	2.19854350741133	0.10659934963953	0.335280104730548	0.747854578269082	-0.17864476575268	0.681655176382484	0.53356769966167	0.945621799112105	-2.28930128842216	1.20385635656682	1.36001328133214	1.03557207056841	1.13017526734915	1.33247212739382	1.84789405764299	2.06442408189724	-1.80836736453512	1.65230396175018	1.54908120972447	2.40164798572466	1.72792067984064	1.53134099168527	2.21681806990477	1.72482689312038	-2.1830806097645	1.9867071799238	1.25535192716909	1.94990724321678	1.87995088916227	1.88224804503308	2.09760799611829	2.32764889213342	2.03435624294655	2.29537276476834	1.55970336946841	1.8476193907	1.73420176430685	1.90890997511761
"IRIS_313-8864"	3.31934068706966	3.26384523814742	1.75756961230449	1.78381884566401	0.890292768978827	1.90575706032119	-0.911335308819676	2.48879134419558	1.80767980870406	3.00878560027638	0.16878032863227	0.208786120333322	-0.39471265842174	1.25830477992827	0.40890151859173	0.161298304416795	-0.772099982517876	-0.0472977331214167	-0.254164805918686	1.85580383647427	-2.62134449732621	-1.05762097821074	-1.38554675637453	2.54422245652211	1.49069036751592	-0.655587505365294	1.77785846527285	1.58293905483046	1.90346435795284	-0.61785667817765	2.62701942898291	2.03804265977943	2.32687189790233	1.40557481875739	1.6677717741535	1.53118071143737	1.15948693199495	1.01702438273588	-0.930073295558986	2.35201235663418	1.49233695264247	2.44067943902521	1.82651564731386	2.09764212601616	1.10980999208295	0.898580484821936	-1.18846192527318	1.15762124242792	1.68570253467257	1.1523493003322	1.63407773233014	2.21512253233318	1.33337759963511	1.92494385942829	-1.40115116507318	1.34366513520036	2.53684294660577	1.41699548386194	1.81455027182002	2.07247140395124	1.78891451872542	1.534132027835	2.02596243872619	1.59920114104062	2.42044433807193	2.30390468972561	2.16242939160851	1.83213963514108
