Serial no.,Accession No.,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight
154,IRGC 64778,248,595,175,704
154,IRGC 64778,254,554,173,708
154,IRGC 64778,255,532,173,710
154,IRGC 64778,246,618,178,707
155,IRGC 66801,234,584,159,608
155,IRGC 66801,224,547,167,604
155,IRGC 66801,230,562,168,603
155,IRGC 66801,232,563,166,604
155,IRGC 66801,232,560,166,602
156,IRGC 66815,251,550,179,657
156,IRGC 66815,272,502,192,654
156,IRGC 66815,286,536,181,652
156,IRGC 66815,256,516,175,653
156,IRGC 66815,238,486,165,652
157,IRGC 66831,272,506,181,698
157,IRGC 66831,272,520,179,702
157,IRGC 66831,274,538,172,703
157,IRGC 66831,267,529,180,703
157,IRGC 66831,260,530,185,702
158,IRGC 76237,251,495,174,628
158,IRGC 76237,261,489,173,629
158,IRGC 76237,241,519,180,627
158,IRGC 76237,260,492,166,628
158,IRGC 76237,263,517,176,629
159,IRGC 77216,277,548,202,803
159,IRGC 77216,261,553,179,802
159,IRGC 77216,272,545,188,801
159,IRGC 77216,288,554,186,802
159,IRGC 77216,247,565,199,803
160,IRGC 77226,273,595,199,880
160,IRGC 77226,263,585,210,882
160,IRGC 77226,279,591,198,881
160,IRGC 77226,277,611,218,883
160,IRGC 77226,256,613,199,882
161,IRGC 77253,224,621,190,612
161,IRGC 77253,229,630,177,615
161,IRGC 77253,240,599,172,614
161,IRGC 77253,235,615,170,615
161,IRGC 77253,223,570,172,620
162,IRGC 77258,250,566,180,826
162,IRGC 77258,247,600,171,827
162,IRGC 77258,264,526,185,824
162,IRGC 77258,269,591,186,830
162,IRGC 77258,266,599,183,830
163,IRGC 77267,254,507,187,771
163,IRGC 77267,269,573,201,777
163,IRGC 77267,274,568,186,780
163,IRGC 77267,243,524,183,771
163,IRGC 77267,248,519,180,773
164,IRGC 77279,287,644,199,841
164,IRGC 77279,293,664,181,843
164,IRGC 77279,275,582,188,838
164,IRGC 77279,260,606,171,844
164,IRGC 77279,269,581,180,845
165,IRGC 77284,222,560,167,606
165,IRGC 77284,235,549,166,606
165,IRGC 77284,229,553,171,609
165,IRGC 77284,230,619,169,612
165,IRGC 77284,230,590,168,614
166,IRGC 77285,267,498,170,765
166,IRGC 77285,289,562,190,765
166,IRGC 77285,288,508,178,768
166,IRGC 77285,279,544,180,772
166,IRGC 77285,277,573,187,773
167,IRGC 77292,259,634,183,702
167,IRGC 77292,265,635,164,705
167,IRGC 77292,262,618,170,707
167,IRGC 77292,250,625,152,708
167,IRGC 77292,225,619,176,710
168,IRGC 77293,194,623,162,544
168,IRGC 77293,198,621,163,549
168,IRGC 77293,198,633,159,551
168,IRGC 77293,200,584,164,545
168,IRGC 77293,207,626,173,549
169,IRGC 77299,239,704,181,813
169,IRGC 77299,263,672,172,812
169,IRGC 77299,245,685,172,815
169,IRGC 77299,253,689,163,817
169,IRGC 77299,240,652,151,819
170,IRGC 77306,237,578,161,605
170,IRGC 77306,241,608,168,610
170,IRGC 77306,244,546,165,610
170,IRGC 77306,236,581,160,609
170,IRGC 77306,227,610,166,610
171,IRGC 79342,250,491,174,602
171,IRGC 79342,234,489,176,601
171,IRGC 79342,226,512,170,606
171,IRGC 79342,241,488,170,605
171,IRGC 79342,248,507,173,602
172,IRGC 82168,265,380,158,462
172,IRGC 82168,258,431,142,461
172,IRGC 82168,240,396,176,464
172,IRGC 82168,271,407,164,460
172,IRGC 82168,248,373,169,462
173,IRGC 83865,212,379,154,371
173,IRGC 83865,212,379,158,370
173,IRGC 83865,228,397,168,371
173,IRGC 83865,215,366,158,373
173,IRGC 83865,216,283,168,373
174,IRGC 86973,250,562,179,750
174,IRGC 86973,255,590,171,747
174,IRGC 86973,250,613,160,750
174,IRGC 86973,262,566,169,754
174,IRGC 86973,253,586,177,753
175,IRGC 117317,239,666,173,774
175,IRGC 117317,234,690,164,771
175,IRGC 117317,241,654,170,770
175,IRGC 117317,232,687,172,770
175,IRGC 117317,236,712,183,769
176,IRGC 117318,278,560,197,850
176,IRGC 117318,266,616,205,849
176,IRGC 117318,268,594,196,846
176,IRGC 117318,262,561,175,853
176,IRGC 117318,274,600,176,853
