Serial no.,Accession No.,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight
35,IRGC 26478,270,551,184,738
36,IRGC 26504,257,577,198,762
36,IRGC 26504,274,540,176,758
36,IRGC 26504,286,532,178,761
36,IRGC 26504,279,549,182,762
36,IRGC 26504,269,557,180,763
37,IRGC 26578,224,621,162,680
37,IRGC 26578,221,616,163,685
37,IRGC 26578,229,630,175,679
37,IRGC 26578,235,625,165,676
37,IRGC 26578,244,624,167,677
38,IRGC 26624,204,565,157,486
38,IRGC 26624,191,557,144,480
38,IRGC 26624,196,602,168,481
38,IRGC 26624,194,526,156,476
38,IRGC 26624,196,569,155,478
39,IRGC 26629,232,539,156,645
39,IRGC 26629,241,604,164,648
39,IRGC 26629,250,571,165,653
39,IRGC 26629,231,571,163,649
39,IRGC 26629,227,570,172,647
40,IRGC 26638,281,594,195,896
40,IRGC 26638,295,655,195,900
40,IRGC 26638,295,623,170,892
40,IRGC 26638,282,598,180,895
40,IRGC 26638,255,617,172,893
41,IRGC 26744,233,562,166,657
41,IRGC 26744,242,609,166,659
41,IRGC 26744,235,588,180,670
41,IRGC 26744,228,574,178,667
41,IRGC 26744,244,583,168,668
42,IRGC 26772,237,550,171,630
42,IRGC 26772,245,532,171,635
42,IRGC 26772,230,572,179,628
42,IRGC 26772,240,513,186,632
42,IRGC 26772,219,542,160,627
43,IRGC 26802,238,566,173,680
43,IRGC 26802,250,583,175,681
43,IRGC 26802,253,609,168,683
43,IRGC 26802,247,590,179,688
43,IRGC 26802,252,587,195,690
44,IRGC 27516,245,600,193,683
44,IRGC 27516,251,567,184,681
44,IRGC 27516,222,547,177,677
44,IRGC 27516,259,574,184,673
44,IRGC 27516,246,544,175,678
45,IRGC 27522,256,536,161,688
45,IRGC 27522,269,572,180,679
45,IRGC 27522,259,517,172,682
45,IRGC 27522,256,536,192,686
45,IRGC 27522,234,571,151,679
46,IRGC 27526,286,521,180,771
46,IRGC 27526,284,492,185,767
46,IRGC 27526,289,507,191,786
46,IRGC 27526,303,510,195,781
46,IRGC 27526,293,562,181,788
47,IRGC 27536,307,588,191,883
47,IRGC 27536,287,571,169,886
47,IRGC 27536,315,597,200,885
47,IRGC 27536,289,573,200,887
47,IRGC 27536,304,581,198,873
48,IRGC 27540,257,644,170,726
48,IRGC 27540,260,558,182,722
48,IRGC 27540,275,568,196,722
48,IRGC 27540,275,603,189,732
48,IRGC 27540,278,592,181,750
49,IRGC 27547,255,581,180,694
49,IRGC 27547,256,579,173,711
49,IRGC 27547,262,581,180,688
49,IRGC 27547,258,609,186,689
49,IRGC 27547,261,517,176,682
50,IRGC 27555,251,548,164,667
50,IRGC 27555,248,800,169,656
50,IRGC 27555,248,601,174,678
50,IRGC 27555,229,587,170,670
50,IRGC 27555,241,564,162,664
51,IRGC 27567,300,578,200,945
51,IRGC 27567,299,568,200,941
51,IRGC 27567,312,588,186,938
51,IRGC 27567,282,555,177,936
51,IRGC 27567,305,575,196,934
52,IRGC 27568,294,486,168,742
52,IRGC 27568,257,484,174,724
52,IRGC 27568,288,458,185,740
52,IRGC 27568,293,569,165,737
52,IRGC 27568,302,519,186,730
53,IRGC 27577,249,541,172,732
53,IRGC 27577,255,579,165,732
53,IRGC 27577,255,554,175,733
53,IRGC 27577,270,579,182,733
53,IRGC 27577,268,575,183,731
54,IRGC 27594,234,585,187,800
54,IRGC 27594,251,586,168,790
54,IRGC 27594,242,592,191,805
54,IRGC 27594,243,591,191,800
54,IRGC 27594,272,572,186,799
55,IRGC 28947,238,524,171,616
55,IRGC 28947,252,527,159,615
55,IRGC 28947,255,539,162,610
55,IRGC 28947,254,515,158,623
55,IRGC 28947,248,540,172,625
56,IRGC 29004,281,630,189,793
56,IRGC 29004,264,601,183,796
56,IRGC 29004,269,596,143,790
56,IRGC 29004,286,630,183,791
56,IRGC 29004,286,643,180,793
57,IRGC 29009,247,717,160,763
57,IRGC 29009,234,670,178,774
57,IRGC 29009,244,670,175,760
57,IRGC 29009,231,666,170,782
57,IRGC 29009,238,651,167,760
58,IRGC 29031,260,607,181,730
58,IRGC 29031,263,600,194,725
58,IRGC 29031,256,588,168,746
58,IRGC 29031,282,588,186,731
58,IRGC 29031,251,583,200,753
59,IRGC 29036,251,593,172,731
59,IRGC 29036,252,595,152,732
59,IRGC 29036,249,611,183,737
59,IRGC 29036,242,582,195,730
59,IRGC 29036,260,621,183,716
60,IRGC 29068,277,557,182,635
60,IRGC 29068,270,508,190,625
60,IRGC 29068,275,493,171,648
60,IRGC 29068,241,511,184,642
60,IRGC 29068,254,513,173,639
61,IRGC 29072,292,578,190,662
61,IRGC 29072,291,544,182,675
61,IRGC 29072,264,571,189,680
61,IRGC 29072,275,544,180,682
61,IRGC 29072,234,489,154,690
62,IRGC 29083,270,608,183,750
62,IRGC 29083,253,565,171,735
62,IRGC 29083,255,563,180,737
62,IRGC 29083,264,559,163,741
62,IRGC 29083,265,547,177,739
63,IRGC 29089,259,611,182,760
63,IRGC 29089,247,600,168,765
63,IRGC 29089,265,606,180,772
63,IRGC 29089,251,584,178,776
63,IRGC 29089,254,599,191,765
64,IRGC 29096,240,503,171,730
64,IRGC 29096,253,536,184,715
64,IRGC 29096,248,571,179,714
64,IRGC 29096,262,534,183,724
64,IRGC 29096,269,568,180,723
65,IRGC 29116,266,601,179,825
65,IRGC 29116,274,587,206,837
65,IRGC 29116,290,569,189,839
65,IRGC 29116,244,526,198,842
65,IRGC 29116,289,613,192,847
66,IRGC 29131,245,611,177,780
66,IRGC 29131,266,603,178,793
66,IRGC 29131,249,627,197,800
66,IRGC 29131,253,599,184,802
66,IRGC 29131,251,576,189,794
67,IRGC 29146,258,599,158,630
67,IRGC 29146,250,587,197,626
67,IRGC 29146,244,558,184,638
67,IRGC 29146,258,585,147,618
67,IRGC 29146,243,554,171,629
68,IRGC 29221,217,589,161,567
68,IRGC 29221,224,527,162,553
68,IRGC 29221,218,565,167,546
68,IRGC 29221,227,559,151,564
68,IRGC 29221,224,543,170,544
69,IRGC 29230,260,586,187,733
69,IRGC 29230,272,560,191,698
69,IRGC 29230,236,579,175,719
69,IRGC 29230,269,550,132,721
69,IRGC 29230,259,479,170,725
70,IRGC 29260,238,374,179,362
70,IRGC 29260,242,346,175,370
70,IRGC 29260,232,372,187,364
70,IRGC 29260,238,357,154,368
70,IRGC 29260,225,351,163,367
71,IRGC 29283,253,534,185,644
71,IRGC 29283,239,503,185,645
71,IRGC 29283,237,558,176,641
71,IRGC 29283,237,536,199,644
71,IRGC 29283,260,533,191,644
72,IRGC 29294,255,536,168,654
72,IRGC 29294,263,519,170,650
72,IRGC 29294,258,576,173,655
72,IRGC 29294,254,530,169,651
72,IRGC 29294,251,549,168,649
73,IRGC 29297,252,487,171,678
73,IRGC 29297,259,495,179,677
73,IRGC 29297,258,517,182,678
73,IRGC 29297,249,473,176,682
73,IRGC 29297,264,531,191,680
74,IRGC 29333,307,485,204,721
74,IRGC 29333,291,508,196,723
74,IRGC 29333,286,786,205,719
74,IRGC 29333,304,485,188,722
74,IRGC 29333,291,496,207,721
75,IRGC 29367,263,591,205,827
75,IRGC 29367,273,560,273,829
75,IRGC 29367,272,577,195,826
75,IRGC 29367,265,546,193,830
75,IRGC 29367,274,605,196,830
76,IRGC 29377,251,510,183,680
76,IRGC 29377,259,526,184,679
76,IRGC 29377,255,518,189,680
76,IRGC 29377,269,540,191,682
76,IRGC 29377,256,547,190,681
77,IRGC 29416,268,473,193,630
77,IRGC 29416,279,478,196,633
77,IRGC 29416,269,483,201,629
77,IRGC 29416,269,465,183,629
77,IRGC 29416,276,445,182,630
78,IRGC 29432,271,536,205,669
78,IRGC 29432,279,474,209,667
78,IRGC 29432,274,473,205,666
78,IRGC 29432,259,493,181,666
78,IRGC 29432,258,495,176,668
79,IRGC 31611,318,579,205,958
79,IRGC 31611,303,542,194,958
79,IRGC 31611,305,577,208,958
79,IRGC 31611,318,565,203,956
79,IRGC 31611,324,569,209,957
80,IRGC 31618,264,573,184,814
80,IRGC 31618,267,577,178,816
80,IRGC 31618,264,637,195,815
80,IRGC 31618,260,574,179,814
80,IRGC 31618,258,571,181,813
81,IRGC 31655,215,586,202,850
81,IRGC 31655,277,519,194,854
81,IRGC 31655,287,528,217,851
81,IRGC 31655,263,561,194,853
81,IRGC 31655,282,552,183,856
82,IRGC 31665,297,570,185,831
82,IRGC 31665,259,585,192,830
82,IRGC 31665,253,588,189,828
82,IRGC 31665,265,593,166,827
82,IRGC 31665,236,569,173,824
83,IRGC 31727,262,679,193,903
83,IRGC 31727,256,714,197,897
83,IRGC 31727,263,677,181,897
83,IRGC 31727,246,685,164,900
83,IRGC 31727,274,712,199,900
84,IRGC 31745,208,601,167,610
84,IRGC 31745,204,645,160,612
84,IRGC 31745,217,610,161,611
84,IRGC 31745,227,620,174,609
84,IRGC 31745,189,593,169,610
85,IRGC 31801,273,567,189,855
85,IRGC 31801,284,567,182,852
85,IRGC 31801,282,591,205,852
85,IRGC 31801,290,562,197,860
85,IRGC 31801,283,558,191,851
86,IRGC 31812,238,653,177,738
86,IRGC 31812,232,591,175,740
86,IRGC 31812,227,610,155,735
86,IRGC 31812,228,603,174,733
86,IRGC 31812,233,569,167,731
87,IRGC 31832,293,559,194,798
87,IRGC 31832,309,527,194,802
87,IRGC 31832,285,524,185,805
87,IRGC 31832,300,500,197,802
87,IRGC 31832,267,496,176,807
88,IRGC 31841,267,576,197,849
88,IRGC 31841,289,632,200,845
88,IRGC 31841,279,614,191,849
88,IRGC 31841,287,588,188,850
88,IRGC 31841,275,557,195,852
89,IRGC 32796,277,588,194,864
89,IRGC 32796,286,606,197,861
89,IRGC 32796,274,584,214,859
89,IRGC 32796,270,597,193,860
89,IRGC 32796,283,588,185,858
90,IRGC 32816,263,586,171,727
90,IRGC 32816,259,589,182,727
90,IRGC 32816,262,542,165,732
90,IRGC 32816,245,572,171,730
90,IRGC 32816,263,567,177,727
91,IRGC 32817,262,568,182,724
91,IRGC 32817,266,549,172,727
91,IRGC 32817,257,588,179,725
91,IRGC 32817,262,578,175,720
91,IRGC 32817,275,603,175,726
92,IRGC 32861,280,515,200,777
92,IRGC 32861,287,491,196,773
92,IRGC 32861,281,529,203,770
92,IRGC 32861,272,511,208,772
92,IRGC 32861,283,502,192,771
93,IRGC 34034,242,560,198,800
93,IRGC 34034,250,565,183,799
93,IRGC 34034,242,541,193,802
93,IRGC 34034,270,612,185,804
93,IRGC 34034,258,608,188,805
94,IRGC 34699,254,601,171,768
94,IRGC 34699,260,550,184,769
94,IRGC 34699,284,571,183,770
94,IRGC 34699,261,606,194,764
94,IRGC 34699,268,632,182,765
95,IRGC 34709,282,567,194,860
95,IRGC 34709,280,548,199,861
95,IRGC 34709,285,579,286,866
95,IRGC 34709,313,582,190,869
95,IRGC 34709,266,546,178,867
96,IRGC 34749,256,565,192,650
96,IRGC 34749,246,536,175,650
96,IRGC 34749,251,541,189,655
96,IRGC 34749,231,502,173,653
96,IRGC 34749,242,522,194,646
97,IRGC 37086,246,527,166,640
97,IRGC 37086,236,522,159,643
97,IRGC 37086,236,597,168,643
97,IRGC 37086,239,581,169,640
97,IRGC 37086,228,585,145,642
98,IRGC 37149,262,591,181,746
98,IRGC 37149,243,600,170,742
98,IRGC 37149,254,544,181,750
98,IRGC 37149,228,567,162,744
98,IRGC 37149,249,578,174,746
99,IRGC 37161,271,614,182,860
99,IRGC 37161,275,560,176,855
99,IRGC 37161,264,534,201,859
99,IRGC 37161,278,583,204,865
99,IRGC 37161,288,608,195,861
100,IRGC 37182,280,588,190,815
100,IRGC 37182,264,586,185,816
100,IRGC 37182,295,611,186,814
100,IRGC 37182,273,597,185,820
100,IRGC 37182,286,602,197,823
101,IRGC 37252,277,570,187,715
101,IRGC 37252,270,580,197,717
101,IRGC 37252,268,577,178,715
101,IRGC 37252,258,578,180,717
101,IRGC 37252,261,568,204,719
102,IRGC 37272,216,736,178,816
102,IRGC 37272,232,706,181,816
102,IRGC 37272,217,723,195,811
102,IRGC 37272,227,713,185,811
102,IRGC 37272,230,730,178,812
103,IRGC 37346,282,593,203,760
103,IRGC 37346,278,600,195,761
103,IRGC 37346,275,562,174,763
103,IRGC 37346,277,573,204,759
103,IRGC 37346,302,601,199,759
104,IRGC 37468,220,676,178,807
104,IRGC 37468,230,724,176,810
104,IRGC 37468,226,715,181,810
104,IRGC 37468,252,664,177,813
104,IRGC 37468,229,738,177,811
105,IRGC 37478,246,620,166,670
105,IRGC 37478,245,599,161,668
105,IRGC 37478,278,596,170,670
105,IRGC 37478,256,608,172,667
105,IRGC 37478,274,569,160,667
106,IRGC 37550,310,572,206,811
