accession_name,Root_thickness,Stress_Root_Na+,Shoot_weight,Shoot_length,Stress_Shoot_Na+,Lost_Shoot_weight,Height_WO_husk,Root_length,Stress_Chlorophyll_A,Root_Na+,SES,Stress_Shoot_weight,Stress_Chlorophyll_B,Stress_Shoot_thickness,Shoot_K+,Stress_Root_thickness,Lost_Chlorophyll_A,Stress_Root_length,Lost_Chlorophyll_B,Root_weight,Lost_Root_weight,Lost_Root_thickness,Chlorophyll_B,Lost_Shoot_thickness,Stress_Shoot_K+,Shoot_Na+,Stress_Root_weight,Chlorophyll_A,Stress_Shoot_length,Root_K+,Shoot_thickness,Lost_Root_length,Stress_Root_K+,Lost_Shoot_length
IRIS_313-11487,0.221120773,-0.301793685,0.736920117,0.534239722,-0.328418466,0.210476002,0.328519634,0.515471238,0.775536581,-0.063799268,-0.728814502,0.660296637,0.912592639,0.596596888,0.008396313,0.414805929,-0.216550527,0.29618936,-0.263305418,0.47364086,0.004949993,0.076229986,0.161311049,0.074196508,-0.614315183,-9.84E-04,0.592794056,0.142810407,0.509975275,-0.039878014,0.546009821,-0.014091849,-0.289195721,0.03185035
IRIS_313-11557,-0.431659514,0.147513057,-0.845687854,-0.978567095,0.2245008,-0.281822211,-0.008787628,-0.230471753,-0.244490229,-0.098096433,-0.190181048,-0.091374495,-0.259284035,0.044775506,-0.006480534,-0.254870212,-0.059657287,0.380336582,-0.140462498,-0.620909491,-0.008836337,-0.243546989,-0.273497779,-0.1181671,0.086414133,0.003702185,0.0036968,-0.216736714,-0.227457086,-0.12582467,-0.53255177,-0.221686131,-0.344735712,-0.064625614
IRIS_313-11558,0.481538372,0.166889234,0.340916815,0.439744073,0.045985937,0.214048859,-0.734614071,-0.202894722,0.060387053,0.062249424,0.16798754,-0.115094068,0.026051917,-0.160649661,0.006131096,-0.23433433,-0.073077847,0.289276577,0.014124609,0.389426406,0.008820861,0.382690397,0.229592036,0.091790867,-0.56483279,-0.001124253,0.020857091,0.127578195,0.123611548,0.141078199,0.220420331,-0.451154827,0.308266138,0.042826453
IRIS_313-11722,0.461520591,0.008063148,-0.26609324,-0.876254727,-0.351373925,0.129158458,-1.133106774,-0.97029881,0.244367012,0.093600443,0.020818713,-0.323253833,0.253579875,7.29E-04,0.004649067,0.260329844,-0.088680976,-0.633791451,-0.082659717,-0.283525554,0.00725406,0.303423903,0.218011757,0.080453747,-0.506321765,-0.004200593,-0.316745793,0.185881401,-0.736638582,0.187287487,0.206263092,-0.141737604,0.549328626,0.030973401
IRIS_313-11945,0.246452417,0.07281473,0.481639385,0.54227567,-0.109342143,0.19205687,-0.400617831,0.213405688,0.645910268,0.050144772,-0.637081237,0.52656895,0.703850162,0.408751484,0.007380373,0.456344165,-0.232082477,-0.002590314,-0.312885505,0.306079234,0.006252313,0.111089394,0.116341875,0.072413321,-0.017591252,-0.001287158,0.363998773,0.120719966,0.617697992,0.293330783,0.321764924,0.016191835,0.354147608,0.036127004
IRIS_313-11964,0.452805757,0.443224617,-0.283610465,-0.388378979,-0.212611838,0.13046224,-1.127870523,-0.68079043,0.501615723,0.038166074,0.281990781,-0.30985571,0.514557611,-0.338461721,0.008781345,-0.188494338,-0.188928471,-0.147891299,-0.241626843,-0.043461785,0.00816901,0.356857297,0.096569054,0.074885173,-0.894158912,-0.002349679,-0.192905108,0.094310142,0.005883518,0.163474651,-0.056730302,-0.357587275,0.679087174,0.027614968
IRIS_313-12002,-0.465243498,-0.005725932,-0.993920349,-0.819301258,0.186501437,-0.307760791,-0.338762431,-0.677615572,-0.721313932,-0.005307855,0.778744971,-0.756321012,-0.783483729,-0.794815354,-0.002304203,-0.64013969,0.083533153,-0.328104689,0.052714465,-0.85258987,-0.008000052,-0.095463666,-0.375406814,-0.115723919,0.189187915,0.006483408,-0.738062953,-0.296777189,-0.465842929,-0.170260125,-0.811423592,-0.100008737,0.242398042,-0.056826288
IRIS_313-12055,-0.52349891,0.176516438,-0.830813602,-0.75502042,0.295162178,-0.111982027,-1.24578884,-0.610790019,-1.24648475,0.04545222,1.026405421,-1.323173842,-1.442474412,-1.280730911,-0.004017378,-0.282790008,0.291640035,-0.959207176,0.328151042,-0.836746686,-0.004085855,-0.228417005,-0.198251034,-0.027811218,0.056578274,-0.003482338,-0.882755446,-0.150375461,-1.265746211,0.019633802,-0.522584237,0.431107989,-0.293791485,-0.011281607
IRIS_313-12094,-0.906466238,0.132459289,-0.680260022,-0.261102671,-0.107098906,-0.166944509,-1.023937376,0.104960016,-0.475573307,0.142280349,0.53924376,-0.680782102,-0.639890388,-0.765476644,-0.010277588,-0.759445441,0.276097874,0.129944947,0.531103328,-0.793904083,-0.013515648,-0.310710156,0.353923047,-0.076092837,0.01507639,0.004177375,-0.504020335,0.103218181,-0.361529407,-0.423791788,-0.667927282,-0.082251241,0.068137419,0.012460159
IRIS_313-12141,-0.305846589,-0.154813025,-0.241711661,-0.360711986,-0.03254904,-0.232758798,-0.497227982,0.353787958,0.079192683,-0.110501428,-0.29253745,0.139730172,0.125808099,0.195757491,-0.005223145,0.029214478,-0.041701553,0.181281644,-0.117146776,-0.101231754,-0.005799824,-0.225565564,-0.238250574,-0.100217084,0.053742405,0.002394312,0.065762854,-0.171749397,0.028223389,-0.20409893,-0.185494717,0.166515595,-0.275649813,-0.054649585
IRIS_313-8244,0.557991784,NA,0.692193424,0.764760454,NA,0.163052733,NA,-0.309191744,0.336901557,NA,-0.864921255,0.963608496,0.368394395,0.64846201,NA,0.739203858,-0.108731386,-0.148745674,-0.126160539,0.570186006,0.004560551,0.168600361,0.155895176,0.0619283,NA,NA,0.72415082,0.140417131,0.839628875,NA,0.397525693,-0.136289434,NA,0.028206926
IRIS_313-8252,-0.344823782,NA,-0.771311413,-0.530179039,NA,-0.298689307,0.11625937,-0.649698111,-0.301417104,NA,0.374141631,-0.457029006,-0.286741097,-0.479693957,NA,-0.515053047,0.053729207,-0.124190734,0.030041721,-0.716095165,-0.007779902,-0.088237726,-0.297904513,-0.121415178,NA,NA,-0.497741661,-0.238605968,-0.275068806,NA,-0.688352873,-0.186065089,NA,-0.056567747
IRIS_313-8283,0.148436565,-0.364557983,0.186824226,0.271229383,-0.170798154,-0.067274939,0.52669816,0.406543353,-0.059592305,-0.118862936,-0.135329067,-0.073007891,-0.254412624,-0.040839448,-0.00209109,-0.034428092,-0.082978,0.275639142,-0.069533849,0.443885752,-6.19E-04,-0.010896185,-0.204620541,-0.062974155,0.209929041,0.008089312,0.135596746,-0.138922279,-0.142269373,-0.104203178,0.057676854,0.123408565,-0.082089241,-0.01624802
IRIS_313-8321,0.265809311,-0.304625878,0.567333767,0.712883012,-0.170169293,-0.063410827,-0.007883429,0.433542086,0.159874584,-0.106073281,-0.192021873,0.526405058,0.065764715,0.312832074,-0.003638572,0.014790755,-0.089297448,0.583317933,-0.07289984,0.705884131,-5.19E-04,0.043702621,-0.153132259,-0.067411032,0.200368729,0.005916682,0.342075948,-0.098715429,0.475784091,-0.040759856,0.187639457,-0.05894698,-0.137231957,-0.023348651
IRIS_313-8349,0.232250733,-0.087642753,0.024878011,-0.281347976,-0.232942051,0.169249317,0.379204709,-0.536705342,0.085922827,0.053523161,0.111911158,0.005317328,-0.019049576,-0.15935084,0.006008573,0.377351194,-0.087050133,-0.29717651,-0.06065644,-0.181344447,0.005591162,0.151746837,0.156985121,0.088612439,-0.588387462,-0.002263861,0.040046196,0.123556142,0.452809666,0.12900687,0.222413053,-0.114528769,0.442669804,0.028531385
IRIS_313-8410,-0.490483047,0.297989848,-0.384041182,-0.455132811,0.348319894,-0.161035233,-0.137906389,0.286709529,-0.364890584,-0.050825528,-0.085330442,-0.188764807,-0.369173299,-0.033125358,-0.008057996,-0.086955684,0.18350197,-0.164427073,0.192929444,-0.306448174,-0.007273174,-0.34857122,-0.200462464,-0.050291995,0.250437452,0.002925076,-0.160849444,-0.169876086,-0.41548804,-0.060315612,-0.208923018,0.365696361,-0.174100168,-0.041884388
IRIS_313-8437,0.500017035,-0.098203797,1.105783632,0.853313511,-0.348962724,0.239004734,0.979644928,0.138318493,0.970802429,0.084147668,-0.467841593,1.356037311,1.130936154,1.18226848,0.008162295,0.707618532,-0.270207428,0.20293407,-0.354683878,0.507411768,0.006787802,0.163018144,0.175449704,0.077871555,0.209504007,-0.003121836,0.716878214,0.169861747,0.707566934,0.326155761,0.679528909,-0.191917362,0.273246566,0.047701833
IRIS_313-8509,0.464140981,0.161363693,-0.158123897,-0.558160891,-0.074929427,0.081349878,-1.148464043,-0.820646599,0.292616762,0.016602764,-0.260383323,0.459407725,0.3602296,0.670473216,0.007931448,0.463609639,-0.162035321,-0.223536677,-0.197995187,-0.132611123,0.004122625,0.173401236,0.068232294,0.045949343,-0.280639985,-0.003433257,0.30633628,0.071731811,-0.210578081,0.218169327,0.149667852,-0.38265091,0.147115307,0.024597323
IRIS_313-8632,0.159763852,0.230511254,-0.144731999,-0.384177655,0.102792202,0.16482317,-0.86782877,-0.615845884,-0.231340486,0.066025654,0.271238876,-0.506137678,-0.446780359,-0.485078251,0.008199712,-0.46682698,-0.052981138,-0.309087045,-0.00261558,-0.317431569,0.007183704,0.280485048,0.057714902,0.089313015,-0.441707598,-0.001290679,-0.477930406,0.045212157,-0.407635313,0.135567676,0.038566979,-0.184453195,0.357653946,0.035618347
IRIS_313-8641,-0.705599947,0.253468215,-0.832841868,-1.30211987,0.532527613,-0.145483814,-1.257287652,-0.581472726,-1.159074844,0.011742998,0.958198832,-1.225397262,-1.337151154,-1.019994981,-0.006800286,-0.617308371,0.298084888,-0.593100078,0.342079997,-1.017072802,-0.007493284,-0.307756729,-0.209738714,-0.015963411,0.655539039,0.001191663,-0.802467764,-0.175241538,-1.179954659,-0.010634163,-0.235421459,0.233822706,-0.22152905,-0.03962856
IRIS_313-8683,0.577939401,-0.169624915,0.650016586,0.688429511,-0.331491847,0.218573526,-0.242031254,-0.307329546,0.208677804,0.072996606,-0.220565539,0.396860317,0.176015685,0.300985491,0.007883612,-0.017128978,-0.157591053,0.208773452,-0.196593479,0.358587767,0.009030261,0.391408585,0.067433343,0.077444623,0.445778871,-0.004845587,0.114592702,0.091099241,0.491792289,0.226708411,0.368940356,-0.418783058,0.268728105,0.0443692
IRIS_313-8703,0.345177407,-0.110855025,0.723907596,0.567281134,-0.329359987,0.220180687,1.265959546,-0.044096368,0.28963637,0.071502039,-0.140139402,0.678471196,0.30367419,0.372851915,0.007006155,0.279147311,-0.171210325,0.247643791,-0.207828575,0.226798672,0.006389997,0.222073761,0.09846921,0.090519119,0.193913646,-0.003719446,0.393233513,0.108724667,0.983199198,0.209715922,0.486371741,-0.337918009,0.270342981,0.036077854
IRIS_313-8717,0.328667365,-0.208340033,0.424165401,0.806322967,-0.277099495,0.210666916,0.360904162,0.060070181,0.30852351,-0.049789405,-0.060242022,0.18026004,0.37870487,-0.020533171,0.007547132,0.186097582,-0.159544739,-0.074404366,-0.224226859,0.283216389,0.008618448,0.226149873,0.133495027,0.080418437,0.181639893,-0.004914049,0.089395193,0.13245478,0.725359762,0.210299072,0.229731799,-0.00476913,0.26283328,0.038641979
IRIS_313-8721,-0.213814821,-0.058175574,-0.634139877,-0.430901488,-0.143701262,-0.236697217,-0.235942919,-0.392358765,-0.32885412,-0.021585636,0.273577799,-0.68107639,-0.501257893,-0.488062807,-0.001921325,-0.147268081,0.092005491,-0.604284237,0.124845472,-0.412135415,-0.004869412,-0.119888671,-0.221454506,-0.105345087,0.197052464,0.002653163,-0.573390627,-0.177606974,-0.869649752,-0.140839814,-0.57850373,0.3017286,0.142106654,-0.035750078
