accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B
IRIS_313-12141,89.55117906,760.9378233,7.798755968,50.14228397,0.030738381,0.087201724,0.007784842,0.025630006,0.016715998,0.016309779,77.62128289,462.4307703,8.969913423,41.89504695,0.090177346,0.014064543,0.126191025,0.032826187,6.226273006,0.015170151,0.014721082,11.67034184,14.83944051,8.685839072,10.95552423,16.36818557,345.2402046,-1.233551305,10.8994236,3.283726569,4.945955747,0.002415897,0.00228858
IRIS_313-8244,110.5483193,1024.656046,6.868776055,56.98616932,NA,NA,NA,NA,0.017627911,0.017716336,93.59090882,589.1256957,8.478211328,46.26921393,NA,NA,NA,NA,5.531541236,0.016260769,0.015898946,15.1162574,17.19060928,10.79167283,12.31190088,16.63080695,429.602733,-1.589342493,11.36020439,4.580492151,5.462176555,0.002119032,0.002361188
IRIS_313-8252,72.29993586,634.6654124,6.318972302,48.7605081,NA,NA,NA,NA,0.016379833,0.015954736,64.40039335,359.5276306,8.491091078,39.48036802,NA,NA,NA,NA,6.975060233,0.013022323,0.012611412,11.70799755,13.21479554,7.752337115,9.021167092,16.31860365,330.0016983,-1.708366858,10.89083865,3.736430994,4.875496232,0.003142879,0.00339161
IRIS_313-8283,105.3937921,872.1042596,7.870775167,54.84255384,0.030721516,0.084815141,0.007856834,0.025547276,0.016865059,0.016519674,79.08207717,421.6226442,9.119651299,40.30894098,0.090540861,0.015105348,0.121840879,0.034685633,6.430755834,0.013966245,0.012744809,13.15828192,15.68169744,8.68380503,10.25589266,16.49613621,381.0300366,-1.268689485,11.11718375,4.036633848,5.054469839,0.002409044,0.002874492
IRIS_313-8321,114.6370883,974.5319718,7.884675854,56.78965315,0.030703617,0.124803304,0.007825135,0.025527645,0.016938355,0.016717527,84.28583695,514.9596786,9.576977969,44.432633,0.090114753,0.014778158,0.121958212,0.034679919,6.351411563,0.015274486,0.014360283,13.74755586,16.23848977,8.747330687,11.32088132,16.49802031,381.9671731,-1.513473445,11.07942636,4.253116555,5.042044662,0.002322047,0.002803656
IRIS_313-8349,86.78901772,850.207834,6.464137011,50.90573322,0.032642755,0.129867981,0.007784517,0.02543386,0.017618313,0.017741084,76.92505527,439.9324667,8.222201802,44.26339041,0.101856155,0.025352779,0.120425858,0.031014357,6.728863302,0.014766175,0.014181906,13.5328305,16.40324568,9.416339653,9.914291042,16.65586124,431.6347225,-1.58069091,11.35466719,4.497100222,5.543515554,0.00233368,0.002902918
IRIS_313-8410,83.46329051,725.3780286,7.636221269,48.58268075,0.030897005,0.124730874,0.007791034,0.025492124,0.016701882,0.016579067,72.87508092,411.9060375,8.448771057,38.76031117,0.092384067,0.014369553,0.137678904,0.033069802,6.472808518,0.012774998,0.012252961,11.15328262,14.86091831,8.543160995,10.29703843,16.33080434,360.3380409,-0.900318742,10.96231428,2.907328687,5.12011441,0.003933096,0.004328491
IRIS_313-8437,107.4896081,1110.96051,7.493224975,58.20926851,0.032648364,0.175614669,0.007745218,0.025373553,0.017729714,0.017777605,93.11991654,652.1907201,8.97456109,45.89285499,0.101391961,0.024194663,0.116724401,0.032397345,6.017429692,0.018192061,0.018416674,14.44865044,18.28246481,10.54144845,13.8820692,16.68708438,445.6660867,-1.694125105,11.47730083,4.55160946,5.51884034,0.00107341,9.22E-04
IRIS_313-8509,87.71727825,799.2755332,6.059198534,48.65238585,0.032279639,0.160257446,0.007747023,0.025445156,0.017468243,0.017414011,83.38135496,502.7249492,8.344481193,40.17229482,0.104128698,0.027317884,0.125411631,0.031117207,6.272835336,0.015980931,0.01580109,14.27468472,16.22528235,10.11678019,12.34319999,16.63333439,410.8875257,-1.948142972,11.3353453,4.669142565,5.415253884,0.001835168,0.002000163
IRIS_313-8632,82.59522745,802.8561621,6.377392626,50.41877354,0.032472858,0.122907978,0.007758895,0.025500276,0.017377922,0.017408359,65.4477343,352.7794706,8.186424687,38.41956302,0.102947284,0.026041111,0.131225198,0.030838484,6.922661088,0.013081029,0.011989404,13.26104705,15.96566598,8.068582599,8.979760982,16.6975357,430.3080032,-1.697974418,11.40197685,4.97005841,5.552891657,0.002569337,0.00334972
IRIS_313-8641,64.3528594,624.3862653,6.397773614,41.67714871,0.031317275,0.146956458,0.007781569,0.025492232,0.0165955,0.016408596,58.58031522,262.8223023,7.746192808,32.930349,0.092729292,0.015000092,0.143971946,0.035081305,7.604390594,0.008907562,0.008183404,10.52681657,14.75189462,7.642406788,7.726623029,16.32701267,362.9937197,-1.065512208,10.97266326,3.041198626,5.232192503,0.004841404,0.005542991
IRIS_313-8683,103.033209,1005.866219,6.861024762,57.2012828,0.032629593,0.154617678,0.007735779,0.02538415,0.017535139,0.017345378,78.77785679,506.9851102,9.031755965,44.52051797,0.10136069,0.024209192,0.117429241,0.032721797,6.314580465,0.01566359,0.015263906,14.75253148,17.07413901,8.867995224,11.28276191,16.74187959,441.5139244,-2.003269527,11.45678524,5.372769584,5.516531067,0.001816759,0.00187169
IRIS_313-8703,98.75330336,1030.186562,7.228947943,56.43149488,0.032524342,0.147507885,0.007745864,0.025371602,0.017574954,0.017497235,85.41065631,547.9870422,9.098081139,47.16211608,0.102200216,0.025399992,0.117419275,0.032190826,6.413038002,0.016089259,0.015748333,13.91949092,17.53197613,9.398675701,11.50695413,16.67734703,442.026913,-1.874167368,11.4114885,4.745634955,5.557013177,0.001713697,0.001798655
IRIS_313-8717,100.3311822,943.6559407,7.343696441,57.7517805,0.032098826,0.136354763,0.007754989,0.025414976,0.017637734,0.01765634,78.17041593,469.9366952,8.59845553,45.89048748,0.101484901,0.025104528,0.118737757,0.032164874,6.518571792,0.015814052,0.015935891,13.86716879,16.46728533,9.149511381,10.32436531,16.73091469,438.9986606,-1.461042245,11.42002135,4.744273955,5.518065446,0.001861181,0.001851586
IRIS_313-8721,80.12087815,665.5903933,6.696076206,49.75138504,0.030935441,0.116865338,0.007795727,0.025745288,0.016613212,0.016341574,62.82397525,324.7479928,7.674560189,34.66314899,0.089595485,0.014254661,0.123477484,0.033082735,6.879424194,0.013114548,0.011870899,12.04687389,13.6004126,8.390601873,9.005267587,16.39028641,343.6124362,-1.028688489,10.99992586,3.620750687,4.926782461,0.003359517,0.003997491
IRIS_313-8733,91.64819787,934.1853774,7.758006636,56.24584027,0.032077782,0.135868364,0.007782293,0.025409865,0.017593782,0.017497519,76.61692186,467.3876602,8.705618795,43.60583683,0.099787039,0.022400147,0.117878865,0.032306266,6.223647687,0.014817963,0.013709762,12.6115725,16.57066874,8.923002954,10.57162249,16.67994401,438.7898427,-1.248659652,11.41846535,4.136412968,5.497810739,0.002076875,0.002459419
IRIS_313-8737,85.0671198,845.7345805,6.759502889,55.33282784,0.032422324,0.148828045,0.00774624,0.02551423,0.017565674,0.017489895,75.91016884,480.9781046,9.106099367,44.39754203,0.102036191,0.024639649,0.126728451,0.031109299,6.248634492,0.016274215,0.016429958,13.15820476,15.51469104,8.425593868,10.65080219,16.65539796,420.0884665,-2.095554887,11.40015122,4.826019529,5.419393465,0.001911163,0.001807403
IRIS_313-8789,80.0787286,712.6286891,6.956947794,45.17577681,0.030820207,0.08939022,0.007778976,0.025546348,0.016978551,0.01706321,75.38824073,403.0776849,8.653826249,37.9155371,0.091520844,0.014440265,0.145963392,0.032768208,6.625233315,0.013760473,0.013789749,11.69636842,15.45066944,8.638231423,10.44243979,16.30734184,354.335826,-1.263815165,10.88533369,3.134203916,5.109319504,0.00370008,0.003911191
IRIS_313-8822,90.86056181,853.5723835,6.584833746,51.72886057,0.032346262,0.511022493,0.007775044,0.025546818,0.017121775,0.017472047,74.27342216,455.354046,8.314398335,38.17297283,0.093787229,0.016605791,0.133364884,0.032510997,6.69630263,0.012662522,0.011558813,12.97397789,15.6788848,8.674622816,11.04701785,16.39381315,385.7388807,-1.391494236,11.18905764,3.883201322,5.229232033,0.00448473,0.005748945
IRIS_313-8850,87.2235554,910.1786489,6.960470263,53.73116679,0.031835831,0.111389192,0.007771694,0.025415909,0.017484598,0.017376464,74.01423139,385.0373595,8.650579372,37.87142601,0.101542227,0.024658724,0.130389435,0.030258058,6.922596772,0.012942522,0.012285883,12.93035,16.55684147,8.572237606,9.872920798,16.64088376,434.9907817,-1.642756238,11.40357795,4.469850438,5.500210787,0.002855775,0.003177032
IRIS_313-8854,105.3791962,962.2535488,7.829831074,55.49432626,0.032834811,0.199451459,0.007745201,0.025360303,0.017606018,0.017548551,88.26106465,528.8939052,9.549198585,44.28593478,0.10113322,0.023774867,0.115082456,0.032946835,6.23782506,0.016824858,0.016768806,13.88529133,17.09313004,9.283962313,11.8661723,16.71087436,436.739178,-1.908154208,11.45015062,4.836671209,5.50300586,0.001444893,0.00145886
IRIS_313-8864,104.9787663,900.2022009,8.303519719,50.96919761,0.030645488,0.093460849,0.007785265,0.025572943,0.016864129,0.016938483,78.88271894,455.0021317,8.685326471,39.78733615,0.09155627,0.013750852,0.137500382,0.031811639,6.667088701,0.012888337,0.012755325,12.14954721,16.60645926,8.905788366,11.10744359,16.42332449,382.477609,-0.688059664,10.97758188,3.219660374,5.218460545,0.004061295,0.004448698
IRIS_313-8930,83.95957774,832.6522137,6.223770799,53.25182317,0.032383033,0.116053515,0.007754435,0.025363092,0.017611236,0.017742397,73.72591388,417.4040898,7.896716743,39.69863663,0.102514532,0.026640784,0.125775753,0.032029897,6.603085844,0.015034093,0.014425785,13.77757821,15.86351291,9.440701267,10.27809185,16.63624566,425.6985439,-1.566261714,11.44909888,4.612018316,5.486387175,0.002334397,0.002746614
IRIS_313-8932,84.31278643,779.6036715,6.907458271,51.19821972,0.032455355,0.125349444,0.007751708,0.025322173,0.017529698,0.017549515,68.65456046,369.982134,8.608673703,39.70776385,0.101524127,0.027556151,0.123432507,0.031535598,6.880674776,0.015743667,0.015637175,12.96606715,15.51554515,8.208444292,9.187284863,16.6662115,423.0583687,-1.68424877,11.41565888,4.707884468,5.495135315,0.001862709,0.001926786
IRIS_313-8963,109.1356097,828.4169519,8.21935154,51.24335497,0.030742687,0.076293146,0.007774693,0.025662572,0.01677553,0.016505631,80.08277238,473.6436442,8.803095985,40.28349826,0.089913092,0.013955002,0.12826876,0.032995238,6.430166908,0.015440573,0.015112495,12.58660515,15.44422465,8.955527408,11.35184063,16.4309191,355.1603072,-0.933971319,10.94288605,3.535978169,4.997873319,0.002684019,0.002648844
IRIS_313-9049,103.9261242,1000.421342,7.042649855,57.69522942,0.03295403,0.147184796,0.007767292,0.025555379,0.017431697,0.017273636,73.97929435,475.2138307,8.918506895,46.78106277,0.101088189,0.023863319,0.121704483,0.031543975,6.852391042,0.014009182,0.013317364,14.23662304,16.68725545,8.463098234,10.13788093,16.73136214,443.1756263,-1.849894758,11.41595187,5.28665281,5.533045582,0.002510634,0.00289238
IRIS_313-9066,78.82079443,741.1664584,7.425945021,50.93318016,0.032437776,0.091277943,0.00776231,0.025350892,0.017597139,0.01794102,61.17473899,284.422192,7.623152965,34.67494733,0.101480793,0.02657708,0.131459266,0.032044474,7.222907498,0.013542228,0.015189254,11.89958997,14.9934242,8.172872338,7.928925192,16.58813671,419.4376274,-0.870955394,11.4701942,4.089248922,5.473689479,0.003364208,0.003250183
IRIS_313-9067,108.912435,1025.888551,7.736748356,56.89550881,0.032066671,0.131980849,0.007784118,0.025474174,0.01784969,0.018069129,82.59269835,561.1961399,8.97839002,46.18320147,0.100645952,0.023875703,0.12598203,0.030973264,5.8423626,0.017215591,0.017063925,13.93588171,17.54874435,9.187328654,11.92181758,16.71700645,440.5660614,-1.457589135,11.41211636,4.651730724,5.51305072,0.001791382,0.001985983
IRIS_313-9072,91.58189777,809.4026611,6.369487908,51.83935871,0.032278978,0.122543685,0.007746694,0.025434922,0.017509681,0.017490804,74.17429777,406.9787737,8.507078177,41.1868011,0.104010245,0.027233968,0.129962188,0.031285263,6.875582914,0.014807596,0.014520647,14.19207801,15.79208721,8.873348339,9.993802,16.70051585,421.0261833,-1.915966146,11.36556731,5.094668793,5.470858128,0.002329204,0.002623479
IRIS_313-9108,90.18673924,852.7531521,6.99207076,52.59015823,0.03244031,0.11509316,0.007767495,0.025370975,0.017664971,0.018054728,82.55116477,521.5812726,8.442167069,44.80399765,0.099853249,0.023645231,0.115882757,0.031637936,5.811502571,0.016098473,0.015731356,13.19010832,16.04807966,9.685753074,11.3598515,16.55802835,410.2310167,-1.50293015,11.33693423,4.083070553,5.384803034,0.002266164,0.002898231
IRIS_313-9139,86.73157042,851.3568831,6.71260206,52.36364294,0.032258078,0.118081357,0.007740661,0.025373491,0.017408863,0.017319145,69.49126136,351.0383306,8.454613685,39.06835904,0.102649213,0.026055586,0.127977127,0.031956708,7.243885328,0.013499321,0.013243885,13.35933267,16.26748443,8.353645469,8.880565502,16.71124859,436.7166348,-1.699494838,11.41836611,4.910275186,5.574343093,0.002433701,0.002667924
IRIS_313-9148,97.31004902,992.1185602,7.678136693,55.23658764,0.031949462,0.121202579,0.007784957,0.025468128,0.017530166,0.017699403,88.38214463,508.3421763,9.413643924,46.27151945,0.100270245,0.023012482,0.12139205,0.030872585,6.325414489,0.017268929,0.017384202,13.11987632,17.37896009,9.285951088,10.90538813,16.60667805,437.8089502,-1.702569465,11.33760444,4.210624716,5.521301175,0.001367965,0.001559483
IRIS_313-9156,94.8816887,835.1470364,6.734191563,52.61338369,0.032401432,0.121006739,0.007739942,0.025401167,0.017617519,0.017704464,69.8358892,427.374427,8.612280955,40.80386567,0.103742877,0.027038525,0.130874566,0.030567286,7.063353763,0.014231158,0.013562798,14.03194257,16.03069372,8.315180964,10.38210718,16.74553685,426.1768185,-1.825799327,11.40539772,5.262742401,5.502622387,0.002699221,0.003261565
IRIS_313-9170,78.04654018,879.7637812,7.146635114,56.80669949,0.032587925,0.073619061,0.007820117,0.025713665,0.017475806,0.018481211,73.66019281,533.7612056,8.62648628,44.88278078,0.092628159,0.017008357,0.118762655,0.032290492,6.540164982,0.015436996,0.014744182,10.86427319,14.90923976,8.496585511,11.45704278,16.1580907,373.0043122,-1.474573357,11.34256701,2.848749977,5.006136585,0.003317642,0.004795826
IRIS_313-9174,110.1224981,989.697036,7.736083749,55.81759968,0.032645445,0.30209362,0.00773527,0.025371067,0.01765554,0.017613715,86.54134341,556.248461,9.440622847,44.27779754,0.10135917,0.023989342,0.116307852,0.032677283,6.251121155,0.016655266,0.016431985,14.30059236,17.32623197,9.257458506,12.4142414,16.73681381,436.3033853,-1.875823097,11.44333627,5.01069652,5.487648675,0.001577602,0.001644271
IRIS_313-9218,100.726016,938.0043064,7.117645992,56.66517514,0.032641223,0.161544639,0.007738215,0.025398243,0.017619795,0.017519647,85.27744828,505.234009,9.270759072,44.79278281,0.10151564,0.024073047,0.121320933,0.032715317,6.284392871,0.016141989,0.015777039,14.25774535,16.61358614,9.265205303,11.30469348,16.7089466,434.4651893,-2.020436703,11.44529679,4.987818265,5.481232925,0.0016987,0.00178034
IRIS_313-9262,121.6143838,984.845478,7.008861285,55.43773894,0.032299433,0.106703544,0.007747158,0.025418454,0.01775516,0.017878134,85.48928218,531.3053009,8.84687509,43.16421945,0.102094203,0.025456806,0.124527896,0.03207647,6.101064731,0.017185551,0.016730229,16.12151127,17.32508246,9.68081102,12.13667748,16.79196907,436.4234021,-1.796020697,11.42293643,5.635160467,5.498092597,0.001731445,0.002001378
IRIS_313-9271,106.417047,882.7582113,7.244026038,53.59815147,0.032207577,0.097974364,0.007733431,0.025412829,0.017553663,0.017525519,75.55632496,415.6607554,8.614373199,42.53113904,0.103211606,0.026412027,0.125798234,0.031932572,6.855822355,0.01538865,0.015288105,14.51822657,16.50528439,8.878667991,9.826243871,16.79590151,435.4751481,-1.589124579,11.39711389,5.286516301,5.550218357,0.001990509,0.002134304
IRIS_313-9325,85.64873355,887.618236,5.923461001,49.79151483,0.032266206,0.155196333,0.007748758,0.025306879,0.017720536,0.018130015,68.36468484,381.7960995,7.709218862,36.12232785,0.108326759,0.034367482,0.117819019,0.03069455,6.960682649,0.015200162,0.014932374,14.48874846,17.32008251,8.829511599,10.02336186,16.69211793,439.2196449,-1.613653881,11.44126101,5.236329317,5.623276141,0.002338855,0.002977447
