accession_name,Root_thickness,Stress_Root_Na+,Shoot_weight,Shoot_length,Stress_Shoot_Na+,Lost_Shoot_weight,Root_length,Stress_Chlorophyll_A,Root_Na+,SES,Stress_Shoot_weight,Stress_Chlorophyll_B,Stress_Shoot_thickness,Shoot_K+,Stress_Root_thickness,Lost_Chlorophyll_A,Stress_Root_length,Lost_Chlorophyll_B,Root_weight,Lost_Root_weight,Lost_Root_thickness,Chlorophyll_B,Lost_Shoot_thickness,Stress_Shoot_K+,Shoot_Na+,Stress_Root_weight,Chlorophyll_A,Stress_Shoot_length,Root_K+,Shoot_thickness,Lost_Root_length,Stress_Root_K+,Lost_Shoot_length
IRIS_313-11018,-0.029155032,1.432788245,-0.65844981,-1.190524136,0.037104681,-1.018900208,-1.110272706,1.008220546,-0.575551965,-1.026375908,0.071241132,1.000187228,0.359847135,-1.345484099,-0.715156996,-1.283520355,0.374796493,-0.806452253,-0.727986393,-0.561264181,0.41345777,0.125839403,-0.467959094,1.008357988,-1.422090851,-0.371005005,-0.588985083,-0.324447047,-2.237138765,-0.035187766,-1.449085231,0.831228265,-1.25478627
IRIS_313-11019,-0.531662895,,-0.634891458,-0.271497353,,-1.638944194,2.209582976,0.951472845,,-0.755345617,0.791606115,0.882456443,0.497772082,,-0.173659663,-1.486791477,1.778079535,-1.553872707,0.669609405,0.157217363,-0.393412462,-0.952450737,-1.32067248,,,0.7126117,-0.914631787,1.28954701,,-0.8442113,0.513969788,,-1.439160054
IRIS_313-11047,,-0.05379587,,,-1.15717392,,,,1.852887815,,,,,-1.215429652,,,,,,,,,,1.718965416,0.752284301,,,,0.36291379,,,0.310855598,
IRIS_313-11048,-0.260549419,-0.616008317,0.577788724,0.100795307,1.698636532,0.715036419,1.151793469,-0.120687109,-1.028799979,-0.213285047,0.017399692,-0.212538906,0.073524634,-1.557492586,0.351769179,0.438738299,1.284581006,0.288714293,0.343806089,-0.534151671,-0.491634258,0.482022388,0.719266943,-0.435481188,-1.42619492,0.962630025,0.893752218,0.030236013,0.254071973,0.710753266,-0.392604962,-0.37453969,0.074239764
IRIS_313-11049,-0.027283339,0.378492679,-0.246042525,0.630548998,0.993067234,-0.2533961,-0.474375559,-0.379496929,0.419136912,0.057745233,-0.233241502,-0.613630968,-0.150608412,-0.307212434,0.210948958,0.085446953,0.052833117,0.20130702,-0.292527207,-0.561264181,-0.148131772,-0.763075682,-0.664354069,0.745738405,0.125050789,0.143110184,-0.667590222,-0.225708654,1.181469355,-0.797695733,-0.587383209,0.067908592,1.008809042
IRIS_313-11050,-0.571673256,-1.278850197,0.215680449,0.033166098,0.620090563,0.438604702,0.82256119,0.40794743,-0.830065012,-0.48431533,-0.264803729,2.36249904,-0.414843396,3.357183196,0.397225929,-0.236090428,0.429314333,-1.884585693,-0.06553579,-0.642601715,-0.852837589,0.236907747,0.595740008,-0.480598493,-1.002335257,0.518151778,0.392870948,0.230957856,-1.606901206,0.276822403,0.254026128,-1.545406374,-0.211861622
IRIS_313-11052,-0.381946721,0.210639062,-0.33903322,0.707130427,2.376110277,0.244759315,0.350426457,-0.430438388,-0.138196816,0.057745233,-0.864518813,-0.430548902,-1.084537159,-0.242460796,0.073339975,0.539427026,0.212759863,0.453311683,-0.129289073,-0.344364092,-0.41374407,0.365082405,0.054524794,0.253590602,-0.118518397,0.129219068,0.267772992,-0.225708654,1.094608837,-0.967015795,-0.029836966,-1.560156961,1.102024921
IRIS_313-11053,0.136880791,0.938199578,-0.465463517,-1.198715322,0.195854555,0.788388651,0.273136748,-1.36208167,1.379730191,1.412896581,-2.191722724,-1.272161414,-1.307237224,-1.50953037,-1.426708291,1.449620553,-1.367851997,1.28323475,0.223294828,1.783968034,0.943718621,0.006646399,1.304026709,0.962312885,1.125551547,-1.640861976,-0.111135711,-2.390524017,-0.858793482,0.256197355,1.7125601,0.122461535,1.686181341
IRIS_313-11054,0.663423854,-0.725580539,-0.391966214,-0.250342604,-0.274819245,0.376947238,0.82256119,-0.826289451,1.467469635,0.599805782,-1.076735301,-0.705692704,-1.201807038,-1.040108063,0.166684875,0.748809817,-0.77182889,0.448418877,1.058121746,1.594180454,0.611203926,-0.501683022,0.583970255,-0.095399843,0.653511226,-0.384908984,-0.3735244,-0.732956568,-1.105425115,-0.460569279,1.52107976,0.420807721,0.511956763
IRIS_313-11056,-0.052095236,-0.879962204,0.950091292,0.744454184,0.302097425,1.29973282,1.258204365,0.374560001,-1.389006321,-1.026375908,-0.060577567,0.445431368,-0.250807242,-1.897394743,-1.362933595,0.174180014,1.048702733,0.163422673,0.571183401,1.295942833,0.743053052,1.105066813,1.190858517,0.849815696,-1.38955651,-0.593628615,1.376473484,0.496347039,0.67355135,0.867382352,-0.029836963,-0.82746315,0.354596113
