accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
IRGC 29432,Stress,53,135,9,31.5,0.064117989,0.010869565,0.126251157,0.026208218,9,0.002480586,0.00275528
IRGC 26384,Control,43,457,7,47,0.063488771,0.219992568,0.003522855,0.009141583,,0.018342542,0.01779418
IRGC 37793,Stress,,,,,0.063488771,0.0327945,0.077554555,0.036812523,,,
IRGC 8482,Stress,70,327,8,37.5,0.063488771,0.013439861,0.141435723,0.031664189,8,0.008291878,0.0084739
IRGC 53483,Control,63,483,5.7,42,0.06336431,0.099219621,0.008906916,0.00287068,,0.014477704,0.0136552
IRGC 29416,Stress,108,328,12,41,0.06336431,0.020686238,0.1197294,0.038267827,8,0.007508324,0.00769014
IRGC 29096,Stress,71,450,6.5,39.5,0.06336431,0.016041125,0.100121695,0.029165681,6,0.021368488,0.02111708
IRGC 26390,Stress,44,274,6.75,34,0.06336431,0.008299269,0.19566726,0.026350461,6,0.018091516,0.01783054
IRGC 26411,Stress,100,507,10.5,53,0.06291072,0.014269788,0.113150034,0.035107278,,,
IRGC 49094,Stress,107,760,8.5,46,0.06291072,0.010553698,0.137934032,0.018491975,6,0.020732502,0.02046462
IRGC 27540,Stress,118,435,10,44,0.06291072,0.010553698,0.124211749,0.034621578,7,0.011479026,0.0121301
IRGC 27540,Stress,90,472,10,45,0.062105875,0.008794748,0.121753105,0.03051106,6,0.019640178,0.01943846
IRGC 29083,Control,200,795,9.5,47.5,0.062043644,0.108509848,0.005513805,0.000970829,,0.019273664,0.01830524
IRGC 66801,Stress,47,295,5.5,29.5,0.062043644,0.018998514,0.067124095,0.000602917,7,0.01662947,0.01626908
IRGC 29072,Control,57,419,6.5,40.5,0.061856953,0.057413601,0.011657816,0.001941657,,0.013653248,0.01304314
IRGC 38145,Stress,67,357,9.5,47,0.061856953,0.010126347,0.188587549,0.011400435,8,9.38E-05,0.0002323
IRGC 29377,Stress,79,550,11.5,47,0.061856953,0.00780379,0.135780665,0.017784148,7,0.020673154,0.02010304
IRGC 38361,Stress,,,,,0.06129688,0.012983092,0.06298105,0.03592221,8,0.016411326,0.01655592
IRGC 34034,Stress,165,699,11.5,43.25,0.061251245,0.020772947,0.113428231,0.028765294,5,0.01847808,0.01776994
IRGC 117317,Stress,2,5,6,9.5,0.061251245,0.018914902,0.102588782,0.035971758,9,,
IRGC 66831,Stress,78,613,8,45,0.061251245,0.018914902,0.09595088,0.041545894,3,0.016254936,0.01073832
IRGC 83865,Stress,45,232,9.5,34.5,0.061251245,0.012411743,0.109137002,0.044197759,7,0.00621951,0.00654278
IRGC 26399,Stress,89,595,8,45.5,0.061251245,0.01148272,0.119289281,0.035346072,7,0.023255594,0.02621556
IRGC 29131,Stress,100,508,12.25,43,0.061251245,0.010553698,0.165298201,0.021650267,5,0.022074248,0.02247048
IRGC 43826,Stress,10,20,4,9.5,0.061251245,0.009624675,0.145322649,0.036705875,9,0.015355894,0.02495306
IRGC 53483,Stress,73,426,11,40.75,0.060722978,0.014988232,0.096279757,0.046214655,4,0.005828936,0.00622766
IRGC 31727,Stress,73,575,8.5,53.5,0.060722978,0.01189149,0.191625762,0.020731874,6,0.013522522,0.01289164
IRGC 53541,Stress,128,678,10.5,47.5,0.060722978,0.009568933,0.026268523,0.005661573,5,0.02156177,0.02148674
IRGC 34709,Stress,84,630,13.5,45.5,0.060598518,0.016041125,0.150864771,0.037904125,7,0.02025852,0.01986266
IRGC 37967,Stress,78,575,7.5,47.5,0.060598518,0.008299269,0.091042265,0.029985007,6,0.015960602,0.01494396
IRGC 8593,Stress,2,5,6,31,0.060598518,0.006750898,0.172513312,0.029728725,9,,
IRGC 37468,Stress,110,463,8.75,44,0.0599693,0.017837235,0.141935965,0.031017981,8,0.015772132,0.01558228
IRGC 37951,Stress,77,568,9,47.5,0.0599693,0.013192122,0.137072685,0.046079524,6,0.013122324,0.00753056
IRGC 58736,Stress,29,66,5.75,6.75,0.0599693,0.013192122,0.105263555,0.032431337,9,0.002009812,0.00464398
IRGC 37845,Stress,81,496,6.5,48.5,0.0599693,0.010869565,0.112545636,0.035971758,6,0.01790866,0.01716394
IRGC 8667,Stress,85,247,6.5,36.55,0.0599693,0.006224452,0.12672862,0.035178992,8,0.011243238,0.01098678
IRGC 117317,Stress,3,15,3,9,0.059591769,0.017056856,0.107238005,0.020990891,9,,
IRGC 43915,Stress,51,289,7,30.75,0.059591769,0.013340766,0.088173471,0.03583963,7,0.020317868,0.02018788
IRGC 38416,Stress,154,615,8,45.5,0.059591769,0.010553698,0.136437755,0.033767954,5,0.018737126,0.0180285
IRGC 38293,Stress,47,165,8.5,38.5,0.059591769,0.010553698,0.104924117,0.026857201,9,0.007103314,0.00844158
IRGC 37967,Stress,68,577,7,46,0.059591769,0.008695652,0.112601491,0.024290544,6,0.017300744,0.01638826
IRGC 8806,Stress,57,360,8.5,37,0.059340082,0.02582683,0.050677832,0.0365892,7,0.013614752,0.01309162
IRGC 37272,Stress,157,880,12.5,56.5,0.059340082,0.014988232,0.12873843,0.029646146,6,0.017017638,0.01664682
IRGC 26802,Stress,94,350,11,45.5,0.057974966,0.008865531,0.145956668,0.018061929,8,0.011257674,0.01083326
IRGC 8361,Stress,81,534,9,38.5,0.057974966,0.008201943,0.132486498,0.037768994,5,0.013090244,0.01223312
IRGC 38426,Stress,,,,,0.057957186,0.021955902,0.103200142,0.040876997,,,
IRGC 53479,Stress,49,210,7,32,0.057957186,0.015839836,0.073477892,0.03846842,,,
IRGC 37149,Stress,120,908,11,51,0.057957186,0.014214047,0.119911418,0.037417189,5,0.024159448,0.0280982
IRGC 38522,Stress,80,650,7,50.5,0.057957186,0.013439861,0.111327924,0.031010136,4,0.018019336,0.01284518
IRGC 37272,Stress,117,670,8,55.5,0.057957186,0.010343119,0.161836587,0.0134286,3,0.019305744,0.01836382
IRGC 37149,Stress,61,460,7.5,40.5,0.057957186,0.009568933,0.10792974,0.026298488,3,0.020765384,0.02061814
IRGC 5809,Stress,57,397,10.5,49.5,0.057932293,0.014269788,0.082697201,0.03846842,9,0.01294428,0.01274822
IRGC 27522,Stress,36,221,7.5,26,0.057932293,0.012411743,0.122881492,0.032006329,9,0.002839882,0.00308252
IRGC 29036,Stress,66,402,9.5,46.5,0.057932293,0.012411743,0.119938599,0.0287068,5,0.017729814,0.01731948
IRGC 117317,Stress,87,432,8,38.5,0.057932293,0.01148272,0.104415952,0.049776057,5,0.019820628,0.01898598
IRGC 8855,Stress,50,287,6,30,0.057932293,0.010553698,0.133982899,0.040611562,7,0.009127562,0.0087567
IRGC 77258,Control,98,840,8,59.5,0.057894955,0.103864734,0.008968083,0.003799703,,0.02207505,0.02223818
IRGC 8840,Stress,95,445,8.5,49,0.057894955,0.017837235,0.106768107,0.026755853,5,0.01830164,0.0175134
IRGC 29004,Stress,124,490,11,44.5,0.057894955,0.015514679,0.183194253,0.034373839,8,0.014124824,0.0135643
IRGC 38390,Stress,106,532,11,39,0.057894955,0.015514679,0.148086363,0.035107278,7,0.019510254,0.01884256
IRGC 43860,Stress,,,,,0.057894955,0.009708287,0.104022918,0.021318625,,,
IRGC 77284,Stress,73,524,8.5,44,0.057894955,0.008547009,0.149092495,0.019527692,5,0.019284892,0.01907486
IRGC 43915,Stress,112,665,9.75,43.5,0.057894955,0.008547009,0.114503817,0.034207091,5,0.013439114,0.01288356
IRGC 26390,Stress,81,585,9.5,42.5,0.057894955,0.008547009,0.069119089,0.035346072,4,0.017524502,0.01196648
IRGC 34749,Stress,40,169,6,30.5,0.057894955,0.006224452,0.165532692,0.034477063,9,0.007100106,0.01106758
IRGC 32816,Stress,56,312,7,37.5,0.057894955,0.003901895,0.141298277,0.034804361,6,0.013308388,0.00795072
IRGC 25845,Control,24,465,8.5,38,0.057832725,0.136380528,0.006890431,0.113154961,,0.017992068,0.01750128
IRGC 27540,Control,72,575,6.5,49.5,0.057832725,0.117800074,0.009069824,0.004960981,,0.013755102,0.0131704
IRGC 37478,Control,68,810,5.2,53.5,0.057832725,0.108509848,0.006619233,0.005193237,,0.01335731,0.01282902
IRGC 77306,Control,,,,,0.057832725,0.103864734,0.0072095,0.061222594,,,
IRGC 28947,Stress,,,,,0.057832725,0.019137867,0.063090245,0.041147259,,,
IRGC 43862,Stress,86,485,9,43.5,0.057832725,0.011396011,0.159918133,0.038275734,7,0.000293532,0.00072518
IRGC 25927,Stress,90,472,8.75,37.5,0.057832725,0.006750898,0.185263857,0.023634337,,,
IRGC 31801,Control,140,1120,7.5,64,0.057708264,0.010126347,0.247427813,0.049795615,,0.017147562,0.0161701
IRGC 27555,Stress,64,319,6,37,0.057708264,0.005481234,0.201995058,0.012180519,7,0.01478487,0.02138574
IRGC 64778,Stress,60,222,6,37,0.056789626,0.013510644,0.096491592,0.033599653,7,0.014412742,0.01361278
IRGC 53541,Stress,89,584,10.5,41,0.056789626,0.010856293,0.110355128,0.031586771,5,0.019361884,0.0216342
IRGC 8840,Stress,82,283,6.75,35.4,0.056574289,0.02582683,0.094115974,0.045831785,9,0.009069016,0.00976872
IRGC 29116,Stress,47,203,7.5,32.5,0.056574289,0.011117305,0.117013268,0.030272544,8,0.0077794,0.00797496
IRGC 37845,Stress,82,306,7,39.5,0.056574289,0.010343119,0.090290559,0.035696992,8,0.01505354,0.01576408
IRGC 34699,Stress,152,702,11,47,0.056272818,0.017056856,0.084556071,0.033185554,6,0.017630366,0.0166145
IRGC 43999,Stress,104,599,10.5,46.25,0.056272818,0.012411743,0.114599556,0.038161393,6,0.01863848,0.0180184
IRGC 8482,Stress,111,522,10,45,0.056272818,0.01148272,0.186943535,0.037807183,8,0.006125676,0.00640138
IRGC 26638,Stress,94,600,9.5,46.75,0.056272818,0.01148272,0.09655595,0.032472915,6,0.019880778,0.01892134
IRGC 37468,Stress,64,187,7.5,28,0.055820611,0.01760498,0.104294434,0.031021279,8,0.00981247,0.00976266
IRGC 26384,Stress,74,324,8,42.5,0.055820611,0.012030844,0.150521981,0.030319922,7,0.006744018,0.00704374
IRGC 29230,Stress,22,101,5.25,27,0.055820611,0.010869565,0.208290954,0.04003788,9,0.000932726,0.00144834
IRGC 77306,Stress,37,175,8.5,37.5,0.055820611,0.009708287,0.177177965,0.035346072,9,,
IRGC 25877,Stress,119,634,11.5,51.5,0.055820611,0.009708287,0.104682431,0.034809911,4,0.014791286,0.0139077
IRGC 8794,Stress,78,361,12,37,0.055820611,0.006224452,0.158712247,0.034782609,7,0.013382974,0.0128068
IRGC 8667,Stress,71,500,9,43,0.055820611,0.003901895,0.143118558,0.043588739,6,,
IRGC 77253,Stress,44,144,10,32.5,0.055604286,0.018155757,0.082800114,0.049000544,9,0.007417698,0.00747198
IRGC 26578,Stress,71,394,10,42.5,0.055604286,0.014174232,0.152302983,0.03645308,7,0.014070288,0.01337038
IRGC 37951,Stress,79,395,8,43.5,0.055604286,0.012183469,0.145322649,0.036705875,7,0.018810108,0.01872338
IRGC 77258,Stress,79,273,5.75,41,0.055604286,0.011519881,0.155264686,0.041341509,7,0.011535968,0.01070398
IRGC 49182,Stress,28,100,10,28,0.055604286,0.010856293,0.09678187,0.03393562,9,0.000732226,0.00102818
IRGC 34034,Stress,112,535,11.5,42,0.055191393,0.020407531,0.114383128,0.044525523,6,0.015134542,0.01425514
IRGC 29131,Control,125,851,8.5,54.5,0.055066932,0.136380528,0.008833942,0.005193237,,0.01566707,0.01513384
IRGC 6534,Control,112,1123,6,67,0.055066932,0.057413601,0.007148945,0.003335191,,0.015465768,0.01444502
IRGC 25927,Stress,101,421,8.5,39,0.055066932,0.028428094,0.194044199,0.029985007,6,0.011646644,0.01178872
IRGC 39559,Stress,41,172,8,36,0.055066932,0.016041125,0.181525219,0.025053644,9,0.011306596,0.0114837
IRGC 83865,Stress,34,72,7.5,26,0.055066932,0.00984764,0.119331382,0.02837742,9,0.00209723,0.00251894
IRGC 27526,Stress,63,440,10,50.5,0.054613342,0.018914902,0.100347987,0.034289382,7,0.012488744,0.01187154
IRGC 29083,Stress,85,253,7.5,38.5,0.054613342,0.015198811,0.128793746,0.029866358,6,0.010039436,0.01042522
IRGC 25919,Stress,57,441,7.5,42.5,0.054613342,0.015198811,0.115864587,0.041545894,7,0.016327918,0.01598022
IRGC 86973,Stress,78,575,9,42.25,0.054613342,0.010553698,0.142484419,0.021573971,5,0.018956874,0.01837998
IRGC 26439,Stress,98,481,12,40,0.054486116,0.014121145,0.089058524,0.042715064,6,0.018659332,0.01829514
IRGC 53479,Stress,,,,,0.054486116,0.011024402,0.085994026,0.035971758,8,0.01087512,0.01068984
IRGC 37478,Stress,91,772,10,48.5,0.054486116,0.00792766,0.090064267,0.017904801,3,0.017995276,0.0172912
IRGC 63517,Stress,,,,,0.054418946,0.02014652,0.16909365,0.037470581,4,0.016842,0.0111706
IRGC 37252,Stress,102,618,10,48,0.054418946,0.014837819,0.115864587,0.039687848,5,0.023308526,0.0243814
IRGC 26290,Stress,75,706,9,51.5,0.053808497,0.014988232,0.169630787,0.032538452,7,0.02087606,0.02090296
IRGC 29131,Stress,111,501,13,46,0.053808497,0.012665676,0.165615665,0.033775135,7,0.01606406,0.01017676
IRGC 77226,Stress,76,239,9,41,0.053808497,0.012665676,0.00492723,0.040244471,8,0.012621876,0.0126149
IRGC 43826,Stress,78,260,9,36,0.053808497,0.008794748,0.165532692,0.034477063,9,,
IRGC 29089,Stress,66,261,8.5,42.5,0.053808497,0.008794748,0.153141419,0.03393562,5,0.01310869,0.01268964
IRGC 27594,Stress,133,503,10,45,0.053746266,0.020159792,0.00510377,0.030361251,4,0.010717928,0.00991012
IRGC 37161,Stress,87,600,8.5,51,0.053746266,0.009708287,0.13935228,0.030217685,6,0.014491338,0.00864964
IRGC 31801,Stress,66,307,9,45.5,0.053746266,0.009708287,0.114503817,0.029442872,8,0.014789682,0.01420464
IRGC 26802,Stress,80,342,9,34.5,0.053746266,0.00738573,0.153888705,0.014616623,7,0.013276308,0.01286336
IRGC 38426,Stress,,,,,0.053746266,0.006224452,0.13879854,0.031066518,6,0.011102888,0.00539138
IRGC 86973,Stress,105,630,8.75,45,0.053233607,0.019482933,0.072415367,0.041062802,4,0.019912858,0.01925666
IRGC 26373,Stress,58,240,7,44.5,0.053233607,0.016164994,0.11210396,0.030529114,8,0.007630228,0.00728816
IRGC 31618,Stress,151,682,10.5,47,0.053233607,0.012183469,0.107282025,0.036748008,6,0.021339616,0.02120798
IRGC 77226,Stress,133,733,12,48.5,0.053233607,0.012183469,0.09595088,0.035971758,3,0.022541012,0.02271692
IRGC 49182,Stress,42,90,7.5,28,0.052953867,0.018914902,0.228454475,0.059103537,9,0.002775722,0.00741744
IRGC 26629,Stress,48,213,8,40,0.052953867,0.017985879,0.150864771,0.03171064,9,0.009430718,0.00980912
IRGC 32817,Stress,37,172,11,34.5,0.052953867,0.016127834,0.078914448,0.040533974,8,0.007273338,0.00710434
IRGC 6588,Stress,72,700,12,53.5,0.052953867,0.014269788,0.117400356,0.031012466,6,0.018282392,0.01765076
IRGC 32817,Stress,71,504,9,42.5,0.052953867,0.012411743,0.082507053,0.032980305,5,0.017833272,0.01669732
IRGC 37182,Stress,66,360,9.25,47,0.052953867,0.010553698,0.121197035,0.028985507,6,0.015448926,0.01439856
IRGC 26629,Stress,16,89,5.5,27.5,0.0524256,0.01885916,0.113855584,0.041167317,9,0.00105463,0.00118776
IRGC 63517,Stress,,,,,0.0524256,0.011117305,0.193551521,0.019758726,6,0.017907056,0.01732352
IRGC 77284,Stress,60,322,7.5,46.5,0.0524256,0.011117305,0.080890609,0.032337895,7,0.016266164,0.01542674
IRGC 27555,Stress,68,399,7.5,38.5,0.0524256,0.008794748,0.140351407,0.023535241,7,0.01191371,0.0115847
IRGC 26629,Stress,86,311,9,38.5,0.05230114,0.012944383,0.141298277,0.034804361,8,0.015845114,0.01603476
IRGC 26411,Stress,104,780,7.75,51.5,0.05230114,0.008299269,0.160627477,0.028307867,6,0.019872758,0.01892538
IRGC 27547,Stress,92,417,10,45.5,0.052048267,0.011519881,0.095812881,0.033184038,7,0.013324428,0.01357036
IRGC 26624,Control,,,,,0.051671922,0.145670754,0.008052942,0.005657748,,,
IRGC 37182,Stress,,,,,0.051671922,0.010869565,0.098062716,0.035027595,7,0.02292918,0.0239269
IRGC 38361,Stress,103,563,11.25,47,0.051671922,0.008547009,0.125725033,0.014864363,3,0.020317066,0.02001214
IRGC 77306,Stress,70,320,9,42,0.051671922,0.006224452,0.078716865,0.021650267,8,,
IRGC 64778,Stress,50,350,5.5,37,0.051294391,0.018914902,0.07214193,0.042836391,6,0.01444001,0.00916878
IRGC 38251,Stress,,,,,0.051294391,0.01148272,0.090177413,0.032431337,6,0.019701932,0.01921626
IRGC 38456,Stress,40,312,6.5,51,0.051294391,0.01148272,0.069124702,0.042836391,9,0.014529834,0.01466924
IRGC 26373,Stress,89,764,8.5,50,0.051294391,0.008695652,0.194967108,0.016007775,4,0.016169924,0.0149379
IRGC 38535,Stress,134,872,10.5,46,0.051294391,0.008695652,0.145985045,0.025575448,6,0.01725102,0.01675792
IRGC 38390,Stress,131,761,11,46,0.051294391,0.006837607,0.115430036,0.024543483,4,0.015238802,0.009393
IRGC 58824,Stress,106,639,10.5,46.5,0.051294391,0.006837607,0.077379742,0.032006329,6,0.01520191,0.01472176
IRGC 34699,Stress,70,412,8.5,44,0.051042704,0.014214047,0.129547324,0.041119351,5,0.012678016,0.01180084
IRGC 29089,Stress,51,533,13,48,0.051042704,0.011117305,0.12010048,0.040731268,6,0.021410192,0.02121
IRGC 27547,Stress,135,658,11.5,44.5,0.050925158,0.010079896,0.162934974,0.038189978,4,0.018395474,0.01759622
IRGC 8361,Stress,36,154,6.5,33,0.050728095,0.006596061,0.143321249,0.047094303,9,0.002134924,0.00227856
IRGC 49127,Stress,75,573,6.5,45.5,0.049690923,0.014725009,0.074961625,0.042618915,7,0.022110338,0.02230484
IRGC 34709,Stress,51,246,10.5,35.5,0.049690923,0.013563731,0.099070694,0.032082249,9,0.007738498,0.00849612
IRGC 49333,Stress,,,,,0.049677588,0.02014652,0.101468904,0.00182508,8,0.01548261,0.01539442
IRGC 25838,Stress,106,685,10.5,42.5,0.049677588,0.00621118,0.170981303,0.036169949,5,0.021727784,0.02143826
IRGC 43826,Stress,70,535,9.5,42,0.049659808,0.014214047,0.08999016,0.044593088,7,0.017669664,0.0171801
IRGC 29131,Stress,119,582,13,44.5,0.049659808,0.01189149,0.160926583,0.020771994,4,0.017955978,0.01762046
IRGC 66801,Stress,36,140,4.5,27,0.049634915,0.016127834,0.076513679,0.034373839,9,0.00764707,0.00795274
IRGC 26504,Stress,74,495,8.5,47.5,0.049634915,0.013340766,0.108837893,0.02484472,7,0.019614514,0.02230484
IRGC 77279,Stress,51,156,3.75,34,0.049634915,0.01148272,0.115864587,0.034113712,9,0.004998866,0.0052722
IRGC 25919,Stress,57,441,7.5,42.5,0.049634915,0.006837607,0.086405878,0.021874261,6,0.016357592,0.01547724
IRGC 29096,Control,128,836,9,55,0.049597577,0.103864734,0.007404318,0.004264214,,0.01268764,0.01211192
IRGC 76237,Stress,111,645,7.5,47.5,0.049597577,0.018998514,0.158712247,0.053363062,3,0.020386038,0.01968288
IRGC 53529,Stress,78,377,6.75,42,0.049597577,0.015793385,0.093147087,0.021650267,7,0.01128815,0.01085952
IRGC 29367,Stress,112,756,10.5,51.75,0.049597577,0.013192122,0.12264754,0.028765294,6,0.01529414,0.0143824
IRGC 32796,Stress,104,553,14,53.5,0.049597577,0.009708287,0.175852556,0.01556113,8,0.022535398,0.02279974
IRGC 25855,Stress,46,340,9,38,0.049597577,0.008547009,0.131762363,0.027003592,7,0.019680278,0.01849512
IRGC 38293,Stress,50,365,10.5,42.75,0.049597577,0.005063174,0.118441975,0.000648929,7,0.014112794,0.01619636
IRGC 82168,Control,17,194,3.5,33,0.049535347,0.052768488,0.006094206,0.020252694,,,
IRGC 83865,Stress,45,177,9,39.5,0.049535347,0.008299269,0.098064637,0.021367521,9,0.004139924,0.00494092
IRGC 5809,Stress,103,761,11,56.5,0.04865375,0.011821813,0.075954389,0.037075479,6,0.015712784,0.01479448
IRGC 31618,Stress,88,346,8.5,40,0.04865375,0.006596061,0.104870763,0.023474817,8,0.010167756,0.01126554
IRGC 37685,Stress,65,436,7,46,0.048492248,0.012183469,0.092260461,0.029228482,6,0.02063145,0.02031918
IRGC 32796,Stress,108,566,10,48.5,0.048492248,0.009529118,0.059360259,0.022418383,6,0.020382028,0.02049492
IRGC 77253,Stress,77,737,8,51,0.048276911,0.014214047,0.107891058,0.031474162,5,0.019665842,0.01914354
IRGC 49127,Stress,86,725,9,52,0.048276911,0.007246377,0.094293775,0.034373839,7,0.018402692,0.0238158
IRGC 58824,Control,98,983,7,61,0.04797544,0.071348941,0.011203901,0.003102936,,0.011663486,0.01100698
IRGC 29432,Stress,47,165,9,35.5,0.04797544,0.01148272,0.0970221,0.051833058,8,0.002725196,0.00315524
IRGC 25845,Stress,24,142,6,22.5,0.04797544,0.006837607,0.122848608,0.035462122,8,0.002098032,0.00221392
IRGC 49333,Stress,80,416,5.75,41.25,0.04797544,0.003121516,0.140369991,0.031021279,8,0.008195638,0.00785578
IRGC 66801,Control,59,460,4,33.5,0.047523233,0.150315868,0.004631596,0.006354515,,0.018953666,0.02064238
IRGC 37562,Stress,40,208,10,33.5,0.047523233,0.010869565,0.158712247,0.023634337,8,0.011701982,0.01179882
IRGC 31745,Stress,70,485,6,38.5,0.047523233,0.008547009,0.126461803,0.020110608,7,0.016921398,0.0127664
IRGC 77267,Stress,43,137,5.75,32,0.047306908,0.019482933,0.103450524,0.028799703,9,0.004010802,0.00463792
IRGC 38456,Stress,50,528,9,46.75,0.047306908,0.010856293,0.100347987,0.034289382,7,0.018287204,0.0181699
IRGC 26390,Stress,88,738,7.5,45.5,0.047306908,0.009529118,0.130867018,0.041827625,4,0.01818936,0.01697608
IRGC 49127,Stress,84,527,9.75,50.5,0.047306908,0.008865531,0.072026594,0.039498448,6,0.01522597,0.00984548
IRGC 37685,Stress,176,818,10,47.5,0.047306908,0.008201943,0.100823262,0.248651784,5,0.020845584,0.02011516
IRGC 53541,Stress,94,608,9.75,45.5,0.047306908,0.005547593,0.131866849,0.033307183,3,0.019792558,0.01919808
IRGC 26772,Stress,73,402,8,47.5,0.046894015,0.014988232,0.106863315,0.033599653,7,0.018886298,0.01871126
IRGC 77253,Stress,76,625,9.5,52,0.046894015,0.012665676,0.125491557,0.035696992,6,0.01657333,0.01571964
IRGC 38522,Control,83,1059,6,62.5,0.046894015,0.008020562,0.001452809,0.000703649,,0.013407034,0.01265934
IRGC 29416,Control,45,496,8.5,49.5,0.046769554,0.085284281,0.004346982,0.007051282,,0.021772696,0.02328252
IRGC 29072,Control,146,834,8.5,47.25,0.046769554,0.052768488,0.007771877,0.003102936,,0.020060426,0.02076964
IRGC 83865,Control,37,275,6,47,0.046769554,0.043478261,0.007202659,0.004264214,,0.017761092,0.0286739
IRGC 29036,Stress,70,302,8.75,40.25,0.046769554,0.003654156,0.239877199,0.020252694,7,0.01792069,0.03452988
IRGC 31832,Stress,60,441,6.5,48,0.046579406,0.008918618,0.116501334,0.043629657,8,0.014753592,0.0145541
IRGC 82168,Control,59,541,6,49,0.046315964,0.150315868,0.000670705,0.004031958,,0.013475204,0.01273408
IRGC 27526,Stress,88,391,7.75,43.5,0.046315964,0.009624675,0.112667801,0.030361251,9,0.010906398,0.01560652
IRGC 26411,Stress,,,,,0.046315964,0.00776663,0.079205388,0.035535117,9,0.012767038,0.0127866
IRGC 66815,Stress,78,349,9.5,40,0.046315964,0.006837607,0.181396488,0.029551769,7,0.013440718,0.01267752
IRGC 25880,Stress,64,404,8,39,0.046315964,0.005908584,0.13693865,0.034588229,7,0.019763686,0.01986064
IRGC 31665,Stress,116,544,9,48,0.046121568,0.014174232,0.124926488,0.036443766,5,0.016667966,0.01612364
IRGC 37754,Stress,92,763,10,51,0.046121568,0.010192706,0.108348671,0.036079862,6,0.0226164,0.02284822
IRGC 26373,Stress,106,650,7.5,47.5,0.045511118,0.014988232,0.119574437,0.033307183,3,0.020057218,0.01896174
IRGC 29031,Control,37,360,5.5,47.5,0.045448888,0.164251208,0.005755855,0.001551468,,0.013953998,0.0133926
IRGC 77306,Control,70,620,6,49,0.045448888,0.075994054,0.008792628,0.004031958,,0.014233896,0.0136754
IRGC 29297,Stress,,,,,0.045448888,0.015514679,0.085931976,0.00953258,,,
IRGC 37562,Stress,52,290,10,37,0.045448888,0.013192122,0.132160637,0.023634337,8,0.01614025,0.01549946
IRGC 27536,Stress,110,532,8,44,0.045448888,0.00738573,0.101492019,0.032431337,6,0.01126409,0.01074438
IRGC 34709,Control,172,1072,9.5,56,0.045266807,1.967670011,0.003328872,0.010999628,,0.020981924,0.02112516
IRGC 27526,Stress,57,460,6.5,48.5,0.044936229,0.01749217,0.075618821,0.042849737,6,0.016342354,0.01554188
IRGC 8806,Stress,76,498,8.75,40.5,0.044936229,0.015501407,0.078286883,0.026816114,3,0.020925784,0.02031716
IRGC 34749,Control,81,780,8,53.5,0.044656489,0.178186548,0.00616301,0.005890004,,0.019928096,0.01957582
IRGC 26335,Stress,120,162,9,54.5,0.044656489,0.010553698,0.056469584,0.027499071,3,0.018628856,0.01761844
IRGC 117318,Stress,97,797,8.75,35.5,0.044656489,0.006837607,0.101834359,0.032801647,4,0.02097631,0.02054138
IRGC 37754,Stress,97,871,9,53,0.044579549,0.006486267,0.066179887,0.03265205,5,0.021366082,0.02093528
IRGC 53500,Stress,82,475,9,43.5,0.044505061,0.011241174,0.081314305,0.038357614,7,0.01729914,0.00073932
IRGC 29004,Stress,85,442,10,41.5,0.044128222,0.00492382,0.220710256,0.01844282,6,0.012451852,0.01154632
IRGC 49333,Control,80,570,8,54,0.044003761,0.020252694,0.015772561,0.000548123,,0.012528844,0.01467732
IRGC 29367,Stress,66,341,10.5,48,0.043750889,0.014174232,0.108669723,0.035360925,7,0.00613931,0.00578932
IRGC 37596,Stress,90,288,9.5,41,0.043750889,0.013510644,0.110320555,0.041341509,9,0.004160776,0.00473084
IRGC 37562,Control,75,467,8,45,0.043374544,0.117800074,0.009226046,0.00287068,,0.017822044,0.01733564
IRGC 37346,Control,68,480,8,46.5,0.043374544,0.048123374,0.012277258,0.001709402,,0.015764914,0.01488336
IRGC 29221,Stress,44,238,8.25,35,0.043374544,0.015514679,0.157433729,0.148320489,9,0.003013114,0.00336532
IRGC 29297,Stress,84,526,10,46.5,0.043374544,0.0143534,0.181040886,0.03698395,6,0.013500066,0.01257652
IRGC 38320,Stress,91,589,11,48.5,0.043374544,0.012030844,0.213591979,0.027772888,5,0.017911066,0.01686902
IRGC 29333,Stress,69,318,12.5,38,0.043374544,0.008547009,0.165449718,0.022792023,8,0.006939706,0.00738916
IRGC 26578,Control,87,721,8.75,57.5,0.042997013,0.131735414,0.004726119,0.006354515,,0.017369716,0.0166852
IRGC 53484,Control,72,632,7.5,47,0.042997013,0.057413601,0.082294904,0.020252694,,0.0197693,0.01893346
IRGC 66801,Stress,64,343,5,30,0.042997013,0.017985879,0.092274562,0.033185554,4,0.021047688,0.02019798
IRGC 31655,Stress,103,424,8,50,0.042997013,0.01148272,0.102486924,0.058816745,4,0.023489778,0.0243511
IRGC 29230,Stress,72,303,10.5,32,0.042997013,0.004979562,0.123013948,0.03897131,8,0.00953979,0.00972226
IRGC 26367,Stress,69,821,10,50.5,0.042565549,0.007538355,0.114503817,0.031824982,2,0.022107932,0.02207052
IRGC 27594,Stress,73,552,7,46.5,0.042325847,0.011540526,0.13366057,0.030445866,4,0.018168508,0.0176548
