uid,accession_name,Treatment,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
52_3,IRGC 27568,Control,288,458,185,740,119,891,7.5,42,0.022561325,0.004347826,0.003573113,0.003316611,,0.024682352,0.02939302
52_4,IRGC 27568,Control,293,569,165,737,,,,,,,,,,,
52_5,IRGC 27568,Control,302,519,186,730,,,,,,,,,,,
53_1,IRGC 27577,Control,249,541,172,732,170,635,10.5,53,,,,,,0.0105062,0.00979498
53_2,IRGC 27577,Control,255,579,165,732,140,1107,14.5,58.5,,,,,,0.019920878,0.0192102
53_3,IRGC 27577,Control,255,554,175,733,30,220,6.5,42,,,,,,0.01553474,0.0151197
53_4,IRGC 27577,Control,270,579,182,733,,,,,,,,,,,
53_5,IRGC 27577,Control,268,575,183,731,,,,,,,,,,,
54_1,IRGC 27594,Control,234,585,187,800,93,589,5.5,46,,,,,,0.016983152,0.01649734
54_2,IRGC 27594,Control,251,586,168,790,58,447,10.5,39,0.085490652,0.075994054,0.010350979,0.000506317,,0.018210212,0.02140594
54_3,IRGC 27594,Control,242,592,191,805,69,984,5,52.5,0.039225855,0.099219621,0.008065477,0.004728725,,0.020650698,0.02023838
54_4,IRGC 27594,Control,243,591,191,800,,,,,,,,,,,
54_5,IRGC 27594,Control,272,572,186,799,,,,,,,,,,,
55_1,IRGC 28947,Control,238,524,171,616,,,,,0.078451709,0.131735414,0.007442748,0.003567447,,,
55_2,IRGC 28947,Control,252,527,159,615,,,,,,,,,,,
55_3,IRGC 28947,Control,255,539,162,610,,,,,,,,,,,
55_4,IRGC 28947,Control,254,515,158,623,,,,,,,,,,,
55_5,IRGC 28947,Control,248,540,172,625,,,,,,,,,,,
56_1,IRGC 29004,Control,281,630,189,793,121,1092,10.5,54,0.019728612,0.00574136,0.003293078,0.003177258,,0.019353864,0.01822848
56_2,IRGC 29004,Control,264,601,183,796,109,996,9,58,0.020199506,0.247863248,0.003843464,0.002712746,,0.017209316,0.01644886
56_3,IRGC 29004,Control,269,596,143,790,77,850,7,50,,,,,,0.021304328,0.02030504
56_4,IRGC 29004,Control,286,630,183,791,,,,,,,,,,,
56_5,IRGC 29004,Control,286,643,180,793,,,,,,,,,,,
57_1,IRGC 29009,Control,247,717,160,763,53,611,9.5,41,0.015589851,0.001560758,0.006960369,0.000622445,,0.015914888,0.0148268
57_2,IRGC 29009,Control,234,670,178,774,108,713,8,53,0.019764354,0.062058714,0.00762267,0.003567447,,0.01899136,0.01833352
57_3,IRGC 29009,Control,244,670,175,760,50,471,9,57,0.035706383,0.075994054,0.006304032,0.004960981,,0.018427554,0.01766894
57_4,IRGC 29009,Control,231,666,170,782,,,,,,,,,,,
57_5,IRGC 29009,Control,238,651,167,760,,,,,,,,,,,
58_1,IRGC 29031,Control,260,607,181,730,110,885,7,57.2,0.017433713,0.131735414,0.004942513,0.010535117,,0.016650322,0.01575802
58_2,IRGC 29031,Control,263,600,194,725,37,360,5.5,47.5,0.045448888,0.164251208,0.005755855,0.001551468,,0.013953998,0.0133926
58_3,IRGC 29031,Control,256,588,168,746,99,992,7.5,68.5,0.028341473,0.215347454,0.006826668,0.007051282,,0.017354478,0.01660642
58_4,IRGC 29031,Control,282,588,186,731,,,,,,,,,,,
58_5,IRGC 29031,Control,251,583,200,753,,,,,,,,,,,
59_1,IRGC 29036,Control,251,593,172,731,57,799,8,56,,,,,,0.014777652,0.01425312
59_2,IRGC 29036,Control,252,595,152,732,133,1002,9,50.5,0.021052711,0.029542921,0.004088251,0.196767001,,0.021106234,0.02056158
59_3,IRGC 29036,Control,249,611,183,737,77,804,8,54,,,,,,0.019078778,0.01832948
59_4,IRGC 29036,Control,242,582,195,730,,,,,,,,,,,
59_5,IRGC 29036,Control,260,621,183,716,,,,,,,,,,,
60_1,IRGC 29068,Control,277,557,182,635,,,,,0.019612927,0.182831661,0.003420523,0.006819026,,,
60_2,IRGC 29068,Control,270,508,190,625,,,,,0.02398772,0.224637681,0.005959177,0.008444816,,,
60_3,IRGC 29068,Control,275,493,171,648,87,723,7.75,58.25,0.033002821,0.089929394,0.006788957,0.004960981,,0.018071466,0.01803052
60_4,IRGC 29068,Control,241,511,184,642,,,,,,,,,,,
60_5,IRGC 29068,Control,254,513,173,639,,,,,,,,,,,
61_1,IRGC 29072,Control,292,578,190,662,57,419,6.5,40.5,0.061856953,0.057413601,0.011657816,0.001941657,,0.013653248,0.01304314
61_2,IRGC 29072,Control,291,544,182,675,146,834,8.5,47.25,0.046769554,0.052768488,0.007771877,0.003102936,,0.020060426,0.02076964
61_3,IRGC 29072,Control,264,571,189,680,92,826,8,41,0.033065051,0.094574508,0.008059374,0.004031958,,0.018138834,0.017675
61_4,IRGC 29072,Control,275,544,180,682,,,,,,,,,,,
61_5,IRGC 29072,Control,234,489,154,690,,,,,,,,,,,
62_1,IRGC 29083,Control,270,608,183,750,200,795,9.5,47.5,0.062043644,0.108509848,0.005513805,0.000970829,,0.019273664,0.01830524
62_2,IRGC 29083,Control,253,565,171,735,73,599,7.5,47,0.023157982,0.002025269,0.004375089,0.007515793,,0.013813648,0.01328756
62_3,IRGC 29083,Control,255,563,180,737,94,737,8,59.5,0.066005642,0.052768488,0.011485177,0.003335191,,0.01701042,0.01621656
62_4,IRGC 29083,Control,264,559,163,741,,,,,,,,,,,
62_5,IRGC 29083,Control,265,547,177,739,,,,,,,,,,,
63_1,IRGC 29089,Control,259,611,182,760,120,1237,7.5,59,0.025647195,0.201412114,0.004045915,0.002364363,,0.017789162,0.01728918
63_2,IRGC 29089,Control,247,600,168,765,100,970,10.5,58,0.010711915,0.089929394,0.003177309,0.002480491,,,
63_3,IRGC 29089,Control,265,606,180,772,,,,,,,,,,0.022623618,0.02310072
63_4,IRGC 29089,Control,251,584,178,776,,,,,,,,,,,
63_5,IRGC 29089,Control,254,599,191,765,,,,,,,,,,,
64_1,IRGC 29096,Control,240,503,171,730,128,836,9,55,0.049597577,0.103864734,0.007404318,0.004264214,,0.01268764,0.01211192
64_2,IRGC 29096,Control,253,536,184,715,102,723,6.5,52,0.023083306,0.080639168,0.004886024,0.004728725,,0.015618148,0.01485104
64_3,IRGC 29096,Control,248,571,179,714,,,,,,,,,,,
64_4,IRGC 29096,Control,262,534,183,724,,,,,,,,,,,
64_5,IRGC 29096,Control,269,568,180,723,,,,,,,,,,,
65_1,IRGC 29116,Control,266,601,179,825,103,888,9.5,55.5,0.041237969,0.071348941,0.009783363,0.002638424,,0.01851417,0.01771338
65_2,IRGC 29116,Control,274,587,206,837,,,,,,,,,,0.016021554,0.01525504
65_3,IRGC 29116,Control,290,569,189,839,94,845,6.5,43,0.033040159,0.062058714,0.009919515,0.00124489,,,
65_4,IRGC 29116,Control,244,526,198,842,,,,,,,,,,,
65_5,IRGC 29116,Control,289,613,192,847,,,,,,,,,,,
66_1,IRGC 29131,Control,245,611,177,780,119,615,11,47,0.031682155,0.094574508,0.009461382,0.003335191,,0.0131929,0.01289568
66_2,IRGC 29131,Control,266,603,178,793,82,622,10,50,0.066005642,0.066703828,0.016062748,0.007134894,,0.019081986,0.01881832
66_3,IRGC 29131,Control,249,627,197,800,125,851,8.5,54.5,0.055066932,0.136380528,0.008833942,0.005193237,,0.01566707,0.01513384
66_4,IRGC 29131,Control,253,599,184,802,,,,,,,,,,,
66_5,IRGC 29131,Control,251,576,189,794,,,,,,,,,,,
67_1,IRGC 29146,Control,258,599,158,630,23,133,4,20,0.018575755,0.145670754,0.004002816,0.005657748,,,
67_2,IRGC 29146,Control,250,587,197,626,,,,,0.019612927,0.196767001,0.005516943,0.006354515,,0.00698542,0.00664984
67_3,IRGC 29146,Control,244,558,184,638,,,,,,,,,,,
67_4,IRGC 29146,Control,258,585,147,618,,,,,,,,,,,
67_5,IRGC 29146,Control,243,554,171,629,,,,,,,,,,,
68_1,IRGC 29221,Control,217,589,161,567,96,1156,6.5,29,0.03715151,0.057413601,0.007090702,0.003335191,,0.015954988,0.0153924
68_2,IRGC 29221,Control,224,527,162,553,24,268,4,35.5,0.034699635,0.089929394,0.008557744,0.003567447,,0.009160444,0.00881124
68_3,IRGC 29221,Control,218,565,167,546,21,170,5,28.5,0.029418815,0.164251208,0.002645204,0.127090301,,0.009261496,0.00870418
68_4,IRGC 29221,Control,227,559,151,564,,,,,,,,,,,
68_5,IRGC 29221,Control,224,543,170,544,,,,,,,,,,,
69_1,IRGC 29230,Control,260,586,187,733,80,703,9.5,43.5,0.021498506,0.00203,0.003513314,0.085284281,,,
69_2,IRGC 29230,Control,272,560,191,698,45,253,5.5,35.5,0.027533466,0.192121888,0.003691451,0.005657748,,0.015104066,0.01442482
69_3,IRGC 29230,Control,236,579,175,719,,,,,0.033065051,0.182831661,0.006432773,0.00449647,,0.015830678,0.01537018
69_4,IRGC 29230,Control,269,550,132,721,,,,,,,,,,,
69_5,IRGC 29230,Control,259,479,170,725,,,,,,,,,,,
70_1,IRGC 29260,Control,238,374,179,362,,,,,0.14860604,0.029542921,0.014709407,0.00287068,,,
70_2,IRGC 29260,Control,242,346,175,370,59,387,8.5,50.5,0.041237969,0.029542921,0.015948746,0.001941657,,0.020256114,0.0198566
70_3,IRGC 29260,Control,232,372,187,364,35,654,7,62,0.140308662,0.029542921,0.009052044,0.001477146,,0.016874882,0.0177053
70_4,IRGC 29260,Control,238,357,154,368,,,,,,,,,,,
70_5,IRGC 29260,Control,225,351,163,367,,,,,,,,,,,
71_1,IRGC 29283,Control,253,534,185,644,16,132,3,31.5,0.023761616,0.094574508,0.003680809,0.141025641,,0.005741518,0.00524998
71_2,IRGC 29283,Control,239,503,185,645,91,1211,7,62,0.03715151,0.080639168,0.00798826,0.233927908,,0.018290412,0.01725686
71_3,IRGC 29283,Control,237,558,176,641,174,880,4.5,58,,,,,,0.015222762,0.0142107
71_4,IRGC 29283,Control,237,536,199,644,,,,,,,,,,,
71_5,IRGC 29283,Control,260,533,191,644,,,,,,,,,,,
72_1,IRGC 29294,Control,255,536,168,654,38,572,7,49.5,,,,,,0.0186064,0.01820222
72_2,IRGC 29294,Control,263,519,170,650,,,,,,,,,,,
72_3,IRGC 29294,Control,258,576,173,655,,,,,,,,,,,
72_4,IRGC 29294,Control,254,530,169,651,,,,,,,,,,,
72_5,IRGC 29294,Control,251,549,168,649,,,,,,,,,,,
73_1,IRGC 29297,Control,252,487,171,678,,,,,0.025970793,0.168896321,0.009138802,0.206057228,,0.014432792,0.01352794
73_2,IRGC 29297,Control,259,495,179,677,86,543,8,53,0.021229434,0.071348941,0.023866276,0.024061687,,0.00652828,0.0062519
73_3,IRGC 29297,Control,258,517,182,678,24,142,2.5,35.5,0.034699635,0.117800074,0.023401993,0.043403939,,,
73_4,IRGC 29297,Control,249,473,176,682,,,,,,,,,,,
73_5,IRGC 29297,Control,264,531,191,680,,,,,,,,,,,
74_1,IRGC 29333,Control,307,485,204,721,71,692,10,45.5,0.014263947,0.103864734,0.012242546,0.03567447,,0.016858842,0.01668318
74_2,IRGC 29333,Control,291,508,196,723,74,540,8,46.5,0.024785454,0.099219621,0.002844445,0.008677072,,0.011689952,0.0113019
74_3,IRGC 29333,Control,286,786,205,719,95,610,6,46,0.028061732,0.089929394,0.005893951,0.006819026,,0.017755478,0.01695184
74_4,IRGC 29333,Control,304,485,188,722,,,,,,,,,,,
74_5,IRGC 29333,Control,291,496,207,721,,,,,,,,,,,
75_1,IRGC 29367,Control,263,591,205,827,85,917,8.5,64,0.041300199,0.145670754,0.004726119,0.005657748,,0.021528888,0.02154936
75_2,IRGC 29367,Control,273,560,273,829,50,184,2.5,49,0.02615057,0.094574508,0.00686917,0.00287068,,0.007853986,0.012423
75_3,IRGC 29367,Control,272,577,195,826,,,,,,,,,,,
75_4,IRGC 29367,Control,265,546,193,830,,,,,,,,,,,
75_5,IRGC 29367,Control,274,605,196,830,,,,,,,,,,,
76_1,IRGC 29377,Control,251,510,183,680,49,654,6,57,0.030928477,0.089929394,0.005030285,0.072835377,,0.011515918,0.01003536
76_2,IRGC 29377,Control,259,526,184,679,109,712,8.5,60,0.035830844,0.131735414,0.008886289,0.005425492,,0.014971736,0.01450562
76_3,IRGC 29377,Control,255,518,189,680,35,165,5.5,40.5,0.024742781,0.136380528,0.003663885,0.00821256,,0.009830114,0.00931018
76_4,IRGC 29377,Control,269,540,191,682,,,,,,,,,,,
76_5,IRGC 29377,Control,256,547,190,681,,,,,,,,,,,
77_1,IRGC 29416,Control,268,473,193,630,79,904,9.5,53.2,0.034699635,0.085284281,0.011357925,0.004728725,,0.01458437,0.01385316
77_2,IRGC 29416,Control,279,478,196,633,45,496,8.5,49.5,0.046769554,0.085284281,0.004346982,0.007051282,,0.021772696,0.02328252
77_3,IRGC 29416,Control,269,483,201,629,123,1290,7.5,61,,,,,,0.024185112,0.03064744
77_4,IRGC 29416,Control,269,465,183,629,,,,,,,,,,,
77_5,IRGC 29416,Control,276,445,182,630,,,,,,,,,,,
78_1,IRGC 29432,Control,271,536,205,669,57,691,6.5,40,,,,,,,
78_2,IRGC 29432,Control,279,474,209,667,,,,,,,,,,0.024185914,0.02734878
78_3,IRGC 29432,Control,274,473,205,666,30,305,6,36,0.033065051,0.071348941,0.003091913,0.002364363,,0.018972112,0.0183012
78_4,IRGC 29432,Control,259,493,181,666,,,,,,,,,,,
78_5,IRGC 29432,Control,258,495,176,668,,,,,,,,,,,
79_1,IRGC 31611,Control,318,579,205,958,147,1455,8.5,55.5,0.022965299,0.168896321,0.005461334,0.007283538,,0.013227386,0.01244118
79_2,IRGC 31611,Control,303,542,194,958,120,1085,8.5,48.5,0.018319425,0.000780379,0.004493623,0.009606094,,,
79_3,IRGC 31611,Control,305,577,208,958,150,1316,10,64,0.02615057,0.141025641,0.006167718,0.006122259,,0.016125012,0.0151702
79_4,IRGC 31611,Control,318,565,203,956,,,,,,,,,,,
79_5,IRGC 31611,Control,324,569,209,957,,,,,,,,,,,
80_1,IRGC 31618,Control,264,573,184,814,93,518,9.5,54,,,,,,0.014549884,0.01381074
80_2,IRGC 31618,Control,267,577,178,816,140,661,10,52.5,0.014992325,0.008063917,0.004384155,0.121609067,,0.01689814,0.0163418
80_3,IRGC 31618,Control,264,637,195,815,152,857,11.5,55.5,0.017853192,0.122445188,0.008127175,0.089929394,,0.018017732,0.01692356
80_4,IRGC 31618,Control,260,574,179,814,,,,,,,,,,,
80_5,IRGC 31618,Control,258,571,181,813,,,,,,,,,,,
81_1,IRGC 31655,Control,215,586,202,850,171,930,8,56,0.039225855,0.004031958,0.005506693,0.002638424,,0.01733924,0.01685286
81_2,IRGC 31655,Control,277,519,194,854,84,760,8,55.5,0.018355644,0.145670754,0.004730691,0.010999628,,0.011577672,0.01100092
81_3,IRGC 31655,Control,287,528,217,851,90,787,6.5,52,0.016526868,0.164251208,0.00505015,0.000854701,,0.01423951,0.01326534
81_4,IRGC 31655,Control,263,561,194,853,,,,,,,,,,,
81_5,IRGC 31655,Control,282,552,183,856,,,,,,,,,,,
82_1,IRGC 31665,Control,297,570,185,831,118,872,7,65.5,0.015260793,0.002954292,0.006267712,0.091415831,,0.017640792,0.01737806
82_2,IRGC 31665,Control,259,585,192,830,145,987,7.5,58,,,,,,0.01184153,0.01121706
82_3,IRGC 31665,Control,253,588,189,828,101,1035,9,66,0.027574953,0.187476774,0.004763604,0.005657748,,0.020030752,0.01934352
82_4,IRGC 31665,Control,265,593,166,827,,,,,,,,,,,
82_5,IRGC 31665,Control,236,569,173,824,,,,,,,,,,,
83_1,IRGC 31727,Control,262,679,193,903,133,1134,8,49,0.023887229,0.127090301,0.005190196,0.008444816,,0.021348438,0.02075752
83_2,IRGC 31727,Control,256,714,197,897,94,1026,8.5,57,0.022001881,0.048123374,0.007544063,0.079803047,,0.014609232,0.0138774
83_3,IRGC 31727,Control,263,677,181,897,130,911,8,56.5,0.022001881,0.048123374,0.007544063,0.079803047,,0.02276076,0.02364006
83_4,IRGC 31727,Control,246,685,164,900,,,,,,,,,,,
83_5,IRGC 31727,Control,274,712,199,900,,,,,,,,,,,
84_1,IRGC 31745,Control,208,601,167,610,113,1060,9,61,0.019236088,0.136380528,0.003020246,0.141025641,,0.017251822,0.0167155
84_2,IRGC 31745,Control,204,645,160,612,137,1168,6,6,0.03721374,0.145670754,0.005861752,0.005657748,,0.022896298,0.02373298
84_3,IRGC 31745,Control,217,610,161,611,149,1346,7.5,56.5,0.021687272,0.136380528,0.004684743,0.004728725,,0.020228044,0.01954956
84_4,IRGC 31745,Control,227,620,174,609,,,,,,,,,,,
84_5,IRGC 31745,Control,189,593,169,610,,,,,,,,,,,
85_1,IRGC 31801,Control,273,567,189,855,78,987,7,61.5,0.015690342,0.164251208,0.002954459,0.007748049,,0.02268457,0.02832242
85_2,IRGC 31801,Control,284,567,182,852,50,381,4.5,42,0.035830844,0.127090301,0.007034102,0.004728725,,0.018320888,0.01807698
85_3,IRGC 31801,Control,282,591,205,852,140,1120,7.5,64,0.057708264,0.010126347,0.247427813,0.049795615,,0.017147562,0.0161701
85_4,IRGC 31801,Control,290,562,197,860,,,,,,,,,,,
85_5,IRGC 31801,Control,283,558,191,851,,,,,,,,,,,
86_1,IRGC 31812,Control,238,653,177,738,223,1206,9,53,0.022724444,0.002954292,0.004070983,0.009141583,,0.023658198,0.02522374
86_2,IRGC 31812,Control,232,591,175,740,,,,,0.034699635,0.122445188,0.0072095,0.077480491,,0.01626857,0.0155237
86_3,IRGC 31812,Control,227,610,155,735,91,904,5.5,54,0.024785454,0.103864734,0.008076789,0.005657748,,,
86_4,IRGC 31812,Control,228,603,174,733,,,,,,,,,,,
86_5,IRGC 31812,Control,233,569,167,731,,,,,,,,,,,
87_1,IRGC 31832,Control,293,559,194,798,51,578,7.5,59,0.021875445,0.004812337,0.005955188,0.010767373,,0.019062738,0.01847694
87_2,IRGC 31832,Control,309,527,194,802,105,615,6.5,59.2,,,,,,0.019910452,0.02000002
87_3,IRGC 31832,Control,285,524,185,805,83,1120,7,58,0.024785454,0.117800074,0.004361404,0.007980305,,0.020436564,0.0198465
87_4,IRGC 31832,Control,300,500,197,802,,,,,,,,,,,
87_5,IRGC 31832,Control,267,496,176,807,,,,,,,,,,,
88_1,IRGC 31841,Control,267,576,197,849,178,1115,10.5,50,0.042325847,0.006379289,0.09774545,0.024494795,,0.01756781,0.01662258
88_2,IRGC 31841,Control,289,632,200,845,101,607,9,44,0.01339829,0.005276849,0.003468588,0.003990152,,0.01429966,0.01381276
88_3,IRGC 31841,Control,279,614,191,849,136,1012,11,49,0.010492412,0.243218135,0.004083416,0.00821256,,0.01785252,0.01778206
88_4,IRGC 31841,Control,287,588,188,850,,,,,,,,,,,
88_5,IRGC 31841,Control,275,557,195,852,,,,,,,,,,,
89_1,IRGC 32796,Control,277,588,194,864,90,1376,10,66.5,0.031380684,0.127090301,0.007841022,0.003799703,,0.02023847,0.01952128
89_2,IRGC 32796,Control,286,606,197,861,5,92,2.5,23.5,0.038596637,0.164251208,0.007407296,0.075157934,,0.003261734,0.0032623
89_3,IRGC 32796,Control,274,584,214,859,157,1641,11,68,0.024767673,0.182831661,0.008052942,0.00449647,,0.023805766,0.02889004
89_4,IRGC 32796,Control,270,597,193,860,,,,,,,,,,,
89_5,IRGC 32796,Control,283,588,185,858,,,,,,,,,,,
90_1,IRGC 32816,Control,263,586,171,727,202,987,8,58.5,,,,,,0.015965414,0.0147258
90_2,IRGC 32816,Control,259,589,182,727,92,985,7.5,59.75,0.014263947,0.002954292,0.002756573,0.009141583,,0.021153552,0.02089286
90_3,IRGC 32816,Control,262,542,165,732,85,950,9,59.5,0.030712152,0.219992568,0.007064914,0.005425492,,1.60E-06,4.04E-06
90_4,IRGC 32816,Control,245,572,171,730,,,,,,,,,,,
90_5,IRGC 32816,Control,263,567,177,727,,,,,,,,,,,
91_1,IRGC 32817,Control,262,568,182,724,91,788,6.5,49,0.041362429,0.243218135,0.015926356,0.054254924,,0.017874174,0.0169983
91_2,IRGC 32817,Control,266,549,172,727,102,904,8.5,56.5,0.01374599,0.002025269,0.003626977,0.00821256,,0.02250412,0.02280176
91_3,IRGC 32817,Control,257,588,179,725,93,390,8.5,43,0.071661688,0.127090301,0.005146218,0.004960981,,0.013809638,0.0134027
91_4,IRGC 32817,Control,262,578,175,720,,,,,,,,,,,
91_5,IRGC 32817,Control,275,603,175,726,,,,,,,,,,,
92_1,IRGC 32861,Control,280,515,200,777,,,,,,,,,,,
92_2,IRGC 32861,Control,287,491,196,773,,,,,,,,,,,
92_3,IRGC 32861,Control,281,529,203,770,,,,,,,,,,,
92_4,IRGC 32861,Control,272,511,208,772,,,,,,,,,,,
92_5,IRGC 32861,Control,283,502,192,771,,,,,,,,,,,
93_1,IRGC 34034,Control,242,560,198,800,142,969,9,50,0.024798789,0.145670754,0.003868987,0.002015979,,0.017005608,0.01630544
93_2,IRGC 34034,Control,250,565,183,799,,,,,0.031380684,0.136380528,0.005959177,0.005425492,,0.022164874,0.02221798
93_3,IRGC 34034,Control,242,541,193,802,88,756,8.5,54,0.035077166,0.099219621,0.006826668,0.000854701,,,
93_4,IRGC 34034,Control,270,612,185,804,,,,,,,,,,,
93_5,IRGC 34034,Control,258,608,188,805,,,,,,,,,,,
94_1,IRGC 34699,Control,254,601,171,768,134,891,8,53,0.017915422,0.002954292,0.004293125,0.010302861,,0.020151052,0.01964046
94_2,IRGC 34699,Control,260,550,184,769,106,872,8.5,54,0.031380684,0.094574508,0.009493415,0.003567447,,0.017603098,0.01689528
94_3,IRGC 34699,Control,284,571,183,770,98,795,5.5,53,,,,,,0.013018866,0.0125644
94_4,IRGC 34699,Control,261,606,194,764,,,,,,,,,,,
94_5,IRGC 34699,Control,268,632,182,765,,,,,,,,,,,
95_1,IRGC 34709,Control,282,567,194,860,118,1000,10,55.5,0.018575755,0.048123374,0.006100756,0.000854701,,0.019682684,0.0189779
95_2,IRGC 34709,Control,280,548,199,861,172,1072,9.5,56,0.045266807,1.967670011,0.003328872,0.010999628,,0.020981924,0.02112516
95_3,IRGC 34709,Control,285,579,286,866,121,1032,7.5,50,0.03715151,0.141025641,0.008693578,0.005193237,,0.017191672,0.0188567
95_4,IRGC 34709,Control,313,582,190,869,,,,,,,,,,,
95_5,IRGC 34709,Control,266,546,178,867,,,,,,,,,,,
96_1,IRGC 34749,Control,256,565,192,650,33,201,9.5,23,0.038018586,0.117800074,0.005308756,0.008444816,,0.006057506,0.00593476
96_2,IRGC 34749,Control,246,536,175,650,114,838,9.5,50,0.023083306,0.113154961,0.006204364,0.006819026,,0.018804494,0.01801032
96_3,IRGC 34749,Control,251,541,189,655,81,780,8,53.5,0.044656489,0.178186548,0.00616301,0.005890004,,0.019928096,0.01957582
96_4,IRGC 34749,Control,231,502,173,653,,,,,,,,,,,
96_5,IRGC 34749,Control,242,522,194,646,,,,,,,,,,,
97_1,IRGC 37086,Control,246,527,166,640,77,855,6.5,53,0.035830844,0.182831661,0.004197992,0.010302861,,0.015938146,0.01667106
97_2,IRGC 37086,Control,236,522,159,643,126,1406,8,63,0.019839031,0.243218135,0.003312458,0.004222408,,0.01792069,0.01706294
97_3,IRGC 37086,Control,236,597,168,643,94,751,5,54,,,,,,0.016048822,0.01536614
97_4,IRGC 37086,Control,239,581,169,640,,,,,,,,,,,
97_5,IRGC 37086,Control,228,585,145,642,,,,,,,,,,,
98_1,IRGC 37149,Control,262,591,181,746,119,900,10,51.5,0.022724444,0.243218135,0.006802368,0.010302861,,0.013214554,0.01256844
98_2,IRGC 37149,Control,243,600,170,742,86,977,6.5,61,0.03715151,0.062058714,0.008472974,0.003567447,,0.017549364,0.01735786
98_3,IRGC 37149,Control,254,544,181,750,122,1215,8.5,56.75,0.020044095,0.210702341,0.00530384,0.024786325,,0.022110338,0.02296134
98_4,IRGC 37149,Control,228,567,162,744,,,,,,,,,,,
98_5,IRGC 37149,Control,249,578,174,746,,,,,,,,,,,
99_1,IRGC 37161,Control,271,614,182,860,44,642,6.5,54,0.03721374,0.182831661,0.003310654,0.002248235,,0.016522002,0.01552976
99_2,IRGC 37161,Control,275,560,176,855,143,1050,8.5,60,0.018035483,0.182831661,0.002828714,0.003874025,,0.014084724,0.01329362
99_3,IRGC 37161,Control,264,534,201,859,180,1838,6,63,0.027841475,0.164251208,0.00328535,0.011696395,,0.021360468,0.02145644
99_4,IRGC 37161,Control,278,583,204,865,,,,,,,,,,,
99_5,IRGC 37161,Control,288,608,195,861,,,,,,,,,,,
100_1,IRGC 37182,Control,280,588,190,815,106,860,7,55.5,,,,,,0.016788266,0.0162711
100_2,IRGC 37182,Control,264,586,185,816,66,809,6.5,57,0.033096167,0.159606094,0.005137313,0.065867707,,0.017943948,0.01764268
100_3,IRGC 37182,Control,295,611,186,814,98,962,7.5,58.5,0.015690342,0.131735414,0.003125064,0.001086957,,0.02020238,0.01975964
100_4,IRGC 37182,Control,273,597,185,820,,,,,,,,,,,
100_5,IRGC 37182,Control,286,602,197,823,,,,,,,,,,,
101_1,IRGC 37252,Control,277,570,187,715,110,954,6.5,59,0.03715151,0.099219621,0.005889115,0.04264214,,0.016468268,0.015655
101_2,IRGC 37252,Control,270,580,197,717,186,1450,10,54.5,0.026402257,0.154960981,0.006348877,0.005425492,,0.020730096,0.01998386
101_3,IRGC 37252,Control,268,577,178,715,94,725,5.5,60,0.028341473,0.159606094,0.006348877,0.00821256,,0.019136522,0.01879812
101_4,IRGC 37252,Control,258,578,180,717,,,,,,,,,,,
101_5,IRGC 37252,Control,261,568,204,719,,,,,,,,,,,
102_1,IRGC 37272,Control,216,736,178,816,123,1036,6,65.5,0.020199506,0.168896321,0.003660454,0.012393162,,0.020852802,0.02091508
102_2,IRGC 37272,Control,232,706,181,816,55,613,5.5,53,0.019090352,0.003883315,0.002343091,0.003177258,,0.022775998,0.0233512
102_3,IRGC 37272,Control,217,723,195,811,118,1105,7.5,69.5,,,,,,0.016075288,0.0154328
102_4,IRGC 37272,Control,227,713,185,811,,,,,,,,,,,
102_5,IRGC 37272,Control,230,730,178,812,,,,,,,,,,,
103_1,IRGC 37346,Control,282,593,203,760,68,480,8,46.5,0.043374544,0.048123374,0.012277258,0.001709402,,0.015764914,0.01488336
103_2,IRGC 37346,Control,278,600,195,761,35,396,3.5,50,,,,,,0.015861154,0.01503688
103_3,IRGC 37346,Control,275,562,174,763,92,894,10,51,0.022414774,0.210702341,0.005566396,0.007051282,,0.021993246,0.02235938
103_4,IRGC 37346,Control,277,573,204,759,,,,,,,,,,,
103_5,IRGC 37346,Control,302,601,199,759,,,,,,,,,,,
104_1,IRGC 37468,Control,220,676,178,807,172,1013,8.5,65,0.030340746,0.154960981,0.004083416,0.247863248,,0.01648912,0.01599234
104_2,IRGC 37468,Control,230,724,176,810,124,1113,7,64.5,0.041337537,0.117800074,0.0073152,0.001203084,,0.018848604,0.01789114
104_3,IRGC 37468,Control,226,715,181,810,148,1176,9,63,,,,,,0.017743448,0.02047068
104_4,IRGC 37468,Control,252,664,177,813,,,,,,,,,,,
104_5,IRGC 37468,Control,229,738,177,811,,,,,,,,,,,
105_1,IRGC 37478,Control,246,620,166,670,42,372,4.5,48,0.031897492,0.164251208,0.003465837,0.010767373,,0.015603712,0.01511364
105_2,IRGC 37478,Control,245,599,161,668,82,816,7,55.5,0.021052711,0.002954292,0.004474978,0.010535117,,0.021460718,0.0216544
105_3,IRGC 37478,Control,278,596,170,670,68,810,5.2,53.5,0.057832725,0.108509848,0.006619233,0.005193237,,0.01335731,0.01282902
105_4,IRGC 37478,Control,256,608,172,667,,,,,,,,,,,
105_5,IRGC 37478,Control,274,569,160,667,,,,,,,,,,,
