uid,accession_name,Treatment,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
12_2,IRGC 8742,Control,224,649,180,640,145,1289,8.5,54,0.022001881,0.085284281,0.005852513,0.000970829,,0.018961686,0.01866682
12_3,IRGC 8742,Control,209,635,169,636,48,427,5.5,39.5,0.022414774,0.141025641,0.004730691,0.008677072,,,
12_4,IRGC 8742,Control,220,627,168,635,,,,,,,,,,,
12_5,IRGC 8742,Control,221,572,171,639,,,,,,,,,,,
13_1,IRGC 8775,Control,282,528,198,734,41,445,5,43,,,,,,0.0249422,0.03221092
13_2,IRGC 8775,Control,281,544,185,738,48,313,6,45,,,,,,0.016856436,0.01714576
13_3,IRGC 8775,Control,276,544,172,732,,,,,,,,,,,
13_4,IRGC 8775,Control,242,528,171,736,,,,,,,,,,,
13_5,IRGC 8775,Control,290,548,200,732,,,,,,,,,,,
14_1,IRGC 8794,Control,261,596,171,769,104,1050,13.25,50.5,0.020668769,0.247863248,0.004073374,0.006586771,,0.021286684,0.0209777
14_2,IRGC 8794,Control,257,573,177,771,92,691,8.5,54,0.019544097,0.000780379,0.006330411,0.00821256,,0.0183257,0.01794972
14_3,IRGC 8794,Control,262,598,185,770,160,954,10,56,,,,,,0.02164999,0.02188064
14_4,IRGC 8794,Control,256,575,174,775,,,,,,,,,,,
14_5,IRGC 8794,Control,251,554,189,772,,,,,,,,,,,
15_1,IRGC 8806,Control,283,618,188,888,89,647,8,47.5,0.021229434,0.206057228,0.004186073,0.009373839,,0.018204598,0.01746896
15_2,IRGC 8806,Control,289,596,193,881,58,631,6.5,47.5,,,,,,0.017781944,0.01695992
15_3,IRGC 8806,Control,291,642,204,889,112,924,8.5,51.5,0.039225855,0.085284281,0.006826668,0.004960981,,0.01714676,0.01644684
15_4,IRGC 8806,Control,270,576,183,888,,,,,,,,,,,
15_5,IRGC 8806,Control,269,614,145,883,,,,,,,,,,,
16_1,IRGC 8840,Control,256,523,175,748,94,415,6.5,47,,,,,,0.0167618,0.01631756
16_2,IRGC 8840,Control,266,569,188,751,117,862,6.5,50.5,0.021121437,0.003418803,0.007052771,0.065867707,,0.020822326,0.02071712
16_3,IRGC 8840,Control,270,585,169,749,78,648,6.25,47.5,0.017175573,0.003883315,0.003771631,0.010070606,,0.020891298,0.01990508
16_4,IRGC 8840,Control,268,557,188,756,,,,,,,,,,,
16_5,IRGC 8840,Control,269,554,160,754,,,,,,,,,,,
17_1,IRGC 8855,Control,261,565,156,641,68,648,6.5,45.5,0.021229434,0.164251208,0.005295387,0.004960981,,0.019309754,0.01892538
17_2,IRGC 8855,Control,252,579,166,637,82,642,7,49,0.036359111,0.145670754,0.007508162,0.00449647,,0.016211628,0.01567116
17_3,IRGC 8855,Control,242,552,146,640,65,566,7,41,0.017281176,0.003418803,0.00528028,0.004728725,,0.015252436,0.01437432
17_4,IRGC 8855,Control,271,564,172,641,,,,,,,,,,,
17_5,IRGC 8855,Control,233,554,163,645,,,,,,,,,,,
18_1,IRGC 25838,Control,283,610,206,852,147,860,10.5,54.5,0.01291798,0.004812337,0.002318206,0.008677072,,0.01854625,0.01751542
18_2,IRGC 25838,Control,276,567,199,861,128,1556,9,64.5,0.025647195,0.001560758,0.002835706,0.002364363,,0.016993578,0.01622262
18_3,IRGC 25838,Control,234,591,172,858,197,945,10,48,0.013003177,0.00574136,0.004701848,0.105351171,,0.019206296,0.01864864
18_4,IRGC 25838,Control,289,560,173,859,,,,,,,,,,,
18_5,IRGC 25838,Control,282,564,179,853,,,,,,,,,,,
19_1,IRGC 25845,Control,300,623,204,827,24,465,8.5,38,0.057832725,0.136380528,0.006890431,0.113154961,,0.017992068,0.01750128
19_2,IRGC 25845,Control,268,593,188,827,,,,,0.023761616,0.196767001,0.004162995,0.079803047,,0.011617772,0.01123726
19_3,IRGC 25845,Control,300,606,193,836,99,773,8.5,47.5,0.018452092,0.002954292,0.002490106,0.002132107,,,
19_4,IRGC 25845,Control,284,572,200,834,,,,,,,,,,,
19_5,IRGC 25845,Control,301,574,182,833,,,,,,,,,,,
20_1,IRGC 25855,Control,255,528,173,635,131,1053,11.5,57,0.041237969,0.034188034,0.011800057,0.001012635,,0.022146428,0.02202204
20_2,IRGC 25855,Control,257,531,184,633,44,317,6,45.5,0.024767673,0.103864734,0.005220798,0.00287068,,0.017703348,0.01752552
20_3,IRGC 25855,Control,249,543,178,634,129,1145,8.5,48,0.023083306,0.117800074,0.004997442,0.005425492,,0.015833084,0.01509748
20_4,IRGC 25855,Control,257,503,197,630,,,,,,,,,,,
20_5,IRGC 25855,Control,259,522,178,629,,,,,,,,,,,
21_1,IRGC 25877,Control,280,595,194,953,97,940,8.5,60,0.025647195,0.173541434,0.005030285,0.077480491,,0.014212242,0.01375216
21_2,IRGC 25877,Control,281,588,191,952,18,133,2.5,32.5,0.023157982,0.178186548,0.004081628,0.008444816,,0.007627822,0.0073932
21_3,IRGC 25877,Control,292,581,191,952,120,1264,7.5,63.5,,,,,,0.01640491,0.01554188
21_4,IRGC 25877,Control,294,580,185,956,,,,,,,,,,,
21_5,IRGC 25877,Control,266,616,199,948,,,,,,,,,,,
22_1,IRGC 25880,Control,285,643,184,856,199,1040,8.5,58,0.026402257,0.062058714,0.008501449,0.005193237,,0.018704244,0.01858198
22_2,IRGC 25880,Control,276,630,196,858,93,1203,7.8,54.5,0.029721208,0.075994054,0.003815198,0.034188034,,0.018405098,0.01780832
22_3,IRGC 25880,Control,258,609,175,851,76,1260,8.5,57,0.022724444,0.238573021,0.00600177,0.007980305,,0.019567998,0.018786
22_4,IRGC 25880,Control,268,582,194,858,,,,,,,,,,,
22_5,IRGC 25880,Control,283,592,172,856,,,,,,,,,,,
23_1,IRGC 25919,Control,266,582,183,834,148,714,9,57.5,,,,,,0.01550667,0.01466318
23_2,IRGC 25919,Control,242,517,152,834,121,792,8,55,,,,,,0.018652114,0.01795174
23_3,IRGC 25919,Control,289,547,188,828,27,151,5.5,25.5,0.019298318,0.178186548,0.002760496,0.085284281,,0.009990514,0.00935866
23_4,IRGC 25919,Control,274,567,188,831,,,,,,,,,,,
23_5,IRGC 25919,Control,587,554,198,833,,,,,,,,,,,
24_1,IRGC 25927,Control,243,589,178,656,50,556,6.5,48.5,,,,,,8.02E-07,1.21E-05
24_2,IRGC 25927,Control,229,523,146,649,,,,,,,,,,0.015681506,0.0154227
24_3,IRGC 25927,Control,237,587,167,650,93,1016,9,48.5,0.028061732,0.154960981,0.004726119,0.004031958,,0.020690798,0.02058582
24_4,IRGC 25927,Control,241,569,170,656,,,,,,,,,,,
24_5,IRGC 25927,Control,230,590,186,655,,,,,,,,,,,
