accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B
IRIS_313-10972,161,1119.333333,8,61.16666667,0.024798789,0.164251208,0.005989255,0.024798712,0.016003509,0.01539644,101.3333333,475.6666667,9.166666667,49.83333333,0.343102113,0.131495933,0.045387463,0.023913043,4.666666667,0.018399217,0.017844007,20.125,18.29972751,11.05454545,9.545150503,59.6666667,643.6666663,-1.166666667,11.33333334,9.070454549,8.754577011,-0.002395708,-0.002447567
IRIS_313-10973,129.6666667,1396.666667,8.333333333,60.33333333,0.028734051,0.116251703,0.005748868,0.007902886,0.018300437,0.01744169,84.33333333,775.3333333,9.25,48.7,0.093142678,0.01254623,0.155162122,0.032489392,3,0.019059797,0.018490407,15.56,23.14917128,9.117117117,15.92060233,45.33333337,621.3333337,-0.916666667,11.63333333,6.442882888,7.228568951,-0.00075936,-0.001048717
IRIS_313-10974,110.6666667,779.6666667,7.166666667,60,0.027200011,0.073634337,0.004336396,0.053381643,0.017324537,0.017891813,84.33333333,551.3333333,7.666666667,47.33333333,0.050013039,0.013282959,0.142215168,0.026614691,5,0.014619123,0.013729267,15.44186047,12.99444445,11,11.64788732,26.33333337,228.3333334,-0.5,12.66666667,4.44186047,1.346557121,0.002705414,0.004162546
IRIS_313-10975,59,849.3333333,7.833333333,57.66666667,0.037285519,0.18128329,0.003869312,0.006959928,0.017955711,0.017086507,64,383.6666667,7.833333333,43.91666667,0.060195404,0.013614828,0.121518873,0.037265236,7,0.009498353,0.00938694,7.531914894,14.7283237,8.170212766,8.736242884,-5,465.6666666,0,13.75,-0.638297872,5.992080814,0.008457358,0.007699567
IRIS_313-10976,89.66666667,943.6666667,6.833333333,55.4,0.021872283,0.15341261,0.005507245,0.025572897,0.018332116,0.018002913,71,532.3333333,7.916666667,40.66666667,0.056188724,0.008791799,0.131884456,0.034508053,4.666666667,0.017935126,0.015591033,13.12195122,17.03369434,8.968421052,13.09016393,18.66666667,411.3333334,-1.083333334,14.73333333,4.153530168,3.943530412,0.00039699,0.00241188
IRIS_313-10977,96.66666667,1129.333333,7.166666667,64,0.015980904,0.164251208,0.00279684,0.007347021,0.019272862,0.019106507,90,594,8.083333333,47.66666667,0.064514189,0.018111297,0.104026197,0.040594913,6.333333333,0.020645084,0.020085533,13.48837209,17.64583333,11.13402062,12.46153846,6.66666667,535.333333,-0.916666666,16.33333333,2.354351474,5.184294867,-0.001372222,-0.000979026
IRIS_313-10978,201.5,1393,8.5,68.375,0.021978693,0.108937198,0.004025169,0.007980305,0.021620316,0.02098275,102,643.5,9.125,52.25,0.053842608,0.010111896,0.117660966,0.032983421,7.5,0.016319898,0.01585599,23.70588235,20.37294333,11.17808219,12.31578947,99.5,749.5,-0.625,16.125,12.52780016,8.057153854,0.005300418,0.00512676
IRIS_313-10979,84.33333333,845.6666667,9.666666667,52.33333333,0.040410865,0.144122383,0.00782645,0.084095132,0.017943146,0.016962613,79,423.3333333,9.333333333,41,0.043800481,0.010787723,0.115016337,0.039216025,6.333333333,0.012373256,0.011920693,8.72413793,16.15923567,8.464285715,10.32520325,5.33333333,422.3333334,0.333333334,11.33333333,0.259852216,5.834032419,0.00556989,0.00504192
IRIS_313-10980,119.5,1180,7.25,55.75,0.015690722,0.080818047,0.004872692,0.043290134,0.015178652,0.01437129,94.66666667,526.6666667,10.06666667,44.66666667,0.059575174,0.013501796,0.133323194,0.037293895,7,0.015831213,0.015635473,16.48275862,21.16591928,9.403973507,11.79104478,24.83333333,653.3333333,-2.81666667,11.08333333,7.078785114,9.374874507,-0.000652561,-0.001264183
IRIS_313-10981,89.66666667,909.3333333,8.166666667,57.66666667,0.015772561,0.215347455,0.005770092,0.007748049,0.01723498,0.01639432,93,526.3333333,9.75,43.66666667,0.051242071,0.007896693,0.122656989,0.030845239,6,0.017221346,0.016463,10.97959184,15.76878613,9.538461538,12.05343511,-3.33333333,383,-1.583333333,14,1.441130298,3.715351013,1.36E-05,-6.87E-05
