accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Root thickness,Shoot thickness
IRGC 25927,Control,50.0,556.0,6.5,48.5,,,,,,8.02e-07,1.21e-05,7.6923076923076925,11.463917525773196
IRGC 26290,Stress,101.0,526.0,7.5,50.5,,,,,8.0,0.015456946000000001,0.01495002,13.466666666666667,10.415841584158416
IRGC 26384,Stress,72.0,430.0,8.0,46.0,,,,,7.0,0.013464778,0.01308556,9.0,9.347826086956522
IRGC 26458,Control,,,,,,,,,,0.013375756,0.01282498,,
IRGC 26478,Control,122.0,1030.0,8.0,61.0,,,,,,0.014313293999999999,0.01351582,15.25,16.885245901639344
IRGC 26504,Control,119.0,1148.0,7.0,66.5,,,,,,0.02079586,0.02053532,17.0,17.263157894736842
IRGC 26578,Control,87.0,412.0,6.5,58.0,,,,,,0.016912576000000002,0.016321600000000002,13.384615384615385,7.103448275862069
IRGC 26578,Control,90.0,802.0,6.5,53.0,,,,,,0.016317492,0.01558834,13.846153846153847,15.132075471698114
IRGC 26578,Stress,101.0,443.0,11.25,46.0,,,,,5.0,0.014934042,0.01400668,8.977777777777778,9.630434782608695
IRGC 26629,Control,70.0,919.0,5.5,56.0,,,,,,0.012992400000000001,0.012715899999999999,12.727272727272727,16.410714285714285
IRGC 26802,Control,85.0,639.0,7.0,59.0,,,,,,0.014864268,0.01380064,12.142857142857142,10.830508474576272
IRGC 27516,Control,56.0,656.0,6.0,50.5,,,,,,0.018551062,0.01741038,9.333333333333334,12.990099009900991
IRGC 27516,Control,,,,,,,,,,0.017903046000000002,0.01724474,,
IRGC 27516,Control,47.0,518.0,4.5,44.0,,,,,,,,10.444444444444445,11.772727272727273
IRGC 27516,Stress,,,,,,,,,7.0,0.021268238,0.02144836,,
IRGC 27516,Stress,45.0,312.0,8.5,37.0,,,,,6.0,0.014272392,0.01365924,5.294117647058823,8.432432432432432
IRGC 27516,Stress,70.0,386.0,9.0,37.5,,,,,,,,7.777777777777778,10.293333333333333
IRGC 27526,Control,114.0,821.0,7.5,58.0,,,,,,0.013836906000000001,0.01334412,15.2,14.155172413793103
IRGC 27536,Control,100.0,887.0,8.5,46.0,,,,,,0.017701744,0.01717606,11.764705882352942,19.282608695652176
IRGC 27536,Control,47.0,335.0,5.0,39.0,,,,,,0.017172424,0.01678216,9.4,8.58974358974359
IRGC 27567,Control,120.0,1220.0,8.0,61.0,,,,,,0.013653248,0.01278862,15.0,20.0
IRGC 27567,Stress,,,,,,,,,7.0,0.01359791,0.01376428,,
IRGC 27568,Control,75.0,930.0,7.0,56.0,,,,,,0.015647822,0.01499042,10.714285714285714,16.607142857142858
IRGC 27568,Control,15.0,125.0,2.5,31.0,,,,,,0.008222104000000001,0.00795678,6.0,4.032258064516129
IRGC 27568,Stress,20.0,92.0,6.0,30.0,,,,,9.0,,,3.3333333333333335,3.066666666666667
IRGC 27568,Stress,95.0,630.0,10.5,47.0,,,,,4.0,0.02314171,0.0239976,9.047619047619047,13.404255319148936
IRGC 27577,Control,140.0,1107.0,14.5,58.5,,,,,,0.019920878,0.0192102,9.655172413793103,18.923076923076923
IRGC 27577,Control,30.0,220.0,6.5,42.0,,,,,,0.01553474,0.0151197,4.615384615384615,5.238095238095238
IRGC 27577,Control,170.0,635.0,10.5,53.0,,,,,,0.010506200000000002,0.00979498,16.19047619047619,11.981132075471699
IRGC 27577,Stress,143.0,581.0,13.0,45.5,,,,,5.0,0.020467842,0.02033736,11.0,12.76923076923077
IRGC 27577,Stress,85.0,400.0,12.0,45.5,,,,,6.0,0.019907243999999998,0.01915768,7.083333333333333,8.791208791208792
IRGC 27577,Stress,51.0,770.0,9.0,56.5,,,,,6.0,0.016484308,0.0159378,5.666666666666667,13.628318584070797
IRGC 27594,Control,93.0,589.0,5.5,46.0,,,,,,0.016983151999999998,0.01649734,16.90909090909091,12.804347826086957
IRGC 29004,Control,77.0,850.0,7.0,50.0,,,,,,0.021304327999999997,0.02030504,11.0,17.0
