,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed_Weight,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B,Seed_volume,Seed_density
Stress_Root_weight,1.65E-16,4.44E-13,1.71E-06,7.33E-10,0.084539508,0.411694792,0.789743643,0.326368534,0.021944464,0.090017049,1.29E-41,6.78E-55,6.65E-16,7.69E-27,0.007482323,0.011872184,9.39912E-12,0.264384989,2.00E-44,4.94E-33,1.90E-29,0.110600866,0.000692127,7.30E-05,4.35E-08,8.73E-15,1.33E-20,1.22E-46,6.81E-53,1.27688E-07,2.86466E-07,0.004769375,0.000380828,0.000131239,0.001447447,5.19E-24,4.64E-22,5.09E-07,4.95772E-08
Stress_Shoot_weight,5.72E-15,2.33E-19,0.004309392,2.65E-13,0.398920561,0.109505843,0.667700598,0.698302005,0.010872361,0.042033596,1.18E-46,1.16E-55,3.21E-10,4.60E-46,5.59036E-06,1.17727E-05,8.16E-21,0.81940204,2.60E-51,2.58E-48,1.16E-40,0.143974297,0.000500613,5.85E-05,6.75E-08,6.74E-18,2.31E-22,1.75E-36,5.16E-80,1.2296E-09,1.78501E-11,6.00166E-07,5.5815E-10,6.7561E-08,1.43345E-05,1.63E-31,6.50E-24,1.25E-06,5.32481E-09
Stress_Root_length,1.95E-07,1.95E-05,3.17E-12,3.65E-04,0.659891322,0.174710345,0.306305341,0.440190794,0.275979178,0.195498501,9.74E-15,9.47E-11,3.46E-38,1.17E-14,0.074316604,0.130625825,0.033763761,0.002729055,7.33E-07,4.40E-05,1.18E-04,0.142349953,0.969764759,2.40E-06,0.023958109,0.810926505,0.226539391,0.523626935,1.26E-06,0.474476036,0.712926496,3.22E-06,0.981272204,0.925841654,0.033530537,0.001250392,0.003626642,0.008986393,0.164895023
Stress_Shoot_length,1.12E-10,6.75E-14,0.008265187,1.72E-21,0.81765996,0.389089923,0.741647841,0.105960055,0.008172893,0.040248253,6.94E-22,1.84E-35,3.52E-14,9.30E-58,2.59663E-07,7.52044E-08,2.87E-21,0.161649333,5.66E-25,3.57E-30,6.07E-27,0.657379059,0.014078278,0.000410057,3.76E-04,3.65E-14,2.67E-10,7.74E-15,2.72E-19,1.50834E-09,7.04037E-12,4.48E-15,5.39717E-13,2.33116E-10,1.03093E-05,3.51E-25,1.55E-18,0.001915521,3.04813E-07
Stress_Root_Na+,0.445133159,0.270126661,0.1146814,0.055637911,0.618838669,0.626216094,0.90640047,0.966670804,0.630241168,0.537081735,0.087116229,0.09883309,0.269743783,0.278919687,5.92E-05,7.39E-122,8.45489E-16,2.0076E-21,0.006604978,3.12358E-16,3.11E-17,4.34E-07,4.27E-07,9.36769E-06,0.570466458,3.02E-32,4.35331E-21,3.95667E-08,0.000459419,2.1513E-50,4.64995E-66,2.61278E-21,1.85901E-54,9.30484E-51,5.85298E-74,1.28577E-18,7.90064E-15,0.117377202,6.96924E-30
Stress_Root_K+,0.919367056,0.584030654,0.074188195,0.253962634,0.792755442,0.685960717,0.715985936,0.986652473,0.929984772,0.828057265,0.127959041,0.148944188,0.262056356,0.658733695,8.78E-77,6.70E-09,9.55381E-20,3.03194E-19,0.009175594,1.16E-17,2.82E-18,7.98E-08,7.86E-06,6.67324E-06,0.285195974,8.98E-33,1.04019E-17,2.82017E-07,0.001675787,2.42851E-45,1.6548E-54,4.20395E-24,6.08912E-54,2.01501E-53,2.75916E-55,3.93161E-20,4.91526E-15,0.032203771,7.93495E-28
Stress_Shoot_Na+,0.257462392,2.32E-01,0.485943396,3.33E-02,0.75059392,0.710536967,0.718238817,0.863597225,0.627102099,0.817936248,0.059210651,3.97E-03,0.912033605,5.95E-03,0.227897462,0.023672554,2.46E-22,0.236460391,6.65302E-16,3.95E-33,5.45E-25,0.053809416,0.012590717,0.695250625,0.117086135,1.58E-27,1.43665E-12,4.45758E-15,1.27709E-13,4.21345E-21,8.48953E-20,4.1619E-15,3.60615E-25,8.99181E-25,1.07265E-10,5.31E-38,6.37854E-23,0.603919759,9.05724E-19
Stress_Shoot_K+,0.713252178,0.864016612,0.979806072,0.452746254,0.975484655,0.666003156,0.131598788,0.850955045,0.31666852,0.366497844,0.47644755,0.621155304,0.761172449,0.966182686,0.011373691,0.021256386,0.124035821,8.40E-20,0.268657826,0.009113689,0.000324529,0.012751479,0.00763293,0.00050694,0.493978981,8.04493E-05,8.30279E-05,0.29244204,0.732565252,2.72673E-08,2.34925E-13,4.6715E-05,2.51004E-12,3.18019E-08,1.63661E-18,0.12767327,0.206849231,0.274239748,0.000183421
SES,3.91E-07,1.19E-07,0.058249176,1.97E-06,0.797214736,0.064520675,0.196929364,0.921303172,0.470965487,0.691801799,2.22E-24,1.16E-37,4.17E-05,2.84E-15,0.130818959,0.159988738,4.27E-03,0.512365875,4.74E-45,7.02E-43,3.46E-35,0.10034599,0.00161052,0.002390515,5.63E-07,3.33E-13,1.49E-15,3.37E-35,5.79E-49,9.66814E-08,2.6566E-06,0.02866046,0.000488884,0.000133957,6.67E-03,5.54E-33,6.90E-29,7.53537E-06,1.3756E-08
Stress_Chlorophyll_A,5.83E-09,3.84E-10,0.147548283,3.87E-08,0.450083776,0.221340197,0.480077714,0.90888673,0.014230381,0.053575722,3.81E-22,3.18E-35,3.12E-06,1.00E-16,0.627169499,0.288428757,2.49E-04,0.874717705,4.54E-33,1.56E-40,2.85E-122,0.221940844,2.95E-05,0.761079729,0.002806475,2.53E-32,1.38E-27,3.96E-33,2.65E-40,8.75556E-23,8.18002E-21,7.12487E-10,3.62172E-17,2.6797E-19,1.14086E-12,8.72E-70,1.72E-49,0.040063395,3.14273E-20
Stress_Chlorophyll_B,6.14E-08,1.98E-09,0.122597533,8.77E-08,0.144525422,0.466569112,0.627713088,0.622506217,0.003519568,0.022923979,4.90E-20,2.16E-28,1.57E-05,2.66E-15,0.620404048,0.294244573,1.00E-03,0.827948989,3.30E-25,1.04E-98,1.03E-46,0.26270865,2.91E-05,0.96073311,0.003832488,8.51E-29,6.15E-27,9.66E-30,3.58E-34,9.36171E-22,3.8278E-21,2.89506E-09,5.47171E-17,5.03717E-18,5.72849E-14,7.03E-55,7.37E-46,0.043377234,2.7328E-18
Width_WO_husk,0.460687347,0.128378159,1.23E-04,0.32013382,0.023533776,0.152661964,0.135041891,0.125114597,0.504611072,0.23849446,0.087301195,0.053026154,0.221960437,0.230584909,0.258396754,0.139343245,0.311619033,0.547042665,0.165444013,0.980644425,0.980954554,6.09E-212,0.003582955,6.18E-35,2.20E-22,1.43929E-05,0.890484809,0.739090008,0.075646861,1.08999E-05,0.003226614,1.17926E-08,0.000230253,9.24866E-10,0.000519835,0.009482127,0.011424188,6.80E-33,1.83E-08
Length_WO_husk,0.000124466,4.94E-05,0.262259367,0.006951009,0.334925352,0.200668049,0.124209432,0.12781815,0.307659221,0.877514003,0.010341141,0.001560065,0.412000594,0.010615312,0.473101779,0.30207583,0.3981392,0.598308169,0.018703366,0.001327,0.001430595,0.008318782,2.99E-239,0.172745056,5.98E-12,1.78E-11,1.36026E-08,2.45634E-05,0.00012552,1.44648E-10,1.41439E-07,0.0040449,0.00052886,6.47E-10,4.69912E-08,3.54098E-06,3.72405E-07,1.62E-08,8.94111E-13
Height_WO_husk,0.004463173,0.000267636,1.92E-05,0.001178178,0.024857977,0.350859547,0.030174701,0.024725662,0.161026819,0.013538112,7.62E-05,2.33E-05,0.002006793,0.000149403,0.068468209,0.052214051,0.308780415,0.308854728,0.005016996,0.157642944,0.305882917,7.53E-32,0.667472968,2.59E-114,1.15E-24,0.00807751,0.453628886,0.183849828,0.000473163,0.000294623,0.077585855,0.012403446,0.090407035,1.99508E-05,0.002086944,0.213208057,0.036986074,1.56E-36,5.48E-07
Seed_Weight,1.11E-05,7.38E-08,0.000730854,0.00012842,0.021928861,0.504412249,0.608680519,0.004878993,0.116625427,0.097159382,2.38E-06,1.62E-07,0.025199099,9.40E-05,0.262552063,0.283324595,0.04482963,0.661418315,5.51E-05,0.002285895,0.004523048,7.69E-23,3.28E-12,2.37E-26,0,0.073033159,1.59E-06,5.06495E-06,7.63E-09,0.268992249,0.082752236,0.046243587,0.934080151,0.857091032,0.299495125,0.045149289,0.055926819,5.62E-83,0.181743312
Root_thickness,7.42E-37,7.53E-23,0.290696345,2.21E-12,0.05280824,0.201861687,0.778668021,0.069963081,8.72E-05,0.000254027,6.33E-09,1.21E-11,0.248305196,2.62E-08,0.776522762,0.245479284,0.091800444,0.765185381,4.75E-06,1.25E-08,1.93E-07,6.39E-02,3.10E-08,0.6311956,0.005160693,8.64E-28,4.09E-35,9.52E-28,6.75E-16,7.79E-70,4.26E-40,3.42655E-14,1.04569E-25,1.63E-71,1.20409E-31,1.67E-40,3.15429E-33,0.629160178,1.23202E-51
Shoot_thickness,4.57E-25,6.57E-62,1.02E-05,9.26E-08,0.03644349,0.372831636,0.475691427,0.566790376,6.16E-07,1.74E-06,2.01E-08,1.19E-11,0.000872585,2.78E-05,0.869223824,0.811996725,0.960732633,0.894843609,1.06E-04,2.56E-06,7.87E-06,0.192725656,1.68E-04,0.0037741,1.82E-06,3.06E-17,9.89E-28,1.77E-29,2.64E-25,5.59E-36,4.34E-44,0.006661409,7.22517E-19,8.87E-21,1.50E-37,6.2671E-21,1.4764E-17,2.80E-05,1.25108E-20
Stress_Root_thickness,1.70E-08,1.06E-07,0.380926656,2.32E-06,0.02422944,0.940965171,0.684880582,0.565393902,0.04255483,0.234226091,1.69E-41,3.33E-25,0.771505902,4.50E-09,0.140133884,0.211359897,2.68E-02,0.363849411,3.98E-18,3.38E-14,2.17E-13,0.322949731,2.14E-02,0.014492264,2.28E-04,3.85E-10,3.11E-05,1.22E-36,8.79E-43,1.86919E-16,3.63731E-14,0.119656231,9.97108E-08,3.06619E-09,6.28235E-10,9.09E-28,5.41E-26,0.000210207,1.13529E-19
Stress_Shoot_thickness,4.24E-12,2.45E-14,0.011286566,3.36E-06,0.174568587,0.08452079,0.565724897,0.837532251,0.053007085,0.113124231,4.90E-40,3.69E-78,3.22E-07,1.67E-13,0.109407108,0.091186223,2.17E-02,0.701628893,9.41E-36,9.04E-33,2.27E-25,0.048505111,0.002505046,0.000215185,4.76E-07,9.82E-10,8.34E-12,5.10E-27,2.12E-52,4.61855E-08,4.53577E-08,0.006654249,2.34727E-05,2.13695E-05,2.74E-04,3.37E-26,5.09E-22,1.73E-07,7.23675E-09
Lost_Root_weight,2.39E-20,1.94E-09,0.00012297,2.31E-05,0.336873651,0.568059508,0.663692292,0.32596192,0.001048685,0.002804275,0.000420043,0.057236684,0.402493827,0.40249637,0.508277996,0.208129797,0.698442868,0.317104942,0.009645851,1.35E-01,9.76E-02,3.93E-01,3.60E-02,0.650866646,0.466673924,4.75E-13,2.26E-08,0.000196476,0.022072617,0.000118436,1.97E-65,3.08E-12,2.18E-34,7.66E-78,4.27E-59,1.6056E-32,1.94728E-29,0.949017752,1.31391E-58
Lost_Shoot_weight,1.60E-16,3.72E-38,1.96E-05,3.10E-14,0.106396884,0.471350435,0.573429337,0.205188704,1.34E-07,1.66E-06,0.905097457,0.855438479,0.563209413,0.307614692,0.883737037,0.688476294,0.516561467,0.919206296,0.147301919,8.17E-01,9.88E-01,0.735739793,7.24E-03,0.210036522,0.007627026,2.90E-10,1.43E-33,0.68615542,0.648793202,8.66E-24,8.57E-09,4.81307E-13,4.49E-70,1.38E-47,2.22E-102,2.21723E-20,4.67709E-15,0.328883061,2.65148E-28
Lost_Root_length,0.162214037,0.665556079,3.46E-09,0.503023727,0.123729346,0.159141549,0.364760963,0.849895494,0.099695337,0.510261889,0.002608998,0.000197233,1.57E-15,7.93E-07,0.720960409,0.596174825,0.594903205,0.75074345,0.017241772,0.000716602,0.002919293,2.08E-02,0.053825224,0.444879006,0.394579459,0.022273326,0.520423211,0.253599967,0.005908167,4.10E-06,0.000598447,7.52E-21,1.61E-23,8.37E-28,4.00937E-10,3.88E-14,7.24933E-10,0.004343036,5.53858E-10
Lost_Shoot_length,2.73E-05,1.66E-07,0.002178597,5.13E-18,0.355014814,0.193985429,0.748754693,0.371051721,8.36E-06,0.000733144,0.163083365,0.058125777,0.004042766,0.003583207,0.192373626,0.321662892,0.901790739,0.315797839,0.087444709,0.236435837,0.302049304,0.989895284,0.448492639,0.835426958,0.434889569,4.90E-03,0.022303575,0.996196484,0.163425625,6.16E-11,1.67E-18,6.20E-10,0.000775238,4.58926E-39,6.68907E-49,8.75755E-16,2.44271E-09,0.481624231,1.38609E-16
Lost_Root_thickness,8.09E-15,4.41E-09,0.0612496,1.05E-04,0.906957647,0.186134494,0.94883673,0.146782008,0.007051519,0.002463016,0.090513202,0.692321046,0.139717083,0.08369541,0.18472086,0.034579229,0.798322823,0.369525122,0.394961936,0.410732012,0.65953338,4.46E-03,2.41E-05,0.176921998,0.702560416,5.49E-33,3.36E-08,0.00211353,0.702706682,5.61E-35,1.96E-13,0.000750692,0.002033896,1.67E-14,1.36E-41,1.16182E-28,7.62457E-23,0.145755884,3.36587E-47
Lost_Shoot_thickness,1.18E-05,1.30E-13,0.010334476,0.064850251,0.423626239,0.658552404,0.724461815,0.467542571,0.000230778,0.000168895,0.003471761,0.001046842,0.588539085,0.211355511,0.255617062,0.097433667,0.06741631,0.690053904,1.01E-05,0.001046826,0.004593191,0.745284253,1.10E-01,0.985632897,0.323236616,4.90E-04,1.24E-24,0.001024589,7.30E-05,5.34E-18,2.29E-52,0.002421484,0.000190835,8.00E-11,8.39E-06,4.98E-13,9.94E-11,0.742363551,5.40139E-27
