accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B,"pca$x[, 1]"
IRIS_313-11019,113.333333299999,654.0,10.5,51.16666667,,,,,0.015320606,0.014708293,93.0,583.6666667,11.33333333,49.16666667,,,,,5.666666667,0.018953131,0.018477613,10.7936507904761,12.781758956822,8.20588235535467,11.8711864405511,20.3333332999999,70.3333332999999,-0.83333333,2.0,2.58776843512151,0.910572516270926,-0.003632525,-0.00376931999999999,2.5015990566028528
IRIS_313-11048,102.333333299999,979.333333299999,8.83333333299999,54.0,0.019964059,0.126802304,0.00356827099999999,0.002945002,0.019289169,0.01832746,99.0,444.666666699999,10.66666667,42.0,0.055531124,0.0115694289999999,0.180808488,0.028506086,6.333333333,0.014681145,0.0138605669999999,11.5849056570409,18.1358024685185,9.2812499970996,10.5873015880952,3.33333329999999,534.666666599999,-1.833333337,12.0,2.30365565994133,7.54850088042328,0.00460802399999999,0.004466893,0.8681513221616728
IRIS_313-11049,82.0,745.6666667,6.666666667,57.73333333,0.030408025,0.170444691999999,0.005841679,0.006379289,0.015986266,0.015252347,79.33333333,399.6666667,8.83333333299999,40.33333333,0.071343227,0.013515953,0.158484806,0.036861407,6.666666667,0.013221237,0.0112817,12.299999999385,12.9157043893138,8.98113207543325,9.90909091073628,2.66666666999999,346.0,-2.16666666599999,17.4,3.31886792395174,3.00661347857755,0.002765029,0.00397064699999999,-0.4292545526092999
IRIS_313-11050,89.0,868.333333299999,8.33333333299999,53.5,0.021052711,0.029542921,0.00408825099999999,0.196767001,0.018320888,0.017714727,88.33333333,394.0,9.416666667,43.25,0.048227127,0.00802882,0.146682976,0.0282188289999999,6.0,0.017123502,0.0224368129999999,10.6800000004272,16.2305295943925,9.38053097276529,9.10982658959537,0.666666669999997,474.333333299999,-1.083333334,10.25,1.29946902766191,7.12070300479714,0.001197386,-0.00472208599999999,1.3456861182843056
IRIS_313-11052,87.0,723.0,7.75,58.25,0.025534489,0.165799579,0.005389552,0.006741608,0.018071466,0.01803052,79.0,286.3333333,9.08333333299999,40.33333333,0.067994708,0.007994756,0.192071873999999,0.033670293,6.666666667,0.012915141,0.012648567,11.2258064516129,12.4120171673819,8.69724770674118,7.09917355347927,8.0,436.6666667,-1.33333333299999,17.9166666699999,2.52855874487172,5.3128436139027,0.005156325,0.005381953,-0.6113846731330832
IRIS_313-11053,98.33333333,693.0,7.666666667,42.91666667,0.047230519,0.068252199,0.009163022,0.003025517,0.017284169,0.017162593,38.0,141.0,6.5,21.83333333,0.086935779,0.013772761,0.133259184,0.0378082739999999,8.33333333299999,0.006738805,0.00700031,12.8260869555293,16.1475728142798,5.84615384615384,6.45801526816152,60.33333333,552.0,1.166666667,21.08333334,6.97993310937545,9.68955754611827,0.0105453639999999,0.010162283,-4.435157844868281
IRIS_313-11054,122.333333299999,710.333333299999,8.33333333299999,51.33333333,0.0504024229999999,0.054434535,0.00712469,0.003940604,0.016699244,0.015936453,66.66666667,248.3333333,7.5,36.75,0.054205234,0.015183671,0.118365996,0.0308780429999999,7.333333333,0.010370662,0.010581433,14.6799999965872,13.8376623379115,8.88888888933333,6.75736961360544,55.6666666299999,461.999999999999,0.833333332999998,14.58333333,5.79111110725386,7.08029272430609,0.00632858199999999,0.00535501999999999,-1.8759311974337536
IRIS_313-11056,110.0,1103.5,9.0,58.5,0.018179555,0.145670754,0.003611612,0.002422427,0.02020639,0.02019495,61.66666667,430.666666699999,10.33333333,44.83333333,0.0524256009999999,0.009956027,0.13662095,0.037333444,5.333333333,0.01699037,0.016442127,12.2222222222222,18.8632478632478,5.96774193773152,9.60594795684802,48.33333333,672.8333333,-1.33333333,13.6666666699999,6.25448028449069,9.25729990639984,0.00321602,0.00375282299999999,0.6907135937308431
IRIS_313-11057,115.0,779.5,7.75,53.5,0.036340442,0.092251951,0.006145171,0.00449647,0.014152894,0.01348148,76.0,409.3333333,7.0,37.66666667,0.055468894,0.015863578,0.088640129,0.0285319229999999,5.666666667,0.015415242,0.013593253,14.8387096774193,14.5700934579439,10.8571428571428,10.8672566353214,39.0,370.1666667,0.75,15.83333333,3.98156682027649,3.70283682262244,-0.001262348,-0.000111773,-0.5718703472472888
IRIS_313-11058,98.5,866.5,8.0,49.25,0.037139064,0.0667038279999999,0.009851439,0.001941657,0.017267862,0.01648421,41.33333333,221.3333333,7.166666667,33.66666667,0.0613833109999999,0.00809024,0.063643947,0.029328576,7.333333333,0.007932047,0.0080497,12.3125,17.5939086294416,5.76744185973174,6.57425742410155,57.16666667,645.1666667,0.833333332999999,15.58333333,6.54505814026825,11.01965120534,0.00933581499999999,0.00843451,-3.1089233246885217
IRIS_313-11059,108.6666667,696.0,9.83333333299999,50.5,0.0509182429999999,0.099219621,0.011452691,0.005221107,0.0159806519999999,0.015615947,110.0,530.3333333,12.75,44.5,0.054906517,0.011703621,0.163946816,0.025399132,5.333333333,0.018698095,0.0167559,11.0508474613915,13.7821782178217,8.62745098039215,11.9176029955056,-1.33333329999999,165.666666699999,-2.916666667,6.0,2.4233964809994,1.86457522231616,-0.002717443,-0.001139953,2.4791766249274705
