uid,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Serial no.,Iserial,accession_name
39_1,232.0,539.0,156.0,645.0,Control,70.0,919.0,5.5,56.0,,,,,,0.012992400000000001,0.012715899999999999,39,1.0,IRGC 26629
39_2,241.0,604.0,164.0,648.0,Control,41.0,518.0,6.5,45.5,0.017433713,0.0034188029999999998,0.004189676,0.003177258,,0.014638103999999999,0.01370368,39,2.0,IRGC 26629
39_3,250.0,571.0,165.0,653.0,Control,75.0,732.0,6.5,53.0,0.02615057,0.154960981,0.00530384,0.001783724,,0.015802608,0.01551562,39,3.0,IRGC 26629
39_4,231.0,571.0,163.0,649.0,Control,,,,,,,,,,,,39,,IRGC 26629
39_5,227.0,570.0,172.0,647.0,Control,,,,,,,,,,,,39,,IRGC 26629
40_1,281.0,594.0,195.0,896.0,Control,157.0,1431.0,8.0,56.0,0.013779178999999999,0.18747677399999998,0.0026163510000000003,0.123931624,,0.02019436,0.01911526,40,1.0,IRGC 26638
40_2,295.0,655.0,195.0,900.0,Control,68.0,1150.0,6.5,59.0,0.028966147,0.23857302100000002,0.005825067,0.008909327,,0.01506958,0.01430968,40,2.0,IRGC 26638
40_3,295.0,623.0,170.0,892.0,Control,105.0,950.0,6.5,56.5,0.028966147,0.0029542920000000003,0.004734386,0.089093274,,0.017903848,0.02050502,40,3.0,IRGC 26638
40_4,282.0,598.0,180.0,895.0,Control,,,,,,,,,,,,40,,IRGC 26638
40_5,255.0,617.0,172.0,893.0,Control,,,,,,,,,,,,40,,IRGC 26638
41_1,233.0,562.0,166.0,657.0,Control,63.0,446.0,5.0,44.5,0.016511782,0.075994054,0.004612157,0.0015514679999999999,,0.019646594,0.01902032,41,1.0,IRGC 26744
41_2,242.0,609.0,166.0,659.0,Control,60.0,598.0,6.5,51.5,0.019839031,0.19676700100000002,0.0053880280000000004,0.007515793000000001,,0.02051115,0.0205232,41,2.0,IRGC 26744
41_3,235.0,588.0,180.0,670.0,Control,125.0,956.0,6.5,59.0,0.017585256,0.000780379,0.004799252,0.010302861,,0.017537333999999998,0.01667914,41,3.0,IRGC 26744
41_4,228.0,574.0,178.0,667.0,Control,,,,,,,,,,,,41,,IRGC 26744
41_5,244.0,583.0,168.0,668.0,Control,,,,,,,,,,,,41,,IRGC 26744
42_1,237.0,550.0,171.0,630.0,Control,46.0,453.0,6.5,47.5,0.023384777000000002,0.117800074,0.006436921,0.007515793000000001,,0.012045238,0.011594799999999999,42,1.0,IRGC 26772
42_2,245.0,532.0,171.0,635.0,Control,173.0,985.0,9.0,56.0,0.023384777000000002,0.075994054,0.004206349,0.048123374000000003,,0.01804901,0.02103224,42,2.0,IRGC 26772
42_3,230.0,572.0,179.0,628.0,Control,134.0,994.0,9.0,58.5,0.020417082,0.0029542920000000003,0.004351868,0.009606094,,0.020624232,0.02044442,42,3.0,IRGC 26772
42_4,240.0,513.0,186.0,632.0,Control,,,,,,,,,,,,42,,IRGC 26772
42_5,219.0,542.0,160.0,627.0,Control,,,,,,,,,,,,42,,IRGC 26772
43_1,238.0,566.0,173.0,680.0,Control,85.0,639.0,7.0,59.0,,,,,,0.014864268,0.01380064,43,1.0,IRGC 26802
43_2,250.0,583.0,175.0,681.0,Control,91.0,745.0,5.0,46.5,0.023761616,0.215347454,0.007874414,0.007748049,,0.015752082,0.01487124,43,2.0,IRGC 26802
43_3,253.0,609.0,168.0,683.0,Control,64.0,484.0,8.0,36.0,0.017538583,0.206057228,0.0042704729999999995,0.006586771,,0.016004712,0.0151399,43,3.0,IRGC 26802
43_4,247.0,590.0,179.0,688.0,Control,,,,,,,,,,,,43,,IRGC 26802
43_5,252.0,587.0,195.0,690.0,Control,,,,,,,,,,,,43,,IRGC 26802
44_1,245.0,600.0,193.0,683.0,Control,56.0,656.0,6.0,50.5,,,,,,0.018551062,0.01741038,44,1.0,IRGC 27516
44_2,251.0,567.0,184.0,681.0,Control,,,,,,,,,,0.017903046000000002,0.01724474,44,2.0,IRGC 27516
44_3,222.0,547.0,177.0,677.0,Control,47.0,518.0,4.5,44.0,,,,,,,,44,3.0,IRGC 27516
44_4,259.0,574.0,184.0,673.0,Control,,,,,,,,,,,,44,,IRGC 27516
44_5,246.0,544.0,175.0,678.0,Control,,,,,,,,,,,,44,,IRGC 27516
45_1,256.0,536.0,161.0,688.0,Control,50.0,1120.0,6.7,57.5,0.026402257000000002,0.127090301,0.005795719,0.006354515,,0.017839688,0.01696194,45,1.0,IRGC 27522
45_2,269.0,572.0,180.0,679.0,Control,84.0,915.0,7.0,51.5,0.018858755,0.18747677399999998,0.004684743,0.007748049,,0.015578048,0.014695500000000002,45,2.0,IRGC 27522
45_3,259.0,517.0,172.0,682.0,Control,74.0,835.0,7.0,48.5,0.012392727,0.004812337,0.003327899,0.003525641,,0.016042406000000002,0.01506516,45,3.0,IRGC 27522
45_4,256.0,536.0,192.0,686.0,Control,,,,,,,,,,,,45,,IRGC 27522
45_5,234.0,571.0,151.0,679.0,Control,,,,,,,,,,,,45,,IRGC 27522
46_1,286.0,521.0,180.0,771.0,Control,84.0,1009.0,8.5,64.5,0.014860604,0.145670754,0.0031328209999999996,0.012393162,,0.016818742,0.01607314,46,1.0,IRGC 27526
46_2,284.0,492.0,185.0,767.0,Control,76.0,985.0,7.5,66.0,0.014030866000000001,0.127090301,0.003700631,0.057413600999999995,,0.021572998,0.021432200000000002,46,2.0,IRGC 27526
46_3,289.0,507.0,191.0,786.0,Control,114.0,821.0,7.5,58.0,,,,,,0.013836906000000001,0.01334412,46,3.0,IRGC 27526
46_4,303.0,510.0,195.0,781.0,Control,,,,,,,,,,,,46,,IRGC 27526
46_5,293.0,562.0,181.0,788.0,Control,,,,,,,,,,,,46,,IRGC 27526
47_1,307.0,588.0,191.0,883.0,Control,100.0,887.0,8.5,46.0,,,,,,0.017701744,0.01717606,47,1.0,IRGC 27536
47_2,287.0,571.0,169.0,886.0,Control,27.0,403.0,5.5,42.0,0.019277575,0.136380528,0.005280244,0.080639168,,0.013940363999999998,0.01335624,47,2.0,IRGC 27536
47_3,315.0,597.0,200.0,885.0,Control,47.0,335.0,5.0,39.0,,,,,,0.017172424,0.01678216,47,3.0,IRGC 27536
47_4,289.0,573.0,200.0,887.0,Control,,,,,,,,,,,,47,,IRGC 27536
47_5,304.0,581.0,198.0,873.0,Control,,,,,,,,,,,,47,,IRGC 27536
48_1,257.0,644.0,170.0,726.0,Control,72.0,575.0,6.5,49.5,0.057832725,0.117800074,0.009069824,0.004960981,,0.013755102,0.0131704,48,1.0,IRGC 27540
48_2,260.0,558.0,182.0,722.0,Control,118.0,1240.0,10.0,55.0,0.021498506,0.18747677399999998,0.00508178,0.006586771,,,,48,2.0,IRGC 27540
48_3,275.0,568.0,196.0,722.0,Control,35.0,283.0,6.0,39.0,0.041300198999999996,0.071348941,0.0049918490000000005,0.002364363,,0.019220732,0.01844058,48,3.0,IRGC 27540
48_4,275.0,603.0,189.0,732.0,Control,,,,,,,,,,,,48,,IRGC 27540
48_5,278.0,592.0,181.0,750.0,Control,,,,,,,,,,,,48,,IRGC 27540
49_1,255.0,581.0,180.0,694.0,Control,56.0,647.0,8.0,54.0,0.02480916,0.19676700100000002,0.006068149,0.006819026,,0.016590973999999998,0.01602062,49,1.0,IRGC 27547
49_2,256.0,579.0,173.0,711.0,Control,148.0,998.0,9.5,56.5,0.016501411,0.127090301,0.004035637,0.007283538000000001,,0.021618712,0.02143018,49,2.0,IRGC 27547
49_3,262.0,581.0,180.0,688.0,Control,40.0,396.0,6.5,44.0,0.16520079699999998,0.029542921,0.016544971999999998,0.001012635,,0.014986973999999998,0.01463086,49,3.0,IRGC 27547
49_4,258.0,609.0,186.0,689.0,Control,,,,,,,,,,,,49,,IRGC 27547
49_5,261.0,517.0,176.0,682.0,Control,,,,,,,,,,,,49,,IRGC 27547
50_1,251.0,548.0,164.0,667.0,Control,97.0,800.0,9.0,45.0,0.018355643999999997,0.18747677399999998,0.005742124,0.005193237,,,,50,1.0,IRGC 27555
50_2,248.0,800.0,169.0,656.0,Control,,,,,0.026873132999999997,0.206057228,0.010872006000000002,0.084448161,,0.014995796,0.01431372,50,2.0,IRGC 27555
50_3,248.0,601.0,174.0,678.0,Control,63.0,754.0,7.5,53.5,0.033082832,0.145670754,0.007122238,0.005890004,,0.014733541999999999,0.01402284,50,3.0,IRGC 27555
50_4,229.0,587.0,170.0,670.0,Control,,,,,,,,,,,,50,,IRGC 27555
50_5,241.0,564.0,162.0,664.0,Control,,,,,,,,,,,,50,,IRGC 27555
51_1,300.0,578.0,200.0,945.0,Control,136.0,932.0,9.5,56.5,0.009136335,0.062058714,0.0030638840000000002,0.164251208,,0.014718304,0.01374812,51,1.0,IRGC 27567
51_2,299.0,568.0,200.0,941.0,Control,81.0,1032.0,9.5,61.5,0.026653022000000002,0.19212188800000002,0.0040242279999999995,0.105351171,,0.01525805,0.01458642,51,2.0,IRGC 27567
51_3,312.0,588.0,186.0,938.0,Control,120.0,1220.0,8.0,61.0,,,,,,0.013653248,0.01278862,51,3.0,IRGC 27567
51_4,282.0,555.0,177.0,936.0,Control,,,,,,,,,,,,51,,IRGC 27567
51_5,305.0,575.0,196.0,934.0,Control,,,,,,,,,,,,51,,IRGC 27567
52_1,294.0,486.0,168.0,742.0,Control,75.0,930.0,7.0,56.0,,,,,,0.015647822,0.01499042,52,1.0,IRGC 27568
52_2,257.0,484.0,174.0,724.0,Control,15.0,125.0,2.5,31.0,,,,,,0.008222104000000001,0.00795678,52,2.0,IRGC 27568
52_3,288.0,458.0,185.0,740.0,Control,119.0,891.0,7.5,42.0,0.022561325,0.004347826,0.0035731129999999997,0.0033166109999999997,,0.024682352,0.02939302,52,3.0,IRGC 27568
52_4,293.0,569.0,165.0,737.0,Control,,,,,,,,,,,,52,,IRGC 27568
52_5,302.0,519.0,186.0,730.0,Control,,,,,,,,,,,,52,,IRGC 27568
53_1,249.0,541.0,172.0,732.0,Control,170.0,635.0,10.5,53.0,,,,,,0.010506200000000002,0.00979498,53,1.0,IRGC 27577
53_2,255.0,579.0,165.0,732.0,Control,140.0,1107.0,14.5,58.5,,,,,,0.019920878,0.0192102,53,2.0,IRGC 27577
53_3,255.0,554.0,175.0,733.0,Control,30.0,220.0,6.5,42.0,,,,,,0.01553474,0.0151197,53,3.0,IRGC 27577
53_4,270.0,579.0,182.0,733.0,Control,,,,,,,,,,,,53,,IRGC 27577
53_5,268.0,575.0,183.0,731.0,Control,,,,,,,,,,,,53,,IRGC 27577
54_1,234.0,585.0,187.0,800.0,Control,93.0,589.0,5.5,46.0,,,,,,0.016983151999999998,0.01649734,54,1.0,IRGC 27594
54_2,251.0,586.0,168.0,790.0,Control,58.0,447.0,10.5,39.0,0.08549065199999999,0.075994054,0.010350979,0.0005063169999999999,,0.018210212,0.02140594,54,2.0,IRGC 27594
54_3,242.0,592.0,191.0,805.0,Control,69.0,984.0,5.0,52.5,0.039225855,0.099219621,0.008065477,0.004728725,,0.020650698000000002,0.02023838,54,3.0,IRGC 27594
54_4,243.0,591.0,191.0,800.0,Control,,,,,,,,,,,,54,,IRGC 27594
54_5,272.0,572.0,186.0,799.0,Control,,,,,,,,,,,,54,,IRGC 27594
55_1,238.0,524.0,171.0,616.0,Control,,,,,0.07845170900000001,0.131735414,0.007442748000000001,0.003567447,,,,55,1.0,IRGC 28947
55_2,252.0,527.0,159.0,615.0,Control,,,,,,,,,,,,55,,IRGC 28947
55_3,255.0,539.0,162.0,610.0,Control,,,,,,,,,,,,55,,IRGC 28947
55_4,254.0,515.0,158.0,623.0,Control,,,,,,,,,,,,55,,IRGC 28947
55_5,248.0,540.0,172.0,625.0,Control,,,,,,,,,,,,55,,IRGC 28947
56_1,281.0,630.0,189.0,793.0,Control,121.0,1092.0,10.5,54.0,0.019728612,0.00574136,0.003293078,0.003177258,,0.019353864,0.01822848,56,1.0,IRGC 29004
56_2,264.0,601.0,183.0,796.0,Control,109.0,996.0,9.0,58.0,0.020199506000000002,0.247863248,0.0038434640000000004,0.002712746,,0.017209316000000002,0.01644886,56,2.0,IRGC 29004
56_3,269.0,596.0,143.0,790.0,Control,77.0,850.0,7.0,50.0,,,,,,0.021304327999999997,0.02030504,56,3.0,IRGC 29004
56_4,286.0,630.0,183.0,791.0,Control,,,,,,,,,,,,56,,IRGC 29004
56_5,286.0,643.0,180.0,793.0,Control,,,,,,,,,,,,56,,IRGC 29004
57_1,247.0,717.0,160.0,763.0,Control,53.0,611.0,9.5,41.0,0.015589851000000002,0.001560758,0.006960369,0.000622445,,0.015914888000000002,0.0148268,57,1.0,IRGC 29009
57_2,234.0,670.0,178.0,774.0,Control,108.0,713.0,8.0,53.0,0.019764353999999998,0.062058714,0.00762267,0.003567447,,0.01899136,0.01833352,57,2.0,IRGC 29009
57_3,244.0,670.0,175.0,760.0,Control,50.0,471.0,9.0,57.0,0.035706383,0.075994054,0.006304031999999999,0.004960981,,0.018427554,0.01766894,57,3.0,IRGC 29009
57_4,231.0,666.0,170.0,782.0,Control,,,,,,,,,,,,57,,IRGC 29009
57_5,238.0,651.0,167.0,760.0,Control,,,,,,,,,,,,57,,IRGC 29009
58_1,260.0,607.0,181.0,730.0,Control,110.0,885.0,7.0,57.2,0.017433713,0.131735414,0.004942513,0.010535117,,0.016650322,0.01575802,58,1.0,IRGC 29031
58_2,263.0,600.0,194.0,725.0,Control,37.0,360.0,5.5,47.5,0.045448888,0.164251208,0.005755855,0.0015514679999999999,,0.013953998,0.013392600000000001,58,2.0,IRGC 29031
58_3,256.0,588.0,168.0,746.0,Control,99.0,992.0,7.5,68.5,0.028341473,0.215347454,0.006826668,0.007051282,,0.017354478,0.01660642,58,3.0,IRGC 29031
58_4,282.0,588.0,186.0,731.0,Control,,,,,,,,,,,,58,,IRGC 29031
58_5,251.0,583.0,200.0,753.0,Control,,,,,,,,,,,,58,,IRGC 29031
59_1,251.0,593.0,172.0,731.0,Control,57.0,799.0,8.0,56.0,,,,,,0.014777651999999999,0.01425312,59,1.0,IRGC 29036
59_2,252.0,595.0,152.0,732.0,Control,133.0,1002.0,9.0,50.5,0.021052711,0.029542921,0.004088250999999999,0.19676700100000002,,0.021106233999999998,0.02056158,59,2.0,IRGC 29036
59_3,249.0,611.0,183.0,737.0,Control,77.0,804.0,8.0,54.0,,,,,,0.019078778,0.01832948,59,3.0,IRGC 29036
59_4,242.0,582.0,195.0,730.0,Control,,,,,,,,,,,,59,,IRGC 29036
59_5,260.0,621.0,183.0,716.0,Control,,,,,,,,,,,,59,,IRGC 29036
60_1,277.0,557.0,182.0,635.0,Control,,,,,0.019612927,0.182831661,0.003420523,0.006819026,,,,60,1.0,IRGC 29068
60_2,270.0,508.0,190.0,625.0,Control,,,,,0.02398772,0.224637681,0.0059591769999999995,0.008444815999999999,,,,60,2.0,IRGC 29068
60_3,275.0,493.0,171.0,648.0,Control,87.0,723.0,7.75,58.25,0.033002821,0.08992939400000001,0.006788956999999999,0.004960981,,0.018071466,0.01803052,60,3.0,IRGC 29068
60_4,241.0,511.0,184.0,642.0,Control,,,,,,,,,,,,60,,IRGC 29068
60_5,254.0,513.0,173.0,639.0,Control,,,,,,,,,,,,60,,IRGC 29068
61_1,292.0,578.0,190.0,662.0,Control,57.0,419.0,6.5,40.5,0.061856953,0.057413600999999995,0.011657816000000001,0.001941657,,0.013653248,0.01304314,61,1.0,IRGC 29072
61_2,291.0,544.0,182.0,675.0,Control,146.0,834.0,8.5,47.25,0.046769554000000005,0.052768487999999995,0.007771877,0.0031029359999999997,,0.020060426,0.02076964,61,2.0,IRGC 29072
61_3,264.0,571.0,189.0,680.0,Control,92.0,826.0,8.0,41.0,0.033065051,0.094574508,0.008059374000000001,0.0040319579999999995,,0.018138834,0.017675,61,3.0,IRGC 29072
61_4,275.0,544.0,180.0,682.0,Control,,,,,,,,,,,,61,,IRGC 29072
61_5,234.0,489.0,154.0,690.0,Control,,,,,,,,,,,,61,,IRGC 29072
62_1,270.0,608.0,183.0,750.0,Control,200.0,795.0,9.5,47.5,0.062043644,0.108509848,0.005513805,0.000970829,,0.019273664,0.01830524,62,1.0,IRGC 29083
62_2,253.0,565.0,171.0,735.0,Control,73.0,599.0,7.5,47.0,0.023157982,0.002025269,0.004375089,0.007515793000000001,,0.013813648000000001,0.01328756,62,2.0,IRGC 29083
62_3,255.0,563.0,180.0,737.0,Control,94.0,737.0,8.0,59.5,0.066005642,0.052768487999999995,0.011485177,0.003335191,,0.01701042,0.01621656,62,3.0,IRGC 29083
62_4,264.0,559.0,163.0,741.0,Control,,,,,,,,,,,,62,,IRGC 29083
62_5,265.0,547.0,177.0,739.0,Control,,,,,,,,,,,,62,,IRGC 29083
63_1,259.0,611.0,182.0,760.0,Control,120.0,1237.0,7.5,59.0,0.025647195,0.20141211399999998,0.004045915,0.002364363,,0.017789162,0.01728918,63,1.0,IRGC 29089
63_2,247.0,600.0,168.0,765.0,Control,100.0,970.0,10.5,58.0,0.010711915,0.08992939400000001,0.003177309,0.002480491,,,,63,2.0,IRGC 29089
63_3,265.0,606.0,180.0,772.0,Control,,,,,,,,,,0.022623617999999998,0.02310072,63,3.0,IRGC 29089
63_4,251.0,584.0,178.0,776.0,Control,,,,,,,,,,,,63,,IRGC 29089
63_5,254.0,599.0,191.0,765.0,Control,,,,,,,,,,,,63,,IRGC 29089
64_1,240.0,503.0,171.0,730.0,Control,128.0,836.0,9.0,55.0,0.049597577000000004,0.103864734,0.007404318000000001,0.0042642140000000005,,0.01268764,0.01211192,64,1.0,IRGC 29096
64_2,253.0,536.0,184.0,715.0,Control,102.0,723.0,6.5,52.0,0.023083306,0.080639168,0.004886024,0.004728725,,0.015618148,0.01485104,64,2.0,IRGC 29096
64_3,248.0,571.0,179.0,714.0,Control,,,,,,,,,,,,64,,IRGC 29096
64_4,262.0,534.0,183.0,724.0,Control,,,,,,,,,,,,64,,IRGC 29096
64_5,269.0,568.0,180.0,723.0,Control,,,,,,,,,,,,64,,IRGC 29096
65_1,266.0,601.0,179.0,825.0,Control,103.0,888.0,9.5,55.5,0.041237969,0.071348941,0.009783363,0.0026384240000000003,,0.01851417,0.01771338,65,1.0,IRGC 29116
65_2,274.0,587.0,206.0,837.0,Control,,,,,,,,,,0.016021554,0.01525504,65,2.0,IRGC 29116
65_3,290.0,569.0,189.0,839.0,Control,94.0,845.0,6.5,43.0,0.033040159,0.062058714,0.009919515,0.00124489,,,,65,3.0,IRGC 29116
65_4,244.0,526.0,198.0,842.0,Control,,,,,,,,,,,,65,,IRGC 29116
65_5,289.0,613.0,192.0,847.0,Control,,,,,,,,,,,,65,,IRGC 29116
66_1,245.0,611.0,177.0,780.0,Control,119.0,615.0,11.0,47.0,0.031682155,0.094574508,0.009461381999999999,0.003335191,,0.0131929,0.01289568,66,1.0,IRGC 29131
66_2,266.0,603.0,178.0,793.0,Control,82.0,622.0,10.0,50.0,0.066005642,0.06670382799999999,0.016062748,0.007134894,,0.019081986000000002,0.01881832,66,2.0,IRGC 29131
66_3,249.0,627.0,197.0,800.0,Control,125.0,851.0,8.5,54.5,0.055066932,0.136380528,0.008833942,0.005193237,,0.01566707,0.01513384,66,3.0,IRGC 29131
66_4,253.0,599.0,184.0,802.0,Control,,,,,,,,,,,,66,,IRGC 29131
66_5,251.0,576.0,189.0,794.0,Control,,,,,,,,,,,,66,,IRGC 29131
67_1,258.0,599.0,158.0,630.0,Control,23.0,133.0,4.0,20.0,0.018575755,0.145670754,0.004002816,0.005657748000000001,,,,67,1.0,IRGC 29146
67_2,250.0,587.0,197.0,626.0,Control,,,,,0.019612927,0.19676700100000002,0.005516943000000001,0.006354515,,0.00698542,0.00664984,67,2.0,IRGC 29146
67_3,244.0,558.0,184.0,638.0,Control,,,,,,,,,,,,67,,IRGC 29146
67_4,258.0,585.0,147.0,618.0,Control,,,,,,,,,,,,67,,IRGC 29146
67_5,243.0,554.0,171.0,629.0,Control,,,,,,,,,,,,67,,IRGC 29146
68_1,217.0,589.0,161.0,567.0,Control,96.0,1156.0,6.5,29.0,0.03715151,0.057413600999999995,0.007090702,0.003335191,,0.015954988,0.0153924,68,1.0,IRGC 29221
68_2,224.0,527.0,162.0,553.0,Control,24.0,268.0,4.0,35.5,0.034699635,0.08992939400000001,0.008557744,0.003567447,,0.009160444,0.00881124,68,2.0,IRGC 29221
68_3,218.0,565.0,167.0,546.0,Control,21.0,170.0,5.0,28.5,0.029418815,0.164251208,0.0026452040000000004,0.127090301,,0.009261496,0.00870418,68,3.0,IRGC 29221
68_4,227.0,559.0,151.0,564.0,Control,,,,,,,,,,,,68,,IRGC 29221
68_5,224.0,543.0,170.0,544.0,Control,,,,,,,,,,,,68,,IRGC 29221
69_1,260.0,586.0,187.0,733.0,Control,80.0,703.0,9.5,43.5,0.021498506,0.00203,0.003513314,0.08528428099999999,,,,69,1.0,IRGC 29230
69_2,272.0,560.0,191.0,698.0,Control,45.0,253.0,5.5,35.5,0.027533466,0.19212188800000002,0.0036914509999999997,0.005657748000000001,,0.015104066000000001,0.01442482,69,2.0,IRGC 29230
69_3,236.0,579.0,175.0,719.0,Control,,,,,0.033065051,0.182831661,0.006432773,0.00449647,,0.015830678,0.01537018,69,3.0,IRGC 29230
69_4,269.0,550.0,132.0,721.0,Control,,,,,,,,,,,,69,,IRGC 29230
69_5,259.0,479.0,170.0,725.0,Control,,,,,,,,,,,,69,,IRGC 29230
70_1,238.0,374.0,179.0,362.0,Control,,,,,0.14860604,0.029542921,0.014709406999999999,0.00287068,,,,70,1.0,IRGC 29260
70_2,242.0,346.0,175.0,370.0,Control,59.0,387.0,8.5,50.5,0.041237969,0.029542921,0.015948746,0.001941657,,0.020256114,0.0198566,70,2.0,IRGC 29260
70_3,232.0,372.0,187.0,364.0,Control,35.0,654.0,7.0,62.0,0.140308662,0.029542921,0.009052044,0.0014771460000000001,,0.016874882,0.0177053,70,3.0,IRGC 29260
70_4,238.0,357.0,154.0,368.0,Control,,,,,,,,,,,,70,,IRGC 29260
70_5,225.0,351.0,163.0,367.0,Control,,,,,,,,,,,,70,,IRGC 29260
71_1,253.0,534.0,185.0,644.0,Control,16.0,132.0,3.0,31.5,0.023761616,0.094574508,0.003680809,0.141025641,,0.005741518,0.00524998,71,1.0,IRGC 29283
71_2,239.0,503.0,185.0,645.0,Control,91.0,1211.0,7.0,62.0,0.03715151,0.080639168,0.00798826,0.23392790800000002,,0.018290412,0.01725686,71,2.0,IRGC 29283
71_3,237.0,558.0,176.0,641.0,Control,174.0,880.0,4.5,58.0,,,,,,0.015222761999999999,0.0142107,71,3.0,IRGC 29283
71_4,237.0,536.0,199.0,644.0,Control,,,,,,,,,,,,71,,IRGC 29283
71_5,260.0,533.0,191.0,644.0,Control,,,,,,,,,,,,71,,IRGC 29283
72_1,255.0,536.0,168.0,654.0,Control,38.0,572.0,7.0,49.5,,,,,,0.018606400000000002,0.01820222,72,1.0,IRGC 29294
72_2,263.0,519.0,170.0,650.0,Control,,,,,,,,,,,,72,,IRGC 29294
72_3,258.0,576.0,173.0,655.0,Control,,,,,,,,,,,,72,,IRGC 29294
72_4,254.0,530.0,169.0,651.0,Control,,,,,,,,,,,,72,,IRGC 29294
72_5,251.0,549.0,168.0,649.0,Control,,,,,,,,,,,,72,,IRGC 29294
73_1,252.0,487.0,171.0,678.0,Control,,,,,0.025970793,0.16889632100000002,0.009138802,0.206057228,,0.014432792,0.01352794,73,1.0,IRGC 29297
73_2,259.0,495.0,179.0,677.0,Control,86.0,543.0,8.0,53.0,0.021229434,0.071348941,0.023866276000000002,0.024061687000000002,,0.00652828,0.0062518999999999995,73,2.0,IRGC 29297
73_3,258.0,517.0,182.0,678.0,Control,24.0,142.0,2.5,35.5,0.034699635,0.117800074,0.023401993,0.043403939,,,,73,3.0,IRGC 29297
73_4,249.0,473.0,176.0,682.0,Control,,,,,,,,,,,,73,,IRGC 29297
73_5,264.0,531.0,191.0,680.0,Control,,,,,,,,,,,,73,,IRGC 29297
74_1,307.0,485.0,204.0,721.0,Control,71.0,692.0,10.0,45.5,0.014263946999999999,0.103864734,0.012242546000000002,0.03567447,,0.016858842,0.01668318,74,1.0,IRGC 29333
74_2,291.0,508.0,196.0,723.0,Control,74.0,540.0,8.0,46.5,0.024785454,0.099219621,0.002844445,0.008677072,,0.011689952,0.011301899999999998,74,2.0,IRGC 29333
74_3,286.0,786.0,205.0,719.0,Control,95.0,610.0,6.0,46.0,0.028061732000000002,0.08992939400000001,0.005893951,0.006819026,,0.017755478,0.01695184,74,3.0,IRGC 29333
74_4,304.0,485.0,188.0,722.0,Control,,,,,,,,,,,,74,,IRGC 29333
74_5,291.0,496.0,207.0,721.0,Control,,,,,,,,,,,,74,,IRGC 29333
75_1,263.0,591.0,205.0,827.0,Control,85.0,917.0,8.5,64.0,0.041300198999999996,0.145670754,0.004726119,0.005657748000000001,,0.021528888,0.02154936,75,1.0,IRGC 29367
75_2,273.0,560.0,273.0,829.0,Control,50.0,184.0,2.5,49.0,0.02615057,0.094574508,0.00686917,0.00287068,,0.007853986,0.012423,75,2.0,IRGC 29367
75_3,272.0,577.0,195.0,826.0,Control,,,,,,,,,,,,75,,IRGC 29367
75_4,265.0,546.0,193.0,830.0,Control,,,,,,,,,,,,75,,IRGC 29367
75_5,274.0,605.0,196.0,830.0,Control,,,,,,,,,,,,75,,IRGC 29367
76_1,251.0,510.0,183.0,680.0,Control,49.0,654.0,6.0,57.0,0.030928477000000003,0.08992939400000001,0.005030285,0.072835377,,0.011515918,0.01003536,76,1.0,IRGC 29377
76_2,259.0,526.0,184.0,679.0,Control,109.0,712.0,8.5,60.0,0.035830844,0.131735414,0.008886289,0.005425492,,0.014971736000000001,0.01450562,76,2.0,IRGC 29377
76_3,255.0,518.0,189.0,680.0,Control,35.0,165.0,5.5,40.5,0.024742781000000002,0.136380528,0.003663885,0.00821256,,0.009830114000000001,0.00931018,76,3.0,IRGC 29377
76_4,269.0,540.0,191.0,682.0,Control,,,,,,,,,,,,76,,IRGC 29377
76_5,256.0,547.0,190.0,681.0,Control,,,,,,,,,,,,76,,IRGC 29377
77_1,268.0,473.0,193.0,630.0,Control,79.0,904.0,9.5,53.2,0.034699635,0.08528428099999999,0.011357925,0.004728725,,0.01458437,0.01385316,77,1.0,IRGC 29416
77_2,279.0,478.0,196.0,633.0,Control,45.0,496.0,8.5,49.5,0.046769554000000005,0.08528428099999999,0.004346982,0.007051282,,0.021772696,0.02328252,77,2.0,IRGC 29416
77_3,269.0,483.0,201.0,629.0,Control,123.0,1290.0,7.5,61.0,,,,,,0.024185112,0.03064744,77,3.0,IRGC 29416
77_4,269.0,465.0,183.0,629.0,Control,,,,,,,,,,,,77,,IRGC 29416
77_5,276.0,445.0,182.0,630.0,Control,,,,,,,,,,,,77,,IRGC 29416
78_1,271.0,536.0,205.0,669.0,Control,57.0,691.0,6.5,40.0,,,,,,,,78,1.0,IRGC 29432
78_2,279.0,474.0,209.0,667.0,Control,,,,,,,,,,0.024185914,0.02734878,78,2.0,IRGC 29432
78_3,274.0,473.0,205.0,666.0,Control,30.0,305.0,6.0,36.0,0.033065051,0.071348941,0.003091913,0.002364363,,0.018972112,0.0183012,78,3.0,IRGC 29432
78_4,259.0,493.0,181.0,666.0,Control,,,,,,,,,,,,78,,IRGC 29432
78_5,258.0,495.0,176.0,668.0,Control,,,,,,,,,,,,78,,IRGC 29432
79_1,318.0,579.0,205.0,958.0,Control,147.0,1455.0,8.5,55.5,0.022965298999999998,0.16889632100000002,0.005461334,0.007283538000000001,,0.013227386,0.01244118,79,1.0,IRGC 31611
