uid,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Serial no.,Iserial,accession_name
9_3,265.0,576.0,177.0,779.0,Control,140.0,1635.0,6.5,59.0,0.033040159,0.108509848,0.003932413,0.007283538000000001,,0.023626117999999998,0.02513284,9,3.0,IRGC 8497
9_4,269.0,563.0,190.0,779.0,Control,,,,,,,,,,,,9,,IRGC 8497
9_5,255.0,555.0,169.0,776.0,Control,,,,,,,,,,,,9,,IRGC 8497
10_1,270.0,633.0,197.0,853.0,Control,124.0,1752.0,5.0,42.0,0.035170511,0.0005481230000000001,0.005330604,0.005193237,,0.02175826,0.02190892,10,1.0,IRGC 8593
10_2,262.0,623.0,189.0,845.0,Control,118.0,1105.0,9.0,53.0,0.019544097,0.18747677399999998,0.0036433790000000004,0.0028288740000000003,,0.027932056,0.04816286,10,2.0,IRGC 8593
10_3,270.0,608.0,177.0,846.0,Control,66.0,722.0,6.0,45.0,0.041237969,0.154960981,0.004499508,0.007051282,,0.016917388000000002,0.01622262,10,3.0,IRGC 8593
10_4,247.0,631.0,200.0,846.0,Control,,,,,,,,,,,,10,,IRGC 8593
10_5,263.0,586.0,180.0,847.0,Control,,,,,,,,,,,,10,,IRGC 8593
11_1,271.0,587.0,165.0,792.0,Control,56.0,367.0,7.5,42.0,0.021807017999999997,0.0034188029999999998,0.003724486,0.0028288740000000003,,0.016911773999999997,0.01654582,11,1.0,IRGC 8667
11_2,284.0,591.0,200.0,785.0,Control,,,,,0.014860604,0.127090301,0.003274273,0.003525641,,0.019373914,0.0226139,11,2.0,IRGC 8667
11_3,264.0,561.0,165.0,786.0,Control,106.0,663.0,8.5,48.0,0.031052937000000003,0.003883315,0.003985815,0.0025966179999999998,,0.01792069,0.0172912,11,3.0,IRGC 8667
11_4,306.0,547.0,171.0,786.0,Control,,,,,,,,,,,,11,,IRGC 8667
11_5,269.0,616.0,192.0,792.0,Control,,,,,,,,,,,,11,,IRGC 8667
12_1,228.0,612.0,184.0,634.0,Control,117.0,851.0,8.0,51.0,0.024785454,0.154960981,0.0036496259999999996,0.006819026,,0.012722928,0.01215434,12,1.0,IRGC 8742
12_2,224.0,649.0,180.0,640.0,Control,145.0,1289.0,8.5,54.0,0.022001881,0.08528428099999999,0.005852513,0.000970829,,0.018961686000000002,0.01866682,12,2.0,IRGC 8742
12_3,209.0,635.0,169.0,636.0,Control,48.0,427.0,5.5,39.5,0.022414774,0.141025641,0.0047306909999999995,0.008677072,,,,12,3.0,IRGC 8742
12_4,220.0,627.0,168.0,635.0,Control,,,,,,,,,,,,12,,IRGC 8742
12_5,221.0,572.0,171.0,639.0,Control,,,,,,,,,,,,12,,IRGC 8742
13_1,282.0,528.0,198.0,734.0,Control,41.0,445.0,5.0,43.0,,,,,,0.0249422,0.03221092,13,1.0,IRGC 8775
13_2,281.0,544.0,185.0,738.0,Control,48.0,313.0,6.0,45.0,,,,,,0.016856436000000002,0.01714576,13,2.0,IRGC 8775
13_3,276.0,544.0,172.0,732.0,Control,,,,,,,,,,,,13,,IRGC 8775
13_4,242.0,528.0,171.0,736.0,Control,,,,,,,,,,,,13,,IRGC 8775
13_5,290.0,548.0,200.0,732.0,Control,,,,,,,,,,,,13,,IRGC 8775
14_1,261.0,596.0,171.0,769.0,Control,104.0,1050.0,13.25,50.5,0.020668769,0.247863248,0.004073374,0.006586771,,0.021286684,0.020977700000000002,14,1.0,IRGC 8794
14_2,257.0,573.0,177.0,771.0,Control,92.0,691.0,8.5,54.0,0.019544097,0.000780379,0.006330411,0.00821256,,0.0183257,0.01794972,14,2.0,IRGC 8794
14_3,262.0,598.0,185.0,770.0,Control,160.0,954.0,10.0,56.0,,,,,,0.02164999,0.02188064,14,3.0,IRGC 8794
14_4,256.0,575.0,174.0,775.0,Control,,,,,,,,,,,,14,,IRGC 8794
14_5,251.0,554.0,189.0,772.0,Control,,,,,,,,,,,,14,,IRGC 8794
15_1,283.0,618.0,188.0,888.0,Control,89.0,647.0,8.0,47.5,0.021229434,0.206057228,0.004186073,0.009373839,,0.018204598,0.01746896,15,1.0,IRGC 8806
15_2,289.0,596.0,193.0,881.0,Control,58.0,631.0,6.5,47.5,,,,,,0.017781943999999997,0.01695992,15,2.0,IRGC 8806
15_3,291.0,642.0,204.0,889.0,Control,112.0,924.0,8.5,51.5,0.039225855,0.08528428099999999,0.006826668,0.004960981,,0.01714676,0.01644684,15,3.0,IRGC 8806
15_4,270.0,576.0,183.0,888.0,Control,,,,,,,,,,,,15,,IRGC 8806
15_5,269.0,614.0,145.0,883.0,Control,,,,,,,,,,,,15,,IRGC 8806
16_1,256.0,523.0,175.0,748.0,Control,94.0,415.0,6.5,47.0,,,,,,0.0167618,0.01631756,16,1.0,IRGC 8840
16_2,266.0,569.0,188.0,751.0,Control,117.0,862.0,6.5,50.5,0.021121437000000003,0.0034188029999999998,0.007052770999999999,0.065867707,,0.020822326000000002,0.02071712,16,2.0,IRGC 8840
16_3,270.0,585.0,169.0,749.0,Control,78.0,648.0,6.25,47.5,0.017175573,0.003883315,0.0037716309999999997,0.010070606,,0.020891298,0.01990508,16,3.0,IRGC 8840
16_4,268.0,557.0,188.0,756.0,Control,,,,,,,,,,,,16,,IRGC 8840
16_5,269.0,554.0,160.0,754.0,Control,,,,,,,,,,,,16,,IRGC 8840
17_1,261.0,565.0,156.0,641.0,Control,68.0,648.0,6.5,45.5,0.021229434,0.164251208,0.0052953869999999995,0.004960981,,0.019309754,0.01892538,17,1.0,IRGC 8855
17_2,252.0,579.0,166.0,637.0,Control,82.0,642.0,7.0,49.0,0.036359111,0.145670754,0.007508162,0.00449647,,0.016211628,0.01567116,17,2.0,IRGC 8855
