accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,Chlorophyll A,Chlorophyll B,Root thickness,Shoot thickness
IRGC 31611,Control,147,1455,8.5,55.5,0.022965299,0.168896321,0.005461334,0.007283538,0.013227386,0.01244118,17.29411765,26.21621622
IRGC 37149,Control,119,900,10,51.5,0.022724444,0.243218135,0.006802368,0.010302861,0.013214554,0.01256844,11.9,17.47572816
IRGC 25880,Control,76,1260,8.5,57,0.022724444,0.238573021,0.00600177,0.007980305,0.019567998,0.018786,8.941176471,22.10526316
IRGC 38390,Control,94,1143,6,61,0.022724444,0.233927908,0.004073374,0.009373839,0.022571488,0.02563178,15.66666667,18.73770492
IRGC 77285,Control,58,865,7.2,51,0.022724444,0.159606094,0.007174466,0.007748049,0.015379152,0.01479448,8.055555556,16.96078431
IRGC 31812,Control,223,1206,9,53,0.022724444,0.002954292,0.004070983,0.009141583,0.023658198,0.02522374,24.77777778,22.75471698
IRGC 27568,Control,119,891,7.5,42,0.022561325,0.004347826,0.003573113,0.003316611,0.024682352,0.02939302,15.86666667,21.21428571
IRGC 43872,Control,95,905,8,50.5,0.022561325,0.002954292,0.0105457,0.057413601,0.018020138,0.0177356,11.875,17.92079208
IRGC 8361,Control,68,738,9,46.25,0.022561325,0.002025269,0.002476249,0.082125604,0.025285456,0.04145848,7.555555556,15.95675676
IRGC 66831,Control,87,786,11,49.5,0.022414774,0.219992568,0.007740011,0.007515793,0.015291734,0.01441472,7.909090909,15.87878788
IRGC 37346,Control,92,894,10,51,0.022414774,0.210702341,0.005566396,0.007051282,0.021993246,0.02235938,9.2,17.52941176
IRGC 8742,Control,48,427,5.5,39.5,0.022414774,0.141025641,0.004730691,0.008677072,,,8.727272727,10.81012658
IRGC 86973,Control,78,612,8,45,0.022414774,0.094574508,0.004131717,0.005425492,0.018330512,0.01731342,9.75,13.6
IRGC 38145,Control,70,786,6.5,52.5,0.022328244,0.192121888,0.006622967,0.009373839,0.01184153,0.01103324,10.76923077,14.97142857
IRGC 43999,Control,103,994,6.5,56,0.022328244,0.150315868,0.005564684,0.007748049,0.019106046,0.0186648,15.84615385,17.75
IRGC 43860,Control,30,227,4,33.5,0.022076557,0.00574136,0.003962874,0.00821256,0.013713398,0.01288154,7.5,6.776119403
IRGC 38416,Control,141,1082,4.5,59.5,0.022043368,0.215347454,0.008184871,0.173541434,0.014606826,0.01388548,31.33333333,18.18487395
